miRNA,SRR18309058,SRR18309059,SRR18309060,SRR18309061,SRR18309062,SRR18309063
hsa-let-7a-2-3p,1.86,0.8,1.15,0.0,0.0,0.0
hsa-let-7a-3p,8.08,4.02,0.0,6.3,0.0,1.39
hsa-let-7a-5p,487.48,301.23,154.27,455.98,209.35,165.7
hsa-let-7b-3p,4.51,3.21,4.03,2.1,0.0,0.0
hsa-let-7b-5p,818.02,534.66,214.13,226.94,202.63,151.78
hsa-let-7c-5p,16.01,19.92,16.69,29.42,11.2,13.92
hsa-let-7d-3p,12.28,9.16,3.45,8.41,1.12,0.0
hsa-let-7d-5p,33.57,26.67,10.94,10.51,11.2,6.96
hsa-let-7e-3p,1.4,0.64,0.58,0.0,0.0,0.0
hsa-let-7e-5p,34.81,30.2,16.69,25.22,22.39,15.32
hsa-let-7f-1-3p,0.0,0.32,0.0,0.0,0.0,0.0
hsa-let-7f-2-3p,0.0,0.16,0.0,0.0,0.0,0.0
hsa-let-7f-5p,160.22,133.83,55.84,71.44,38.06,36.2
hsa-let-7g-3p,0.16,0.16,0.0,0.0,0.0,0.0
hsa-let-7g-5p,295.57,254.32,29.93,100.86,34.7,41.77
hsa-let-7i-3p,15.38,6.43,3.45,10.51,1.12,0.0
hsa-let-7i-5p,1125.71,975.33,179.02,474.89,139.94,148.99
hsa-miR-1-3p,0.31,0.16,4.6,8.41,1.12,2.78
hsa-miR-100-3p,0.16,0.0,0.0,0.0,0.0,0.0
hsa-miR-100-5p,2808.67,2721.81,693.05,2803.1,783.66,324.44
hsa-miR-101-3p,29.06,24.1,4.03,2.1,2.24,1.39
hsa-miR-10393-3p,0.0,0.16,0.0,0.0,0.0,0.0
hsa-miR-10394-3p,0.0,0.16,0.0,0.0,0.0,1.39
hsa-miR-10395-3p,1.24,0.32,0.58,0.0,0.0,0.0
hsa-miR-10396a-3p,6.84,6.59,0.58,0.0,0.0,1.39
hsa-miR-10396a-5p,0.16,0.0,0.0,0.0,0.0,0.0
hsa-miR-10396b-3p,11.97,10.12,2.3,0.0,0.0,0.0
hsa-miR-10396b-5p,0.31,0.96,0.0,0.0,0.0,0.0
hsa-miR-103a-3p,66.36,90.45,20.72,21.01,39.18,4.18
hsa-miR-10401-3p,18.03,19.6,8.63,8.41,1.12,0.0
hsa-miR-10401-5p,1.86,1.29,1.73,0.0,0.0,0.0
hsa-miR-10526-3p,0.0,0.32,0.0,2.1,0.0,0.0
hsa-miR-106a-5p,0.0,0.16,0.0,0.0,0.0,0.0
hsa-miR-106b-3p,7.93,6.27,2.3,4.2,1.12,2.78
hsa-miR-106b-5p,23.62,12.37,5.18,8.41,5.6,2.78
hsa-miR-107,3.57,40.16,4.6,2.1,4.48,0.0
hsa-miR-10a-3p,3.26,1.12,1.15,2.1,0.0,0.0
hsa-miR-10a-5p,101.16,94.46,24.75,115.57,23.51,9.75
hsa-miR-10b-3p,1.4,1.12,0.0,0.0,0.0,0.0
hsa-miR-10b-5p,167.05,151.34,48.35,208.03,29.11,22.28
hsa-miR-1180-3p,4.04,1.29,0.58,4.2,0.0,0.0
hsa-miR-1185-1-3p,2.95,4.34,2.3,2.1,1.12,0.0
hsa-miR-1185-2-3p,2.33,0.64,0.0,2.1,0.0,0.0
hsa-miR-1185-5p,0.16,0.32,0.0,0.0,0.0,0.0
hsa-miR-1197,0.93,0.8,0.0,0.0,0.0,0.0
hsa-miR-12136,0.78,0.48,0.0,4.2,1.12,1.39
hsa-miR-122-5p,6.22,0.16,0.0,16.81,0.0,8.35
hsa-miR-1228-3p,1.09,0.16,0.0,4.2,0.0,0.0
hsa-miR-1229-3p,0.31,0.32,0.0,0.0,0.0,0.0
hsa-miR-124-3p,0.16,0.0,0.0,0.0,0.0,0.0
hsa-miR-1245a,0.0,0.0,0.0,2.1,0.0,0.0
hsa-miR-1246,17178.2,13376.41,4525.56,6696.77,1301.99,1508.04
hsa-miR-1247-5p,0.16,0.0,0.0,0.0,0.0,0.0
hsa-miR-1248,0.93,1.12,0.0,0.0,2.24,0.0
hsa-miR-1249-3p,0.93,0.48,0.0,0.0,0.0,0.0
hsa-miR-1255b-5p,0.0,0.32,0.0,0.0,0.0,0.0
hsa-miR-125a-3p,4.2,3.53,1.15,0.0,0.0,0.0
hsa-miR-125a-5p,168.92,160.98,44.32,69.34,52.62,22.28
hsa-miR-125b-1-3p,17.72,17.83,6.33,0.0,4.48,5.57
hsa-miR-125b-2-3p,0.47,0.0,0.0,0.0,0.0,0.0
hsa-miR-125b-5p,1845.67,1612.97,398.91,996.01,514.97,155.96
hsa-miR-126-3p,3.42,0.8,0.58,2.1,1.12,1.39
hsa-miR-126-5p,2.49,0.64,0.0,0.0,0.0,0.0
hsa-miR-1260a,0.47,0.48,0.58,0.0,1.12,1.39
hsa-miR-1260b,0.78,0.64,1.73,6.3,0.0,0.0
hsa-miR-1268a,0.0,0.32,0.0,0.0,0.0,0.0
hsa-miR-1268b,0.0,0.0,0.58,0.0,0.0,0.0
hsa-miR-127-3p,273.97,216.4,71.95,245.85,47.02,30.63
hsa-miR-127-5p,11.03,5.94,1.15,8.41,8.96,0.0
hsa-miR-1270,0.0,0.48,0.0,0.0,0.0,0.0
hsa-miR-1271-5p,11.97,11.73,1.15,4.2,2.24,0.0
hsa-miR-1273h-5p,0.16,0.0,0.0,0.0,0.0,0.0
hsa-miR-1275,0.62,0.32,0.0,0.0,0.0,0.0
hsa-miR-1277-3p,0.0,0.32,0.0,0.0,0.0,0.0
hsa-miR-128-1-5p,0.0,0.32,0.0,0.0,0.0,0.0
hsa-miR-128-3p,27.04,17.67,6.91,21.01,0.0,0.0
hsa-miR-1284,0.16,0.0,0.0,0.0,0.0,0.0
hsa-miR-1285-3p,0.47,1.61,0.0,4.2,0.0,1.39
hsa-miR-1285-5p,0.31,0.0,0.58,0.0,0.0,0.0
hsa-miR-1287-5p,1.4,0.8,1.15,0.0,0.0,0.0
hsa-miR-129-2-3p,0.16,0.0,0.0,0.0,0.0,0.0
hsa-miR-129-5p,0.47,0.0,0.0,0.0,0.0,0.0
hsa-miR-1290,13.99,9.96,2.88,6.3,0.0,0.0
hsa-miR-1291,5.44,6.27,4.03,0.0,1.12,1.39
hsa-miR-1292-5p,0.0,0.48,0.0,0.0,0.0,0.0
hsa-miR-1293,0.0,0.16,0.0,0.0,0.0,0.0
hsa-miR-1294,0.47,1.12,0.0,0.0,0.0,0.0
hsa-miR-1296-5p,20.51,17.35,4.03,4.2,0.0,0.0
