miRNA,SRR11605206,SRR11605207,SRR11605208,SRR11605209,SRR11605210,SRR11605211,SRR11605212,SRR11605213,SRR11605214,SRR11605215,SRR11605216,SRR11605217,SRR11605218,SRR11605219,SRR11605220,SRR11605221
hsa-let-7a-5p,308.19,347.44,283.99,291.31,62.78,58.96,649.99,850.78,305.65,257.97,1027.7,1128.94,69.44,59.02,50.67,51.76
hsa-let-7b-5p,347.33,192.56,275.11,220.45,8.28,9.92,26.35,14.77,73.95,84.79,303.36,159.92,4.4,0.55,0.37,0.95
hsa-let-7c-5p,229.92,163.26,226.3,224.39,16.56,15.98,58.56,5.91,14.59,18.04,68.15,50.5,0.0,0.0,0.73,5.4
hsa-let-7d-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.77,1.7,0.6,0.0,1.05,0.0,0.0,0.0,0.0
hsa-let-7d-5p,0.0,12.56,0.0,11.81,1.38,0.55,20.5,17.72,8.14,5.41,19.78,26.3,0.0,0.0,0.0,0.0
hsa-let-7e-5p,259.27,213.49,141.99,141.72,21.39,23.14,263.51,324.95,127.89,149.13,247.31,159.92,3.39,3.31,2.2,4.76
hsa-let-7f-5p,127.19,46.05,79.87,98.42,29.67,27.0,486.03,407.67,82.09,95.01,441.86,573.41,3.39,1.65,0.37,0.32
hsa-let-7g-5p,24.46,25.12,84.31,86.61,0.0,1.65,76.12,26.59,16.28,20.45,72.54,55.76,1.69,1.65,0.37,0.32
hsa-let-7i-5p,68.49,20.93,35.5,39.37,17.25,3.86,248.87,165.43,130.6,82.38,101.12,199.9,0.0,0.0,0.0,1.27
hsa-miR-1-3p,362.01,343.25,310.61,299.19,0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37,0.0
hsa-miR-100-3p,0.0,0.0,0.0,0.0,0.0,0.0,32.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-100-5p,396.25,351.63,390.48,196.83,133.16,147.13,1045.25,933.5,1245.31,1019.86,298.97,218.84,0.0,0.0,0.0,0.0
hsa-miR-101-3p,19.57,25.12,4.44,27.56,0.0,4.41,0.0,0.0,5.43,3.01,0.0,0.0,13.55,8.27,0.0,0.0
hsa-miR-101-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.0,0.0,0.0
hsa-miR-10394-3p,9.78,0.0,0.0,0.0,0.0,0.0,35.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10395-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32
hsa-miR-10396a-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,0.0,0.0,0.0,0.0,0.0
hsa-miR-10396b-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10399-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.69,0.0,0.0,0.0
hsa-miR-103a-3p,29.35,8.37,13.31,43.3,0.0,10.47,0.0,0.0,1.02,28.86,59.35,39.98,22.36,8.27,11.75,7.3
hsa-miR-10401-3p,0.0,0.0,0.0,0.0,0.0,0.0,35.13,0.0,1.02,1.2,7.69,0.0,0.0,2.21,0.0,0.0
hsa-miR-105-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.35,2.21,0.0,1.59
hsa-miR-10526-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.05,1.2,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-106a-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.81,11.03,0.0,2.54
hsa-miR-106b-3p,14.68,0.0,0.0,0.0,0.0,4.41,2.93,14.77,6.78,6.01,49.46,25.25,33.2,33.65,41.86,18.74
hsa-miR-106b-5p,0.0,0.0,0.0,0.0,2.76,3.86,0.0,0.0,0.0,1.2,2.2,0.0,7.45,6.07,0.0,0.0
hsa-miR-107,68.49,0.0,0.0,0.0,0.0,2.2,32.21,0.0,53.26,1.2,0.0,0.0,5.42,3.31,0.0,0.0
hsa-miR-10a-5p,983.28,1213.95,643.41,574.75,327.72,314.09,70.27,50.22,4.75,9.02,100.02,75.75,1.02,0.0,0.0,0.32
hsa-miR-10b-5p,68.49,125.58,119.81,78.73,21.39,3.86,134.68,97.49,11.87,2.41,424.27,528.17,1.69,0.0,3.3,0.32
hsa-miR-1180-3p,9.78,46.05,26.62,11.81,6.21,0.0,0.0,11.82,5.43,11.43,8.79,19.99,4.4,14.89,9.18,8.26
hsa-miR-12136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-122-5p,259.27,150.7,2134.34,1858.1,32.43,16.53,17.57,20.68,6.11,1.8,207.74,24.2,0.34,0.0,0.0,0.0
hsa-miR-1226-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.02,0.0,0.0,0.0
hsa-miR-124-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.0,0.0
hsa-miR-1246,117.41,125.58,71.0,129.91,13.11,10.47,0.0,0.0,26.12,15.63,12.09,16.83,16.26,16.0,30.84,27.31
hsa-miR-1248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3,0.0,0.0,0.0,0.0,0.0
hsa-miR-1249-3p,0.0,0.0,0.0,0.0,0.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1250-5p,0.0,0.0,0.0,0.0,0.0,2.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1251-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.68,1.65,0.0,0.0
hsa-miR-125a-3p,19.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.36,11.43,0.0,0.0,0.0,0.0,0.0,1.59
hsa-miR-125a-5p,386.46,213.49,93.18,118.1,17.25,17.08,219.59,218.6,121.44,80.58,95.63,143.09,21.34,3.86,11.38,3.49
hsa-miR-125b-1-3p,0.0,0.0,0.0,11.81,0.0,0.0,0.0,14.77,14.59,16.84,6.59,0.0,0.0,0.0,0.0,0.0
hsa-miR-125b-5p,127.19,83.72,66.56,78.73,16.56,14.88,61.49,26.59,51.22,50.51,17.59,6.31,0.0,0.55,0.0,0.0
hsa-miR-126-3p,0.0,4.19,0.0,0.0,88.31,106.35,38.06,85.67,10.52,9.62,173.67,200.96,0.34,0.0,0.0,0.32
hsa-miR-126-5p,0.0,0.0,0.0,0.0,80.03,80.45,84.91,73.85,21.71,16.24,149.48,155.72,0.0,0.55,0.37,0.64
hsa-miR-1260b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.0,0.0,1.05,1.02,2.21,0.0,4.13
hsa-miR-1262,9.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3,0.0,0.0,0.0,0.0,0.0
hsa-miR-1266-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.02,0.0,0.0,0.95
hsa-miR-1268a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.36,0.0,0.0,0.0,1.02,0.55,0.0,0.0
hsa-miR-1268b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,4.21,0.0,0.0,0.0,0.64
hsa-miR-1269a,0.0,4.19,4.44,0.0,2.76,1.65,0.0,0.0,2.37,0.0,4.4,3.16,0.0,0.0,0.0,0.0
hsa-miR-1269b,0.0,0.0,0.0,7.87,0.0,0.0,0.0,0.0,0.0,0.0,5.5,0.0,0.0,0.0,0.0,0.0
hsa-miR-127-3p,239.71,184.19,31.06,23.62,12.42,7.16,0.0,5.91,46.81,35.48,12.09,29.46,44.38,50.19,16.89,35.25
hsa-miR-1270,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.71,3.01,10.99,0.0,7.45,21.51,12.12,10.16
hsa-miR-1273h-5p,0.0,0.0,0.0,0.0,2.76,0.0,0.0,0.0,2.71,0.0,0.0,0.0,0.0,0.0,0.0,0.64
hsa-miR-1275,0.0,0.0,0.0,3.94,5.52,1.1,0.0,5.91,0.0,0.0,0.0,0.0,13.55,16.55,16.89,20.64
