miRNA,SRR11892876,SRR11892877,SRR11892878,SRR11892879,SRR11892880,SRR11892881,SRR11892882,SRR11892883,SRR11892884,SRR11892885,SRR11892886,SRR11892887,SRR11892888,SRR11892889,SRR11892890,SRR11892891,SRR11892892
hsa-let-7a-2-3p,0.0,0.0,20.0,4.0,0.0,0.0,5.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
hsa-let-7a-3p,0.0,0.0,6.0,12.0,0.0,0.0,18.0,0.0,8.0,0.0,0.0,0.0,4.0,7.0,2.0,0.0,3.0
hsa-let-7a-5p,1468.0,156570.0,79039.0,107503.0,91818.0,2.0,128433.0,2226.0,136802.0,107525.0,3512.0,132867.0,75205.0,73729.0,89259.0,264.0,50030.0
hsa-let-7b-3p,0.0,0.0,4.0,16.0,8.0,0.0,65.0,0.0,9.0,0.0,0.0,15.0,7.0,10.0,0.0,0.0,0.0
hsa-let-7b-5p,21632.0,149468.0,108447.0,131867.0,85113.0,642.0,150105.0,51375.0,194031.0,95487.0,71468.0,119414.0,78145.0,73477.0,71010.0,6110.0,67941.0
hsa-let-7c-3p,11.0,0.0,1.0,13.0,7.0,0.0,70.0,0.0,80.0,21.0,9.0,0.0,5.0,4.0,8.0,0.0,22.0
hsa-let-7c-5p,32.0,47802.0,21351.0,34311.0,14414.0,11.0,63727.0,11.0,113493.0,63847.0,24.0,28982.0,16930.0,21652.0,31308.0,6.0,41092.0
hsa-let-7d-3p,0.0,160.0,139.0,109.0,105.0,0.0,168.0,0.0,97.0,123.0,0.0,212.0,185.0,173.0,122.0,0.0,97.0
hsa-let-7d-5p,1.0,4512.0,2859.0,2230.0,2885.0,0.0,3392.0,1.0,3016.0,3175.0,3.0,2934.0,1583.0,1650.0,1698.0,0.0,656.0
hsa-let-7e-3p,0.0,0.0,5.0,7.0,0.0,0.0,10.0,0.0,0.0,11.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7e-5p,20.0,15042.0,4525.0,4271.0,5476.0,0.0,14802.0,10.0,14809.0,6365.0,3.0,10272.0,4402.0,4235.0,2374.0,2.0,3152.0
hsa-let-7f-1-3p,0.0,0.0,0.0,5.0,3.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
hsa-let-7f-2-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
hsa-let-7f-5p,34.0,123778.0,57150.0,75350.0,61928.0,0.0,70164.0,53.0,82542.0,97216.0,23.0,85653.0,43840.0,46930.0,66639.0,7.0,30515.0
hsa-let-7g-3p,0.0,0.0,6.0,13.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0
hsa-let-7g-5p,0.0,6509.0,5112.0,6168.0,5610.0,0.0,5413.0,16.0,5811.0,7308.0,31.0,4132.0,3046.0,3296.0,4276.0,0.0,1817.0
hsa-let-7i-3p,0.0,0.0,8.0,7.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,7.0,0.0,10.0,8.0,0.0,2.0
hsa-let-7i-5p,94.0,65601.0,43000.0,63535.0,32456.0,24.0,65427.0,361.0,49554.0,50069.0,317.0,39854.0,16859.0,20016.0,27518.0,27.0,30025.0
hsa-miR-1-3p,23.0,1071.0,222.0,130.0,100.0,0.0,136.0,0.0,38.0,332.0,5.0,194.0,96.0,134.0,90.0,13.0,87.0
hsa-miR-100-3p,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,9.0,10.0,0.0,41.0,6.0,0.0,0.0,0.0,0.0
hsa-miR-100-5p,10.0,3790.0,2716.0,4201.0,1817.0,0.0,7823.0,0.0,6143.0,3708.0,9.0,5912.0,3421.0,2826.0,1872.0,0.0,2366.0
hsa-miR-101-2-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-101-3p,2264.0,6724.0,4945.0,4896.0,4110.0,1267.0,5968.0,3446.0,3662.0,4226.0,5357.0,5156.0,3380.0,3456.0,2936.0,1324.0,2841.0
hsa-miR-101-5p,0.0,0.0,0.0,14.0,7.0,0.0,6.0,0.0,9.0,0.0,0.0,0.0,0.0,6.0,4.0,0.0,5.0
hsa-miR-10395-3p,0.0,0.0,6.0,5.0,23.0,0.0,14.0,0.0,4.0,0.0,0.0,42.0,3.0,0.0,122.0,0.0,0.0
hsa-miR-10395-5p,0.0,0.0,0.0,0.0,5.0,0.0,7.0,0.0,8.0,0.0,0.0,13.0,0.0,0.0,17.0,0.0,0.0
hsa-miR-10396a-3p,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10396a-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
hsa-miR-10396b-3p,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10396b-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,2.0,0.0,0.0
hsa-miR-10397-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10398-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0
hsa-miR-10399-3p,0.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-103a-3p,6236.0,714.0,6429.0,47.0,4006.0,2081.0,4897.0,5733.0,5668.0,3093.0,6362.0,8516.0,189.0,1947.0,5724.0,2745.0,2766.0
hsa-miR-10401-3p,0.0,0.0,4.0,9.0,4.0,0.0,6.0,0.0,22.0,0.0,0.0,0.0,8.0,4.0,6.0,0.0,0.0
hsa-miR-10401-5p,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-105-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
hsa-miR-105-5p,0.0,0.0,6.0,14.0,12.0,0.0,48.0,0.0,0.0,0.0,3.0,15.0,2.0,7.0,35.0,4.0,11.0
hsa-miR-10527-5p,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
