miRNA,SRR13005795,SRR13005796,SRR13313346,SRR13313347,SRR13313348,SRR13313349
hsa-let-7a-2-3p,0.48,0.0,8.37,5.45,0.0,0.0
hsa-let-7a-3p,13.32,1.6,42.25,34.92,4.3,4.4
hsa-let-7a-5p,305.36,74.49,2017.33,931.91,92.18,96.93
hsa-let-7b-3p,0.16,0.0,1.61,2.85,0.08,0.08
hsa-let-7b-5p,54.73,13.78,708.95,307.27,8.68,7.95
hsa-let-7c-3p,0.63,0.0,5.04,2.42,0.16,0.08
hsa-let-7c-5p,282.36,7.19,886.03,823.01,4.78,4.4
hsa-let-7d-3p,18.88,1.8,196.65,156.7,1.75,1.18
hsa-let-7d-5p,15.23,6.99,286.91,117.89,0.88,1.44
hsa-let-7e-3p,26.49,0.6,71.5,70.96,0.72,1.02
hsa-let-7e-5p,262.37,14.78,449.87,266.82,12.67,10.66
hsa-let-7f-1-3p,0.79,0.0,0.91,0.61,0.0,0.0
hsa-let-7f-2-3p,0.0,0.4,5.65,2.85,0.4,0.0
hsa-let-7f-5p,105.01,36.35,1352.04,570.02,14.1,13.79
hsa-let-7g-3p,1.59,0.0,0.5,1.64,0.0,0.0
hsa-let-7g-5p,179.09,25.56,6064.08,3700.52,15.14,16.75
hsa-let-7i-3p,2.86,0.6,13.11,4.58,0.32,0.0
hsa-let-7i-5p,74.71,31.15,2182.51,463.28,12.99,15.73
hsa-miR-1-3p,41467.5,3767.88,191633.72,247524.38,23325.87,23947.4
hsa-miR-1-5p,74.87,7.19,10.19,11.41,2.95,4.06
hsa-miR-100-3p,0.16,0.0,1.01,0.69,0.0,0.17
hsa-miR-100-5p,3818.5,175.74,9779.46,6800.25,201.8,192.68
hsa-miR-101-2-5p,0.0,0.2,0.0,0.0,0.0,0.08
hsa-miR-101-3p,141.66,697.58,5292.81,6261.77,9595.42,7838.02
hsa-miR-101-5p,1.59,6.19,0.3,0.69,1.99,2.28
hsa-miR-10392-3p,0.32,0.0,0.0,0.0,0.0,0.0
hsa-miR-10394-3p,0.16,0.0,0.0,0.0,0.16,0.17
hsa-miR-10394-5p,0.0,0.2,0.0,0.0,0.0,0.08
hsa-miR-10395-3p,0.48,0.0,1.51,0.61,0.32,0.68
hsa-miR-10395-5p,0.0,0.0,0.0,0.17,0.24,0.0
hsa-miR-10396a-3p,0.79,0.6,0.0,0.0,0.08,0.0
hsa-miR-10396a-5p,0.16,0.4,0.1,0.0,0.0,0.0
hsa-miR-10396b-3p,0.16,0.6,0.3,0.0,0.64,0.68
hsa-miR-10396b-5p,0.16,0.4,0.0,0.0,0.0,0.0
hsa-miR-10397-3p,0.0,0.0,0.0,0.0,0.0,0.08
hsa-miR-10398-3p,0.0,0.0,0.0,0.0,0.08,0.0
hsa-miR-10399-3p,0.0,0.0,0.0,0.0,0.0,0.76
hsa-miR-10399-5p,0.0,0.0,0.0,0.0,0.0,0.08
hsa-miR-103a-1-5p,0.63,0.2,0.0,0.0,0.24,0.17
hsa-miR-103a-2-5p,1.27,12.38,2.62,1.47,5.74,0.85
hsa-miR-103a-3p,692.25,91.27,2692.49,58.08,1124.6,6237.26
hsa-miR-10401-3p,26.17,11.18,21.78,14.61,7.97,11.93
hsa-miR-10401-5p,1.43,0.2,0.1,0.0,0.16,0.0
hsa-miR-105-3p,0.0,0.0,0.0,0.0,0.56,0.68
hsa-miR-105-5p,0.0,13.98,0.4,0.09,10.28,12.86
hsa-miR-10526-3p,0.32,0.0,0.5,0.09,0.0,0.08
hsa-miR-10527-5p,0.0,0.0,0.0,0.0,0.16,0.17
hsa-miR-106a-3p,21.89,310.54,24.4,37.86,231.04,306.11
