miRNA,SRR14730725,SRR14730726,SRR14730727,SRR14730728,SRR14730729,SRR14730730,SRR14730731,SRR14730732,SRR14730733,SRR14730734,SRR14730735,SRR14730736,SRR14730737,SRR14730738,SRR14730739,SRR14730740
hsa-let-7a-2-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.0
hsa-let-7a-3p,2.22,5.09,2.06,1.8,3.29,4.97,0.97,0.14,2.88,30.21,22.87,15.77,4.84,2.09,1.45,0.15
hsa-let-7a-5p,3043.72,1082.69,5057.29,2760.66,833.97,5201.65,248.8,327.05,3873.07,6284.16,6471.3,3939.15,2263.39,1074.22,633.01,1220.83
hsa-let-7b-3p,4.68,0.87,1.46,0.36,1.26,0.25,0.19,0.29,2.36,7.29,4.14,3.56,2.48,1.46,0.8,1.5
hsa-let-7b-5p,4687.06,5680.81,6479.16,7588.38,1295.27,4660.24,562.37,1375.44,26959.29,3085.6,9358.45,6085.51,2368.9,11667.51,1907.87,5220.12
hsa-let-7c-3p,0.86,0.0,0.0,0.0,0.63,0.0,0.0,0.0,0.13,6.1,3.84,2.06,1.49,0.0,0.0,0.0
hsa-let-7c-5p,305.48,742.81,297.07,174.54,677.85,133.44,206.27,54.99,1105.38,8840.41,6075.6,4387.18,1133.31,654.61,67.69,219.38
hsa-let-7d-3p,109.42,43.3,142.16,19.66,20.99,51.49,4.25,7.63,100.11,165.34,164.7,84.04,171.34,43.28,4.82,16.39
hsa-let-7d-5p,483.45,146.33,683.74,179.94,107.96,225.84,26.87,24.04,575.13,1182.51,982.34,662.31,285.53,180.43,87.31,92.17
hsa-let-7e-3p,0.0,0.0,0.0,0.0,1.39,0.13,0.0,0.0,2.49,4.17,8.6,6.99,1.24,0.21,0.0,0.0
hsa-let-7e-5p,22.65,50.86,162.56,44.71,62.96,33.77,1.74,0.72,73.54,689.92,519.56,356.72,114.06,32.62,6.11,5.71
hsa-let-7f-1-3p,1.48,0.87,0.36,0.0,0.0,0.64,0.0,0.0,0.39,1.93,0.92,1.37,0.0,0.0,0.48,0.0
hsa-let-7f-2-3p,0.12,1.02,0.36,0.0,0.38,0.0,0.0,0.0,0.0,2.53,1.38,1.23,0.12,0.21,0.16,0.0
hsa-let-7f-5p,3144.27,2910.81,5867.9,2035.28,2811.65,12607.69,440.19,208.15,4059.54,27062.63,21051.8,13326.45,6122.28,1606.93,533.8,985.8
hsa-let-7g-3p,0.25,0.0,1.46,0.0,0.0,0.13,0.19,0.0,1.18,0.45,0.15,0.41,0.12,0.0,0.16,0.0
hsa-let-7g-5p,7540.0,3131.53,11869.95,4803.98,2661.46,4475.69,805.95,248.17,5495.34,18833.42,15766.21,9767.33,4568.31,1720.46,1011.17,1425.32
hsa-let-7i-3p,1.72,1.16,2.31,1.08,0.25,0.38,0.77,0.0,1.44,4.91,5.99,3.43,1.12,0.21,0.16,0.45
hsa-let-7i-5p,25980.65,9790.85,48996.96,58808.02,8501.81,19814.14,5331.96,833.9,17471.4,15852.59,14613.65,22687.98,7305.06,3164.73,12591.02,11064.57
hsa-miR-1-3p,235.33,57.98,188.05,70.01,1420.42,538.61,82.74,8.49,83.75,244.51,164.54,195.36,61.12,18.19,23.15,17.44
hsa-miR-100-3p,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-100-5p,633.85,735.98,557.73,133.9,4290.73,877.12,1333.91,6.91,884.22,2436.75,2231.29,1659.12,356.32,406.86,233.46,422.98
hsa-miR-101-3p,2743.53,606.95,2006.31,140.5,872.78,5608.86,817.55,29.51,1001.34,3869.43,2880.86,2385.59,660.2,266.99,106.28,262.24
hsa-miR-101-5p,0.0,0.0,0.97,0.0,0.13,0.0,0.0,0.0,0.26,0.0,0.0,1.65,0.62,0.0,0.16,0.0
hsa-miR-10392-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10393-3p,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.52,0.0,0.0,0.0,0.25,0.0,0.0,0.0
hsa-miR-10394-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15
hsa-miR-10395-3p,0.12,0.87,0.0,0.0,0.63,0.0,0.0,0.0,1.31,0.15,0.46,0.96,0.12,1.05,0.0,0.75
hsa-miR-10395-5p,0.0,0.0,0.0,0.0,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10396a-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.14,0.0,0.0,0.0,0.0
hsa-miR-10396b-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.0,0.0
hsa-miR-10398-3p,0.0,0.0,0.0,0.0,1.64,0.0,0.0,0.0,0.0,0.0,0.0,0.82,0.0,0.0,0.0,0.0
hsa-miR-10399-3p,3.82,1.45,14.93,3.12,0.76,9.18,0.39,0.43,4.71,12.2,12.89,4.52,7.44,4.39,0.48,2.56
hsa-miR-10399-5p,0.62,0.0,0.24,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.37,0.0,0.0,0.0
hsa-miR-103a-2-5p,0.0,0.0,0.24,1.32,0.13,0.0,0.0,0.43,0.0,0.0,0.0,0.0,0.12,0.0,0.16,0.0
hsa-miR-103a-3p,3663.29,561.18,124.8,1262.31,66.37,24.98,21.65,109.55,235.29,397.2,1606.43,53.06,606.26,102.24,12.54,28.72
hsa-miR-10401-3p,0.0,3.92,9.96,6.71,1.9,0.0,0.0,0.58,6.02,4.02,1.69,9.46,2.73,4.6,0.48,5.26
hsa-miR-10401-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0
hsa-miR-105-5p,5.66,0.58,0.0,0.0,0.63,0.0,0.0,0.0,0.0,2.53,1.38,0.27,0.25,0.0,0.0,0.0
hsa-miR-10523-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.0
hsa-miR-10526-3p,0.0,0.0,0.0,0.0,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10527-5p,0.0,1.02,0.24,0.6,0.51,0.13,0.0,0.0,0.65,0.0,0.61,0.0,0.12,0.42,0.32,0.3
hsa-miR-106a-3p,0.49,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-106a-5p,33.48,11.77,13.96,7.07,7.08,3.06,0.58,0.86,6.94,5.51,5.83,4.8,1.49,3.76,1.93,5.26
hsa-miR-106b-3p,1272.5,3556.56,2839.62,916.82,1503.61,1145.4,278.19,110.12,2760.89,248.08,822.71,666.69,334.25,553.62,627.22,673.49
hsa-miR-106b-5p,77.42,9.45,52.2,1.2,19.72,54.55,2.51,0.29,29.97,58.63,36.22,41.81,14.01,7.53,2.41,0.75
hsa-miR-107,7.75,32.55,18.94,3.72,8.72,14.53,0.19,2.74,8.24,114.44,62.78,61.01,8.06,14.84,19.29,17.44
hsa-miR-10a-3p,3.57,0.29,2.67,0.24,0.51,0.64,0.58,0.0,1.44,5.21,9.82,6.99,1.74,1.25,0.0,0.0
hsa-miR-10a-5p,1195.83,497.39,504.79,98.42,528.8,3615.14,194.29,27.06,696.44,4290.44,2745.48,1970.88,882.62,293.12,58.69,105.86
hsa-miR-10b-3p,2.71,0.29,2.55,0.0,0.25,0.25,0.19,0.0,2.09,0.0,0.0,0.0,0.12,1.05,0.32,0.3
hsa-miR-10b-5p,1902.42,104.19,411.19,32.49,227.17,6652.55,133.2,28.21,699.71,395.71,539.21,163.01,736.32,176.67,56.6,185.85
hsa-miR-11399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.69,0.0,0.0,0.0,0.0
hsa-miR-11400,2.58,70.47,34.72,9.23,2.4,12.36,2.13,2.59,5.5,4.61,7.83,39.62,23.93,1.25,2.41,3.91
hsa-miR-11401,23.88,34.44,33.14,1.44,0.13,42.82,0.39,0.58,45.93,0.74,19.8,1.51,6.57,3.97,2.09,5.41
hsa-miR-1179,0.0,0.0,1.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1180-3p,126.03,225.37,73.21,49.15,53.47,38.24,6.57,11.95,589.53,15.63,147.2,30.71,42.15,203.22,37.95,54.28
hsa-miR-1183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6
hsa-miR-1185-1-3p,3.08,0.0,4.73,0.36,0.13,0.0,0.0,0.0,0.0,1.04,0.0,0.0,0.5,0.0,0.0,0.0
hsa-miR-1185-2-3p,0.74,0.0,1.09,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0
hsa-miR-1193,0.49,1.74,1.09,0.0,0.63,0.25,0.19,0.0,1.7,0.0,0.0,0.27,0.0,0.0,0.0,0.0
hsa-miR-1197,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.65,1.79,0.0,0.55,0.0,0.0,0.0,0.0
hsa-miR-12129,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.0
hsa-miR-12136,0.37,0.0,1.82,3.0,0.25,0.0,0.0,0.14,0.65,0.0,0.0,6.17,0.0,0.21,0.16,0.0
hsa-miR-122-3p,0.49,6.39,0.12,0.36,6.83,0.0,0.58,0.0,8.9,61.46,53.57,3.56,12.89,8.57,1.45,3.31
hsa-miR-122-5p,47689.64,20844.28,4759.12,12061.49,145413.95,138644.2,290452.95,2734.9,49845.03,4816.21,59030.35,63863.49,6083.6,8367.72,120099.01,80698.41
hsa-miR-1224-5p,0.0,0.29,0.12,0.0,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0
hsa-miR-1225-3p,0.0,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.3
