miRNA,SRR29398645,SRR29398646,SRR29398647,SRR29398648,SRR29398649,SRR29398650,SRR29398651,SRR29398652,SRR29398653,SRR29398654,SRR29398655,SRR29398656,SRR29398657,SRR29398658,SRR29398659,SRR29398660,SRR29398661,SRR29398662,SRR29398663,SRR29398664,SRR29398665,SRR29398666,SRR29398667,SRR29398668,SRR29398669,SRR29398670,SRR29398671,SRR29398672,SRR29398673,SRR29398674,SRR29398675,SRR29398676,SRR29398677,SRR29398678,SRR29398679,SRR29398680,SRR29398681,SRR29398682,SRR29398683,SRR29398684,SRR29398685,SRR29398686,SRR29398687,SRR29398688,SRR29398689,SRR29398690,SRR29398691,SRR29398692,SRR29398693,SRR29398694,SRR29398695,SRR29398696,SRR29398697,SRR29398698,SRR29398699,SRR29398700,SRR29398701,SRR29398702,SRR29398703,SRR29398704,SRR29398705,SRR29398706,SRR29398707,SRR29398708,SRR29398709,SRR29398710,SRR29398711,SRR29398712,SRR29398713,SRR29398714,SRR29398715,SRR29398716,SRR29398717,SRR29398718,SRR29398719,SRR29398720,SRR29398721,SRR29398722,SRR29398723,SRR29398724,SRR29398725,SRR29398726,SRR29398727,SRR29398728,SRR29398729,SRR29398730,SRR29398731,SRR29398732,SRR29398733,SRR29398734,SRR29398735,SRR29398736,SRR29398737,SRR29398738,SRR29398739,SRR29398740,SRR29398741,SRR29398742,SRR29398743
hsa-let-7e-5p,8.0,2.0,0.0,6.0,8.0,1.0,3.0,0.0,1.0,1.0,2.0,7.0,4.0,19.0,8.0,6.0,0.0,0.0,0.0,6.0,26.0,0.0,0.0,29.0,32.0,21.0,16.0,9.0,104.0,21.0,57.0,36.0,8.0,1.0,37.0,0.0,0.0,0.0,0.0,22.0,10.0,2.0,7.0,0.0,5.0,0.0,0.0,0.0,5.0,4.0,7.0,0.0,29.0,6.0,43.0,237.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,16.0,0.0,1.0,13.0,2.0,0.0,0.0,19.0,31.0,1.0,6.0,0.0,8.0,0.0,11.0,0.0,0.0,7.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,1.0,1.0,35.0,0.0,0.0,0.0
hsa-let-7f-1-3p,1.0,0.0,3.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,17.0,25.0,76.0,7.0,4.0,32.0,28.0,18.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,25.0,22.0,34.0,97.0,6.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,6.0,4.0,1.0,3.0,0.0,5.0,0.0,4.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7f-2-3p,1.0,0.0,4.0,2.0,6.0,4.0,3.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,4.0,8.0,0.0,0.0,0.0,3.0,11.0,0.0,0.0,11.0,5.0,87.0,23.0,7.0,21.0,12.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,5.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,13.0,20.0,3.0,21.0,18.0,19.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,4.0,0.0,9.0,0.0,17.0,0.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7f-5p,91.0,2.0,133.0,39.0,54.0,22.0,56.0,19.0,94.0,12.0,46.0,26.0,109.0,191.0,104.0,64.0,0.0,71.0,329.0,231.0,801.0,7.0,68.0,3397.0,963.0,3099.0,243.0,111.0,7701.0,499.0,420.0,109.0,558.0,6.0,2521.0,0.0,0.0,928.0,39.0,378.0,74.0,11.0,66.0,54.0,27.0,7.0,17.0,1.0,51.0,54.0,86.0,7.0,969.0,603.0,1450.0,10166.0,70.0,216.0,31.0,10.0,6.0,12.0,32.0,39.0,37.0,7.0,53.0,174.0,22.0,6.0,30.0,40.0,1.0,5.0,114.0,591.0,25.0,252.0,39.0,173.0,0.0,130.0,9.0,0.0,223.0,0.0,10.0,0.0,573.0,201.0,4.0,9.0,21.0,8.0,7.0,6130.0,0.0,14.0,0.0
hsa-let-7g-3p,4.0,0.0,1.0,2.0,7.0,2.0,2.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,5.0,3.0,46.0,10.0,4.0,9.0,11.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,5.0,5.0,0.0,0.0,4.0,1.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,3.0,5.0,4.0,6.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,3.0,0.0,5.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7g-5p,1268.0,37.0,1207.0,782.0,810.0,345.0,346.0,234.0,871.0,170.0,617.0,585.0,904.0,1362.0,652.0,539.0,0.0,340.0,651.0,1648.0,1949.0,35.0,353.0,20199.0,6991.0,32371.0,1897.0,1941.0,19116.0,5591.0,3425.0,1449.0,1440.0,120.0,7822.0,6.0,53.0,3488.0,141.0,1859.0,437.0,91.0,353.0,773.0,303.0,42.0,96.0,12.0,1164.0,278.0,679.0,42.0,7169.0,6590.0,7647.0,31927.0,1343.0,1672.0,207.0,159.0,47.0,105.0,355.0,212.0,225.0,72.0,224.0,1048.0,318.0,110.0,266.0,447.0,15.0,52.0,1070.0,3036.0,243.0,2716.0,170.0,2021.0,1.0,1529.0,39.0,5.0,1697.0,28.0,204.0,0.0,2020.0,788.0,2.0,200.0,58.0,198.0,23.0,9792.0,0.0,0.0,37.0
hsa-let-7i-3p,6.0,0.0,9.0,20.0,20.0,9.0,13.0,7.0,1.0,6.0,5.0,10.0,2.0,8.0,3.0,0.0,0.0,0.0,0.0,5.0,25.0,0.0,1.0,25.0,3.0,76.0,6.0,21.0,21.0,20.0,7.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,10.0,2.0,15.0,7.0,5.0,0.0,0.0,0.0,35.0,2.0,3.0,0.0,18.0,2.0,7.0,13.0,28.0,7.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,4.0,0.0,10.0,5.0,0.0,3.0,3.0,20.0,2.0,22.0,0.0,17.0,0.0,26.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7i-5p,1274.0,41.0,2189.0,1693.0,971.0,671.0,491.0,210.0,615.0,120.0,486.0,625.0,704.0,1246.0,298.0,426.0,0.0,392.0,204.0,1986.0,1591.0,94.0,570.0,12521.0,3246.0,29302.0,1865.0,1849.0,8607.0,5856.0,1633.0,1351.0,424.0,165.0,2540.0,3.0,0.0,2369.0,162.0,1846.0,637.0,65.0,424.0,1323.0,375.0,36.0,218.0,26.0,1023.0,361.0,526.0,87.0,3624.0,4104.0,3500.0,9407.0,2243.0,2139.0,207.0,121.0,28.0,67.0,1034.0,265.0,351.0,40.0,17.0,941.0,389.0,91.0,428.0,576.0,28.0,129.0,863.0,2424.0,506.0,3478.0,228.0,2316.0,4.0,1619.0,42.0,32.0,1128.0,18.0,151.0,82.0,1715.0,1313.0,16.0,208.0,50.0,488.0,41.0,3390.0,0.0,0.0,0.0
hsa-miR-1-3p,9.0,8.0,2.0,8.0,10.0,6.0,1.0,9.0,7.0,3.0,14.0,4.0,9.0,45.0,3.0,2.0,0.0,61.0,102.0,6.0,73.0,0.0,9.0,81.0,83.0,69.0,420.0,23.0,279.0,103.0,110.0,32.0,0.0,4.0,180.0,0.0,20.0,41.0,1.0,56.0,92.0,10.0,7.0,6.0,5.0,1.0,6.0,0.0,48.0,5.0,5.0,0.0,137.0,32.0,76.0,241.0,4.0,300.0,4.0,3.0,1.0,1.0,87.0,0.0,0.0,2.0,3.0,10.0,10.0,4.0,13.0,5.0,1.0,0.0,33.0,30.0,7.0,19.0,14.0,109.0,0.0,97.0,4.0,0.0,26.0,0.0,7.0,14.0,85.0,46.0,15.0,39.0,37.0,5.0,14.0,162.0,317.0,318.0,315.0
hsa-miR-1-5p,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,6.0,6.0,1.0,4.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,1.0,4.0,5.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
