miRNA,ERR10658906,ERR10658907,ERR10658908,ERR10658909,ERR10658910,ERR10658911
hsa-miR-1276,0.0,1.69,0.0,0.74,0.0,0.0
hsa-miR-128-1-5p,1.36,0.0,0.2,0.0,0.0,0.0
hsa-miR-128-3p,31.6,120.86,133.26,66.49,19.85,36.34
hsa-miR-1283,0.94,0.0,0.0,0.0,0.0,0.0
hsa-miR-1285-3p,0.0,0.0,0.2,0.0,0.0,0.0
hsa-miR-1285-5p,0.21,0.0,1.37,0.0,0.79,0.25
hsa-miR-1287-5p,1.36,9.3,8.43,0.74,0.0,0.0
hsa-miR-129-2-3p,0.0,0.0,2.74,0.0,0.0,0.0
hsa-miR-129-5p,3.57,3.59,7.84,2.22,34.14,4.26
hsa-miR-1290,0.0,0.0,0.39,0.0,0.0,0.0
hsa-miR-1291,16.59,3.17,4.51,24.38,0.0,0.0
hsa-miR-1292-5p,0.0,0.0,0.0,0.0,0.0,0.25
hsa-miR-1293,0.0,0.21,1.76,0.0,0.0,0.0
hsa-miR-1295a,0.1,0.0,0.0,0.0,0.0,0.0
hsa-miR-1296-3p,0.0,0.0,0.0,0.0,0.79,0.0
hsa-miR-1296-5p,0.31,9.72,25.28,37.68,2.38,1.0
hsa-miR-1299,0.1,0.0,0.2,0.0,0.79,0.0
hsa-miR-1301-3p,0.0,3.8,12.35,0.74,0.79,1.25
hsa-miR-1303,0.0,0.0,0.0,0.0,0.79,0.0
hsa-miR-1306-5p,5.88,5.71,0.59,1.48,3.97,6.02
hsa-miR-1307-3p,88.92,183.41,219.29,186.92,242.19,65.16
hsa-miR-1307-5p,3.15,9.09,0.78,1.48,0.79,0.25
hsa-miR-130a-3p,10.39,23.88,22.73,5.17,3.18,15.54
hsa-miR-130a-5p,3.99,0.0,0.0,0.0,0.0,0.0
hsa-miR-130b-3p,0.63,6.34,2.35,2.22,2.38,6.27
hsa-miR-130b-5p,2.2,2.96,8.43,1.48,3.97,0.25
hsa-miR-132-3p,6.72,9.09,10.19,0.0,45.26,15.54
hsa-miR-132-5p,7.56,13.73,16.27,0.0,0.0,7.52
hsa-miR-1322,0.0,0.0,4.31,0.0,0.0,0.0
hsa-miR-133a-3p,2.62,29.37,5.68,45.07,0.0,13.03
hsa-miR-133a-5p,0.0,3.59,0.0,0.0,0.0,0.0
hsa-miR-133b,0.0,0.0,0.2,0.0,0.0,0.0
hsa-miR-134-5p,40.74,259.9,238.3,16.25,126.26,69.17
hsa-miR-1343-3p,0.0,0.0,0.2,0.0,0.0,0.0
hsa-miR-135a-3p,0.0,0.21,0.2,0.0,0.0,0.25
hsa-miR-135a-5p,0.42,4.01,0.78,2.22,2.38,0.25
hsa-miR-135b-3p,0.0,0.0,3.92,0.0,0.0,0.0
hsa-miR-135b-5p,4.72,48.6,42.72,2.22,2.38,39.6
hsa-miR-136-3p,9.66,31.06,17.64,0.74,0.0,8.52
hsa-miR-136-5p,0.0,28.1,7.84,0.0,61.94,0.0
hsa-miR-137-3p,20.79,62.12,89.36,0.74,10.32,16.29
hsa-miR-137-5p,0.0,2.75,5.29,0.0,0.0,0.0
hsa-miR-138-1-3p,0.0,1.69,0.0,0.0,0.0,0.0
hsa-miR-138-5p,15.96,46.06,39.78,35.46,0.79,7.02
hsa-miR-139-3p,3.15,3.38,10.19,0.0,0.0,0.0
hsa-miR-139-5p,3.57,0.0,0.39,0.0,0.0,0.0
hsa-miR-140-3p,11.44,72.9,46.84,4.43,100.85,22.31
hsa-miR-140-5p,2.94,7.61,6.47,1.48,0.79,0.0
hsa-miR-141-3p,0.0,0.0,0.0,0.0,1.59,4.26
hsa-miR-142-3p,11.65,20.71,19.01,51.72,108.79,88.22
hsa-miR-142-5p,0.0,1.69,7.05,0.0,0.0,4.76
hsa-miR-143-3p,78.53,431.48,463.07,376.79,192.96,264.41
hsa-miR-143-5p,2.73,3.8,0.0,0.0,0.0,0.0
hsa-miR-144-3p,0.0,1.06,0.0,0.0,0.0,6.77
hsa-miR-144-5p,0.0,2.11,4.31,0.0,0.0,2.26
hsa-miR-145-3p,0.0,0.0,0.0,0.0,0.0,5.26
hsa-miR-145-5p,1.57,16.06,14.11,0.0,0.79,0.0
hsa-miR-146a-5p,5.77,17.75,18.81,1.48,42.88,0.25
hsa-miR-146b-3p,0.0,0.0,6.47,0.0,0.0,3.76
hsa-miR-146b-5p,39.37,102.48,84.46,101.22,110.37,68.17
hsa-miR-147b-3p,0.0,0.0,2.16,0.0,0.0,0.0
hsa-miR-148a-3p,19.32,65.08,53.3,65.75,96.08,46.62
hsa-miR-148a-5p,0.0,0.0,0.0,0.0,0.0,0.25
hsa-miR-148b-3p,16.06,69.52,76.23,10.34,50.03,21.05
hsa-miR-148b-5p,0.0,3.59,0.0,0.0,0.0,0.0
hsa-miR-149-5p,24.67,62.55,80.15,63.54,38.11,29.07
hsa-miR-150-5p,0.0,0.0,1.37,0.0,0.0,3.26
hsa-miR-151a-3p,86.41,440.99,425.25,282.23,245.37,235.34
hsa-miR-151a-5p,11.44,28.53,26.06,1.48,1.59,16.54
hsa-miR-151b,0.1,0.42,0.78,0.0,0.79,0.25
hsa-miR-152-3p,7.45,57.9,80.74,0.74,0.79,35.34
hsa-miR-152-5p,0.0,2.75,0.0,0.0,0.0,0.0
hsa-miR-153-3p,0.0,0.42,0.0,0.0,0.0,0.5
hsa-miR-153-5p,0.0,0.0,0.0,0.0,0.79,0.0
hsa-miR-1538,0.0,1.48,0.0,0.0,0.0,0.0
hsa-miR-154-3p,0.0,2.32,0.0,0.0,0.0,0.0
hsa-miR-154-5p,5.46,9.72,4.12,0.0,0.0,15.79
hsa-miR-155-5p,142.68,895.28,1085.27,480.97,179.46,557.15
hsa-miR-15a-5p,4.51,18.81,6.66,0.74,0.0,0.25
hsa-miR-15b-3p,2.62,0.0,0.0,0.74,0.0,0.0
hsa-miR-15b-5p,1.89,27.89,15.68,45.81,1.59,7.02
hsa-miR-16-5p,352.97,2504.55,2709.24,1730.3,1278.44,1556.41
hsa-miR-17-3p,2.2,8.45,2.16,0.0,1.59,0.5
hsa-miR-17-5p,0.52,2.96,16.27,4.43,3.18,19.55
hsa-miR-181a-2-3p,27.82,63.39,48.21,42.11,76.23,93.74
hsa-miR-181a-3p,28.24,65.29,65.84,49.5,28.59,27.32
hsa-miR-181a-5p,311.71,832.74,905.96,455.85,319.21,191.73
hsa-miR-181b-3p,3.36,1.69,0.0,0.0,29.38,4.51
hsa-miR-181b-5p,116.96,225.04,216.15,50.24,188.99,80.45
hsa-miR-181c-3p,0.0,2.32,0.0,0.74,0.0,10.78
hsa-miR-181c-5p,6.61,13.52,21.95,37.68,0.0,2.26
hsa-miR-181d-5p,3.67,8.87,0.2,0.0,0.0,0.0
hsa-miR-182-5p,12.07,57.05,67.61,11.82,52.41,51.63
hsa-miR-183-5p,18.06,46.49,32.14,113.04,51.61,57.39
hsa-miR-184,0.0,8.03,10.78,0.0,40.5,0.0
hsa-miR-1843,0.1,0.21,0.0,0.74,0.0,2.51
hsa-miR-185-3p,0.0,0.85,0.0,0.0,0.0,0.0
hsa-miR-185-5p,2.83,15.0,27.04,4.43,5.56,8.02
hsa-miR-186-3p,2.62,0.0,0.0,0.0,0.0,0.0
hsa-miR-186-5p,40.21,82.83,94.85,51.72,7.15,94.24
hsa-miR-187-3p,6.3,12.89,8.82,0.0,0.79,5.26
hsa-miR-187-5p,0.0,0.0,3.72,0.0,0.0,0.0
hsa-miR-188-5p,0.1,0.0,0.0,0.0,0.0,0.0
