miRNA,GSM1712353,GSM1712354
hsa-let-7a-2-3p,5.26,0.0
hsa-let-7a-3p,7.02,0.0
hsa-let-7a-5p,2941.01,25.78
hsa-let-7b-3p,7.89,0.0
hsa-let-7b-5p,961.33,5.45
hsa-let-7c-5p,118.41,0.5
hsa-let-7d-3p,88.59,0.0
hsa-let-7d-5p,372.78,3.47
hsa-let-7e-3p,6.14,0.0
hsa-let-7e-5p,721.0,2.97
hsa-let-7f-1-3p,7.02,0.0
hsa-let-7f-5p,2454.2,19.33
hsa-let-7g-5p,407.86,9.91
hsa-let-7i-3p,1.75,0.0
hsa-let-7i-5p,257.0,0.99
hsa-miR-1-3p,46.49,1.98
hsa-miR-100-3p,0.88,0.0
hsa-miR-100-5p,4124.25,0.99
hsa-miR-101-3p,78.06,7.44
hsa-miR-10393-5p,1.75,0.0
hsa-miR-10395-3p,0.0,1.49
hsa-miR-10396a-3p,3.51,1.49
hsa-miR-10396a-5p,0.88,0.0
hsa-miR-10396b-3p,0.88,2.97
hsa-miR-103a-2-5p,0.88,0.0
hsa-miR-103a-3p,333.31,2.48
hsa-miR-10401-3p,1.75,5.95
hsa-miR-10401-5p,0.0,3.47
hsa-miR-10526-3p,1.75,0.0
hsa-miR-106a-5p,1.75,0.0
hsa-miR-106b-3p,35.09,0.0
hsa-miR-106b-5p,185.95,8.92
hsa-miR-107,7.89,0.99
hsa-miR-10a-3p,3.51,0.5
hsa-miR-10a-5p,517.5,21.32
hsa-miR-10b-3p,6.14,0.0
hsa-miR-10b-5p,262.26,11.9
hsa-miR-1178-5p,0.88,0.0
hsa-miR-1179,1.75,0.0
hsa-miR-1180-3p,66.66,0.5
hsa-miR-1185-1-3p,7.89,0.0
hsa-miR-1185-2-3p,3.51,0.0
hsa-miR-1185-5p,4.39,0.0
hsa-miR-1197,13.16,0.0
hsa-miR-12136,4.39,23.3
hsa-miR-122-5p,4.39,0.0
hsa-miR-1226-3p,0.88,0.0
hsa-miR-1228-3p,0.88,0.0
hsa-miR-122b-3p,28.95,0.0
hsa-miR-1237-5p,0.88,0.0
hsa-miR-124-3p,1.75,0.0
hsa-miR-1246,90.34,3.97
hsa-miR-1248,0.0,4.46
hsa-miR-1249-3p,0.88,0.0
hsa-miR-1255a,0.0,0.5
hsa-miR-125a-3p,22.81,0.0
hsa-miR-125a-5p,655.21,0.99
hsa-miR-125b-1-3p,43.86,0.0
hsa-miR-125b-2-3p,0.88,0.0
hsa-miR-125b-5p,12024.53,1.49
hsa-miR-126-3p,100.87,5.45
hsa-miR-126-5p,311.38,1.98
hsa-miR-1260b,498.21,1.98
hsa-miR-1262,1.75,0.0
hsa-miR-1268a,8.77,0.0
hsa-miR-1268b,1.75,0.0
hsa-miR-1269b,0.0,0.5
hsa-miR-127-3p,91.22,0.0
hsa-miR-127-5p,4.39,0.0
hsa-miR-1271-3p,0.0,0.5
hsa-miR-1271-5p,1.75,0.0
hsa-miR-1275,7.89,0.99
hsa-miR-128-3p,63.15,1.98
hsa-miR-1285-3p,0.88,0.0
hsa-miR-1285-5p,3.51,0.0
hsa-miR-1287-5p,3.51,0.0
hsa-miR-1291,0.88,0.5
hsa-miR-1292-5p,0.88,0.5
hsa-miR-1294,0.88,0.0
hsa-miR-1296-3p,0.0,0.5
hsa-miR-1296-5p,3.51,0.5
hsa-miR-1301-3p,9.65,0.99
hsa-miR-1303,0.88,0.0
hsa-miR-1304-5p,0.88,0.0
hsa-miR-1306-3p,0.0,0.5
hsa-miR-1306-5p,10.53,0.5
hsa-miR-1307-3p,77.19,0.0
hsa-miR-1307-5p,42.98,8.43
hsa-miR-130a-3p,279.8,0.5
hsa-miR-130a-5p,7.89,0.0
hsa-miR-130b-3p,44.73,2.97
hsa-miR-130b-5p,38.59,0.0
hsa-miR-132-3p,82.45,0.0
hsa-miR-132-5p,7.89,0.0
hsa-miR-133a-3p,7.02,0.0
hsa-miR-133b,4.39,0.0
hsa-miR-134-3p,0.88,0.0
hsa-miR-134-5p,162.27,0.0
hsa-miR-1343-3p,0.88,0.0
hsa-miR-135b-5p,0.88,0.0
hsa-miR-136-3p,7.89,0.0
hsa-miR-136-5p,71.92,0.0
hsa-miR-137-3p,13.16,0.0
hsa-miR-138-2-3p,0.88,0.0
hsa-miR-138-5p,7.02,0.0
hsa-miR-139-5p,19.3,0.0
hsa-miR-140-3p,103.5,5.45
hsa-miR-140-5p,8.77,0.0
hsa-miR-142-3p,28.95,4.96
hsa-miR-142-5p,38.59,0.99
hsa-miR-143-3p,288.57,0.5
hsa-miR-143-5p,14.03,0.0
hsa-miR-144-3p,18.42,5.95
hsa-miR-144-5p,64.03,13.88
hsa-miR-145-3p,21.05,0.0
hsa-miR-145-5p,2020.9,2.48
hsa-miR-1468-3p,0.88,0.0
hsa-miR-146a-5p,1109.57,0.0
hsa-miR-146b-5p,48.24,1.49
hsa-miR-148a-3p,125.43,4.46
hsa-miR-148a-5p,0.88,0.0
hsa-miR-148b-3p,27.19,0.0
hsa-miR-148b-5p,0.88,0.5
hsa-miR-149-3p,0.88,0.0
hsa-miR-149-5p,16.67,0.0
hsa-miR-150-5p,50.0,0.99
hsa-miR-151a-3p,55.26,0.99
hsa-miR-151a-5p,566.62,8.43
hsa-miR-151b,18.42,0.0
hsa-miR-152-3p,301.73,0.0
hsa-miR-154-3p,126.31,0.0
hsa-miR-154-5p,78.06,0.0
hsa-miR-155-5p,40.35,0.0
hsa-miR-15a-5p,145.6,12.39
hsa-miR-15b-3p,43.86,0.99
hsa-miR-15b-5p,52.63,5.95
hsa-miR-16-2-3p,18.42,0.0
hsa-miR-16-5p,1414.81,63.45
hsa-miR-17-3p,20.17,0.99
hsa-miR-17-5p,234.19,32.22
hsa-miR-181a-2-3p,50.0,0.0
hsa-miR-181a-3p,77.19,0.0
hsa-miR-181a-5p,320.15,3.97
hsa-miR-181b-2-3p,0.88,0.0
hsa-miR-181b-3p,4.39,0.0
hsa-miR-181b-5p,168.41,1.49
hsa-miR-181c-5p,2.63,0.5
hsa-miR-181d-5p,0.0,0.5
hsa-miR-182-5p,0.0,1.98
hsa-miR-183-5p,99.12,0.99
hsa-miR-1843,0.88,0.5
hsa-miR-185-3p,0.88,0.0
hsa-miR-185-5p,227.18,14.38
hsa-miR-186-5p,64.03,4.46
hsa-miR-188-5p,2.63,0.5
hsa-miR-18a-3p,1.75,0.0
hsa-miR-18a-5p,129.81,76.83
hsa-miR-18b-5p,13.16,0.0
hsa-miR-1908-5p,11.4,0.0
hsa-miR-190a-3p,2.63,0.0
hsa-miR-190a-5p,0.88,0.0
hsa-miR-191-3p,3.51,0.0
hsa-miR-191-5p,1473.57,26.27
hsa-miR-192-5p,452.6,2.97
hsa-miR-193a-3p,13.16,0.0
hsa-miR-193a-5p,348.22,1.49
hsa-miR-193b-3p,57.01,1.49
hsa-miR-193b-5p,12.28,0.0
hsa-miR-194-5p,20.17,0.99
hsa-miR-195-5p,207.0,0.0
hsa-miR-196a-5p,576.27,7.93
hsa-miR-196b-3p,0.88,0.0
hsa-miR-196b-5p,57.89,7.44
hsa-miR-197-3p,84.2,6.44
hsa-miR-199a-3p,2604.19,0.0
hsa-miR-199a-5p,166.65,0.0
hsa-miR-199b-3p,130.69,0.5
hsa-miR-199b-5p,216.65,0.0
hsa-miR-19a-3p,125.43,63.95
hsa-miR-19b-1-5p,1.75,0.0
hsa-miR-19b-3p,633.29,151.19
hsa-miR-200b-3p,7.89,0.0
hsa-miR-200c-3p,5.26,0.0
hsa-miR-203a-3p,31.58,0.0
hsa-miR-204-3p,0.88,0.0
hsa-miR-204-5p,11.4,0.0
hsa-miR-205-5p,25.44,0.0
hsa-miR-206,6.14,0.0
hsa-miR-20a-3p,0.0,0.5
hsa-miR-20a-5p,270.16,68.9
hsa-miR-21-3p,27.19,0.0
hsa-miR-21-5p,14928.7,26.77
hsa-miR-210-3p,8.77,0.0
hsa-miR-210-5p,0.88,0.0
hsa-miR-211-5p,0.88,0.0
hsa-miR-2110,0.88,0.0
hsa-miR-2116-3p,0.88,0.0
hsa-miR-212-3p,7.89,0.0
hsa-miR-214-3p,2038.44,0.0
hsa-miR-214-5p,4.39,0.0
hsa-miR-215-5p,13.16,0.99
hsa-miR-216b-5p,0.88,0.0
hsa-miR-218-1-3p,1.75,0.0
hsa-miR-218-5p,67.54,6.44
hsa-miR-219a-1-3p,0.88,0.0
hsa-miR-22-3p,328.05,3.47
hsa-miR-22-5p,50.0,0.0
hsa-miR-221-3p,1384.11,4.96
hsa-miR-221-5p,15.79,0.0
hsa-miR-222-3p,628.02,3.47
hsa-miR-222-5p,23.68,0.0
hsa-miR-223-3p,548.2,13.88
hsa-miR-224-3p,5.26,0.0
hsa-miR-224-5p,99.99,0.0
hsa-miR-2278,0.88,0.5
hsa-miR-23a-3p,5682.9,16.85
hsa-miR-23a-5p,5.26,0.0
hsa-miR-23b-3p,1561.29,3.97
hsa-miR-23b-5p,3.51,0.0
hsa-miR-24-2-5p,4.39,0.0
hsa-miR-24-3p,528.91,6.94
hsa-miR-25-3p,71.92,6.44
hsa-miR-25-5p,0.88,0.0
hsa-miR-2682-3p,2.63,0.0
hsa-miR-26a-1-3p,0.88,0.0
hsa-miR-26a-2-3p,0.88,0.0
hsa-miR-26a-5p,869.23,10.41
hsa-miR-26b-3p,4.39,0.0
hsa-miR-26b-5p,137.71,2.48
hsa-miR-27a-3p,811.34,0.0
hsa-miR-27a-5p,5.26,0.0
hsa-miR-27b-3p,362.25,2.48
hsa-miR-27b-5p,1.75,0.5
hsa-miR-28-3p,54.38,0.0
hsa-miR-28-5p,21.93,2.48
hsa-miR-296-3p,6.14,0.99
hsa-miR-296-5p,10.53,1.49
hsa-miR-299-3p,28.07,0.0
hsa-miR-299-5p,54.38,0.5
hsa-miR-29a-3p,1165.7,1.49
hsa-miR-29a-5p,17.54,0.0
hsa-miR-29b-1-5p,43.86,0.0
hsa-miR-29b-2-5p,0.88,0.0
hsa-miR-29b-3p,229.81,4.96
hsa-miR-29c-3p,57.01,1.98
hsa-miR-29c-5p,3.51,0.0
hsa-miR-301a-3p,5.26,1.98
hsa-miR-301b-3p,0.0,0.5
hsa-miR-30a-3p,10.53,0.0
hsa-miR-30a-5p,37.72,1.49
hsa-miR-30b-3p,1.75,0.0
hsa-miR-30b-5p,154.37,5.95
hsa-miR-30c-5p,157.01,6.94
hsa-miR-30d-3p,2.63,0.0
hsa-miR-30d-5p,158.76,27.76
hsa-miR-30e-3p,6.14,0.0
hsa-miR-30e-5p,16.67,6.44
hsa-miR-31-3p,277.17,0.0
hsa-miR-31-5p,1293.76,0.99
hsa-miR-3127-3p,0.88,0.0
hsa-miR-3129-3p,2.63,0.0
hsa-miR-3129-5p,0.88,0.0
hsa-miR-3154,0.88,0.0
hsa-miR-3178,15.79,0.0
hsa-miR-3182,17.54,0.99
hsa-miR-3195,1.75,0.0
hsa-miR-3196,1.75,0.5
hsa-miR-3198,0.0,0.5
hsa-miR-32-5p,5.26,0.0
hsa-miR-320a-3p,548.2,14.87
hsa-miR-320a-5p,7.89,0.0
