miRNA,SRR14934743
hsa-miR-21-5p,257176.48
hsa-miR-155-5p,143314.7
hsa-miR-181a-5p,44870.3
hsa-miR-92a-3p,12402.29
hsa-miR-146b-5p,12006.58
hsa-miR-26b-5p,10610.04
hsa-let-7f-5p,7989.18
hsa-let-7i-5p,7223.79
hsa-miR-181b-5p,14475.17
hsa-miR-16-5p,6289.9
hsa-miR-146a-5p,6008.96
hsa-miR-26a-5p,5262.36
hsa-miR-103a-3p,2984.96
hsa-miR-98-5p,3301.61
hsa-let-7a-5p,3549.07
hsa-miR-148b-3p,2616.84
hsa-let-7g-5p,3201.41
hsa-miR-1246,4463.5
hsa-miR-25-3p,2594.04
hsa-miR-19b-3p,2855.7
hsa-miR-93-5p,2477.89
hsa-miR-20a-5p,2105.86
hsa-miR-142-5p,4331.98
hsa-miR-301a-3p,1721.4
hsa-miR-17-5p,1946.36
hsa-miR-221-3p,1888.44
hsa-miR-186-5p,1945.68
hsa-miR-148a-3p,958.85
hsa-miR-191-5p,2002.92
hsa-miR-196a-5p,1566.9
hsa-miR-342-3p,1554.27
hsa-miR-34a-5p,1673.46
hsa-let-7c-5p,902.29
hsa-miR-9-5p,1597.62
hsa-miR-29a-3p,1287.33
hsa-miR-7-5p,830.47
hsa-miR-15a-5p,644.94
hsa-miR-142-3p,1334.4
hsa-miR-378a-3p,819.41
hsa-miR-101-3p,1665.04
hsa-miR-23a-3p,1770.92
hsa-miR-29b-3p,584.08
hsa-miR-210-3p,595.92
hsa-miR-106b-3p,783.5
hsa-miR-454-3p,758.74
hsa-miR-425-5p,870.98
hsa-let-7d-5p,657.86
hsa-miR-24-3p,382.5
hsa-miR-27a-3p,779.97
hsa-miR-19a-3p,1061.4
hsa-miR-106b-5p,557.75
hsa-miR-28-3p,469.39
hsa-miR-532-5p,355.89
hsa-miR-107,406.57
hsa-miR-30e-3p,457.16
hsa-miR-27b-3p,602.28
hsa-miR-1-3p,286.51
hsa-miR-196b-5p,475.56
hsa-miR-769-5p,287.1
hsa-miR-30c-5p,397.08
hsa-miR-660-5p,359.02
hsa-miR-124-3p,484.66
hsa-miR-423-3p,974.8
hsa-miR-222-3p,442.29
hsa-miR-30e-5p,486.42
hsa-miR-18a-5p,306.28
hsa-miR-766-3p,212.92
hsa-miR-15b-5p,247.96
hsa-miR-181c-5p,252.16
hsa-miR-181a-3p,301.58
hsa-miR-941,169.19
hsa-miR-21-3p,268.6
hsa-miR-130b-3p,194.43
hsa-miR-378c,103.72
hsa-miR-181d-5p,203.92
hsa-miR-30d-5p,312.73
hsa-miR-1307-5p,123.68
hsa-miR-128-3p,120.46
hsa-miR-29c-3p,156.27
hsa-miR-205-5p,139.54
hsa-miR-374b-5p,106.66
hsa-let-7b-5p,129.75
hsa-miR-421,161.45
hsa-miR-374a-5p,114.58
hsa-miR-301b-3p,80.24
hsa-miR-361-3p,126.82
hsa-miR-192-5p,79.26
hsa-miR-30b-5p,62.43
hsa-miR-374a-3p,65.85
hsa-miR-513c-5p,74.17
hsa-miR-425-3p,165.47
hsa-miR-140-3p,170.85
hsa-miR-484,76.23
hsa-miR-16-2-3p,84.84
hsa-miR-133a-3p,96.87
hsa-miR-99a-5p,84.84
hsa-miR-140-5p,43.94
hsa-miR-664a-3p,47.85
hsa-miR-17-3p,82.78
hsa-miR-320a-3p,70.26
hsa-miR-22-3p,183.77
hsa-miR-24-2-5p,48.14
hsa-miR-629-5p,49.02
hsa-miR-590-3p,51.96
hsa-miR-548o-5p,26.62
hsa-miR-15b-3p,44.52
hsa-miR-339-5p,43.05
hsa-miR-28-5p,51.47
hsa-miR-490-3p,53.13
hsa-miR-10a-5p,48.73
hsa-miR-490-5p,41.68
hsa-miR-652-3p,34.54
hsa-miR-3200-3p,27.79
hsa-miR-106a-5p,36.21
hsa-miR-4425,61.55
hsa-miR-152-3p,38.75
hsa-miR-92b-3p,51.37
hsa-miR-1307-3p,73.0
hsa-miR-330-3p,58.52
hsa-miR-324-5p,35.23
hsa-miR-361-5p,53.52
hsa-miR-33a-5p,37.48
hsa-miR-9-3p,52.35
hsa-miR-320c,16.24
hsa-miR-146b-3p,30.24
hsa-miR-32-5p,24.95
hsa-miR-582-3p,29.84
hsa-miR-454-5p,36.21
hsa-miR-642a-5p,17.12
hsa-miR-342-5p,52.15
hsa-miR-23b-3p,34.35
hsa-miR-590-5p,14.87
hsa-miR-150-5p,17.91
hsa-miR-320b,24.66
hsa-miR-625-3p,20.55
hsa-miR-185-5p,41.98
hsa-miR-589-5p,16.24
hsa-miR-7706,21.33
hsa-miR-190b-5p,14.97
hsa-miR-378d,26.13
hsa-miR-548k,14.68
hsa-miR-148b-5p,27.2
hsa-miR-31-5p,24.17
hsa-miR-193b-3p,17.81
hsa-miR-582-5p,25.34
hsa-miR-625-5p,17.12
hsa-miR-197-3p,10.57
hsa-miR-29a-5p,15.85
hsa-miR-146a-3p,21.82
hsa-miR-18b-5p,10.27
hsa-miR-1287-5p,12.04
hsa-miR-99a-3p,12.04
hsa-miR-223-3p,17.61
hsa-miR-195-5p,9.39
hsa-miR-423-5p,7.73
hsa-miR-1843,14.97
hsa-miR-20a-3p,8.42
hsa-miR-362-5p,8.61
hsa-let-7f-2-3p,9.59
hsa-miR-331-3p,9.49
hsa-miR-548l,12.72
hsa-miR-181b-3p,14.19
hsa-miR-548e-5p,14.29
hsa-miR-378a-5p,7.24
hsa-miR-1537-3p,12.72
hsa-miR-7-1-3p,9.1
hsa-miR-501-5p,8.71
hsa-miR-31-3p,7.24
hsa-miR-885-5p,6.16
hsa-miR-497-5p,8.61
hsa-miR-449a,5.87
hsa-miR-125b-5p,8.02
hsa-miR-18a-3p,15.85
hsa-miR-548c-5p,8.81
hsa-miR-548w,11.84
hsa-miR-4677-3p,6.07
hsa-miR-124-5p,11.25
hsa-miR-328-3p,5.97
hsa-miR-548o-3p,10.37
hsa-miR-505-3p,19.37
hsa-miR-744-5p,8.51
hsa-miR-181c-3p,7.44
hsa-miR-320d,5.38
hsa-miR-199a-3p,6.46
hsa-miR-548d-5p,4.31
hsa-miR-576-3p,6.46
hsa-miR-548j-5p,7.93
hsa-miR-32-3p,5.87
hsa-miR-664a-5p,7.83
hsa-miR-130b-5p,8.02
hsa-miR-151a-5p,4.6
hsa-miR-500a-5p,5.38
hsa-miR-500a-3p,10.96
hsa-miR-34a-3p,10.08
hsa-let-7d-3p,9.1
hsa-miR-455-5p,7.83
hsa-miR-33a-3p,7.53
hsa-miR-339-3p,6.36
hsa-miR-3912-3p,8.22
hsa-miR-331-5p,7.93
hsa-miR-6516-5p,6.46
hsa-miR-513a-5p,8.51
hsa-miR-548ak,3.52
hsa-miR-874-3p,7.34
hsa-miR-1299,4.89
hsa-miR-628-5p,3.62
hsa-miR-93-3p,5.48
hsa-miR-2467-5p,4.31
hsa-miR-151a-3p,5.97
hsa-miR-500b-5p,3.23
hsa-miR-330-5p,5.97
hsa-miR-4286,3.72
hsa-miR-942-5p,5.58
hsa-let-7g-3p,3.03
hsa-miR-103a-2-5p,2.64
hsa-miR-139-5p,3.03
hsa-let-7a-3p,5.77
hsa-miR-3615,3.72
hsa-miR-548bc,3.42
hsa-miR-188-5p,6.56
hsa-miR-486-5p,2.54
hsa-let-7i-3p,3.82
hsa-miR-30c-1-3p,2.94
hsa-miR-548ae-5p,3.33
hsa-miR-148a-5p,2.84
hsa-miR-324-3p,4.79
hsa-miR-944,3.72
hsa-miR-1179,2.15
hsa-miR-4516,4.21
hsa-miR-301a-5p,6.16
hsa-miR-4326,3.82
hsa-miR-101-5p,2.94
hsa-miR-513b-5p,5.19
hsa-miR-194-5p,4.5
hsa-miR-628-3p,4.21
hsa-miR-548a-3p,3.13
hsa-miR-502-3p,4.31
hsa-miR-1255a,2.54
hsa-miR-223-5p,4.11
hsa-miR-190a-5p,4.4
hsa-miR-365b-3p,2.25
hsa-mir-4719-3p,2.35
hsa-miR-22-5p,2.64
hsa-miR-33b-5p,1.96
hsa-miR-589-3p,3.52
hsa-miR-627-5p,2.15
hsa-miR-641,5.09
hsa-miR-769-3p,4.5
hsa-miR-942-3p,2.05
hsa-miR-1305,3.03
hsa-miR-3934-5p,2.84
hsa-miR-125b-2-3p,3.03
hsa-miR-501-3p,3.62
hsa-miR-502-5p,2.84
hsa-miR-451a,2.54
hsa-miR-196a-1-3p,3.42
hsa-miR-3115,1.47
hsa-miR-766-5p,6.46
hsa-miR-30d-3p,7.05
hsa-miR-3200-5p,1.96
hsa-miR-218-5p,1.47
hsa-miR-671-5p,3.82
hsa-mir-107-3p,1.47
hsa-miR-29c-5p,2.25
hsa-miR-2355-5p,1.96
hsa-miR-2110,2.05
hsa-miR-365a-3p,1.08
hsa-miR-629-3p,1.47
hsa-miR-27a-5p,1.37
hsa-miR-30a-3p,1.17
hsa-miR-215-5p,1.86
hsa-miR-26a-1-3p,1.08
hsa-miR-219a-5p,1.08
hsa-miR-133b,1.08
hsa-miR-505-5p,2.15
hsa-miR-455-3p,2.15
hsa-miR-19a-5p,1.57
hsa-miR-147b-5p,1.08
hsa-miR-4521,1.27
hsa-miR-185-3p,1.96
hsa-miR-29b-2-5p,1.66
hsa-miR-10b-5p,1.27
hsa-miR-196b-3p,1.57
hsa-miR-550a-5p,0.88
hsa-miR-548n,2.74
hsa-miR-4645-3p,2.45
hsa-miR-3143,1.86
hsa-miR-532-3p,1.47
hsa-miR-362-3p,2.25
hsa-miR-545-5p,1.76
hsa-miR-200c-3p,2.35
hsa-miR-6516-3p,1.57
hsa-miR-499a-5p,1.27
hsa-miR-548aq-3p,1.08
hsa-miR-3919,0.88
hsa-miR-887-3p,2.05
hsa-miR-25-5p,1.08
hsa-miR-147b-3p,1.37
hsa-miR-1285-3p,1.08
hsa-miR-199b-3p,0.68
