miRNA,SRR12991145,SRR12991146,SRR12991147,SRR12991148,SRR12991149,SRR12991150,SRR12991151,SRR12991152,SRR12991153,SRR12991154,SRR12991155,SRR12991156
hsa-let-7a-3p,14.94,12.64,8.51,8.7,7.83,10.44,5.79,11.93,9.7,15.3,9.83,7.73
hsa-let-7a-5p,12758.02,5265.57,5540.07,3618.94,4396.79,9031.0,7024.74,9810.24,6343.49,6856.81,4378.2,11320.31
hsa-let-7b-3p,4.01,3.11,2.22,2.9,2.41,3.2,4.17,4.89,2.99,2.99,2.25,5.0
hsa-let-7b-5p,3235.09,1418.46,1364.5,961.73,1207.61,2264.92,2064.2,2237.73,1609.16,1550.65,1205.21,2896.19
hsa-let-7c-5p,80.79,27.43,13.14,13.09,222.03,27.84,20.83,36.09,380.32,18.37,248.01,32.1
hsa-let-7d-3p,228.65,124.84,125.95,141.94,84.11,142.2,132.83,159.64,173.29,158.57,92.06,241.53
hsa-let-7d-5p,1418.82,598.27,591.65,373.56,486.42,774.79,688.64,914.48,782.4,762.17,439.8,1061.7
hsa-let-7e-3p,3.51,2.46,1.39,1.22,2.58,3.2,2.95,2.74,3.51,3.24,3.38,1.64
hsa-let-7e-5p,775.07,422.21,191.66,222.27,321.38,513.14,838.75,812.46,978.08,650.63,212.06,843.54
hsa-let-7f-1-3p,4.51,2.68,2.41,2.24,0.6,1.79,2.24,2.84,0.93,3.24,1.64,1.09
hsa-let-7f-2-3p,0.4,0.43,0.46,0.09,0.09,0.19,0.1,0.98,0.1,0.32,0.31,0.18
hsa-let-7f-5p,21117.56,13761.45,11452.36,9032.76,10153.74,14685.31,15197.29,20041.96,13589.87,13830.74,8824.9,22582.96
hsa-let-7g-3p,0.6,0.0,0.0,0.09,0.09,0.19,0.0,0.2,0.1,0.24,0.0,0.09
hsa-let-7g-5p,4426.96,3379.58,3292.5,3444.17,2825.62,3305.12,4219.15,5198.52,2944.56,2926.3,2268.3,5385.25
hsa-let-7i-3p,1.8,1.71,0.65,0.37,2.67,1.32,0.61,1.57,0.93,1.94,0.92,0.64
hsa-let-7i-5p,49586.11,32968.93,10513.85,7330.26,34664.13,33854.75,39387.58,46561.48,25455.46,27923.82,25006.72,17709.15
hsa-miR-1-3p,3.11,3.32,3.05,3.65,2.58,2.26,4.88,2.93,2.79,5.34,3.89,3.18
