miRNA,SRR18030414,SRR18030415,SRR18030416
hsa-let-7a-2-3p,0.0,0.0,0.91
hsa-let-7a-3p,1.61,1.68,5.71
hsa-let-7a-5p,8.95,38.46,104.82
hsa-let-7b-3p,9.41,5.53,13.02
hsa-let-7b-5p,1359.41,833.94,2104.92
hsa-let-7c-3p,0.0,0.24,0.0
hsa-let-7c-5p,38.56,28.61,200.06
hsa-let-7d-3p,69.31,42.31,115.79
hsa-let-7d-5p,1.15,2.88,3.65
hsa-let-7e-3p,0.46,0.0,0.0
hsa-let-7e-5p,2.07,2.16,8.91
hsa-let-7f-1-3p,0.0,0.24,0.0
hsa-let-7f-5p,5.51,17.79,30.37
hsa-let-7g-5p,13.77,11.78,64.86
hsa-let-7i-3p,0.0,0.0,1.6
hsa-let-7i-5p,394.99,295.45,1328.22
hsa-miR-1-3p,0.0,1.44,0.0
hsa-miR-100-5p,314.2,307.23,857.31
hsa-miR-101-3p,2.52,6.01,10.96
hsa-miR-101-5p,0.0,0.0,0.23
hsa-miR-10395-3p,0.0,0.0,1.14
hsa-miR-10396a-3p,7.8,87.02,29.69
hsa-miR-10396a-5p,0.0,0.48,6.85
hsa-miR-10396b-3p,11.25,31.49,12.56
hsa-miR-10396b-5p,2.07,4.33,4.11
hsa-miR-10399-3p,0.0,0.24,0.0
hsa-miR-103a-3p,1.15,1.2,1.14
hsa-miR-10401-3p,124.63,12.5,74.91
hsa-miR-10401-5p,1.38,0.0,1.14
hsa-miR-106a-5p,0.0,0.48,1.6
hsa-miR-106b-3p,1.61,3.61,7.08
hsa-miR-106b-5p,1.84,0.96,2.97
hsa-miR-107,0.0,0.24,0.46
hsa-miR-10a-3p,0.46,0.48,4.11
hsa-miR-10a-5p,203.12,321.65,693.57
hsa-miR-10b-3p,2.98,0.24,1.37
hsa-miR-10b-5p,285.74,424.06,769.85
hsa-miR-1180-3p,3.21,5.05,7.54
hsa-miR-1185-1-3p,0.0,0.24,0.0
hsa-miR-1193,0.0,0.0,1.37
hsa-miR-122-5p,227.68,543.78,43.16
hsa-miR-1224-5p,0.0,0.24,0.0
hsa-miR-1228-3p,0.92,0.0,1.14
hsa-miR-1228-5p,0.46,0.24,3.2
hsa-miR-1229-3p,0.46,0.0,0.0
hsa-miR-1233-5p,0.23,0.0,0.0
hsa-miR-1237-5p,0.0,0.0,0.91
hsa-miR-124-3p,0.0,0.24,0.0
hsa-miR-124-5p,0.0,1.2,0.23
hsa-miR-1246,8.72,44.71,112.13
hsa-miR-1248,0.0,0.0,0.46
hsa-miR-1249-3p,0.92,0.48,2.06
hsa-miR-1251-5p,0.0,0.24,0.0
hsa-miR-1255b-5p,0.0,0.0,0.91
hsa-miR-125a-3p,0.92,1.92,6.62
hsa-miR-125a-5p,326.83,191.6,619.35
hsa-miR-125b-1-3p,15.15,12.5,35.17
hsa-miR-125b-5p,111.31,109.86,402.85
hsa-miR-126-3p,12.16,13.7,23.98
hsa-miR-126-5p,0.0,0.0,0.23
hsa-miR-1269b,0.0,0.24,0.0
hsa-miR-127-3p,19.97,8.41,41.79
hsa-miR-127-5p,0.0,0.0,2.06
hsa-miR-1271-5p,0.0,0.24,0.0
hsa-miR-1273h-5p,0.0,0.24,1.14
hsa-miR-1275,0.0,0.24,2.28
hsa-miR-128-3p,86.3,66.83,194.35
hsa-miR-1284,0.0,0.24,0.0
hsa-miR-1285-5p,0.0,0.96,1.83
hsa-miR-1287-5p,0.0,0.24,0.0
hsa-miR-1289,0.0,0.0,1.37
hsa-miR-129-5p,2.3,2.88,3.2
hsa-miR-1291,9.41,2.4,38.6
hsa-miR-1292-5p,0.0,1.2,0.0
hsa-miR-1296-5p,0.0,0.0,1.6
hsa-miR-1297,0.0,0.0,0.23
hsa-miR-1299,0.0,0.0,0.91
hsa-miR-1301-3p,3.44,0.0,0.0
hsa-miR-1303,0.0,0.24,0.0
hsa-miR-1304-3p,0.0,0.0,0.23
hsa-miR-1304-5p,0.92,0.24,1.14
hsa-miR-1306-3p,4.36,0.0,1.14
hsa-miR-1306-5p,0.46,0.0,0.91
