miRNA,SRR12387837,SRR12387838,SRR12387839,SRR12387840,SRR12387841,SRR12387842,SRR12387843,SRR12387844,SRR12387845,SRR12387846,SRR12387847,SRR12387848,SRR12387849,SRR12387850,SRR12387851,SRR12387852,SRR12387853,SRR12387854,SRR12387855,SRR12387856,SRR12387857,SRR12387858,SRR12387859,SRR12387860,SRR12387861,SRR12387862,SRR12387863,SRR12387864,SRR12387865,SRR12387866,SRR12387867,SRR12387868,SRR12387869,SRR12387870,SRR12387871,SRR12387872,SRR12387873,SRR12387874,SRR12387875,SRR12387876,SRR12387877,SRR12387878,SRR12387879,SRR12387880,SRR12387881,SRR12387882,SRR12387883,SRR12387884,SRR12387885,SRR12387886,SRR12387887,SRR12387888,SRR12387889,SRR12387890,SRR12387891,SRR12387892,SRR12387893,SRR12387894,SRR12387895,SRR12387896,SRR12387897,SRR12387898,SRR12387899,SRR12387900,SRR12387901,SRR12387902,SRR12387903,SRR12387904,SRR12387905,SRR12387906,SRR12387907,SRR12387908
hsa-let-7f-1-3p,0.0,9.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,7.0,2.0,2.0,1.0,1.0,2.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
hsa-let-7f-2-3p,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0
hsa-let-7f-5p,11889.0,48751.0,6287.0,12712.0,7621.0,17268.0,21824.0,26618.0,29911.0,19906.0,16688.0,36264.0,10175.0,15761.0,16074.0,14399.0,50181.0,10614.0,30099.0,83198.0,6675.0,8220.0,10356.0,4232.0,19934.0,50151.0,27872.0,110745.0,84971.0,33833.0,25730.0,16444.0,42492.0,68157.0,16078.0,7077.0,10959.0,6366.0,6814.0,3659.0,3258.0,8608.0,20157.0,7971.0,6332.0,3997.0,4451.0,7594.0,4563.0,7243.0,15682.0,32029.0,13229.0,10183.0,5391.0,6878.0,3610.0,4606.0,3007.0,1475.0,11065.0,7911.0,14265.0,5411.0,10476.0,14417.0,14074.0,9192.0,3740.0,4779.0,10150.0,13779.0
hsa-let-7g-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7g-5p,5887.0,42106.0,3377.0,5804.0,2865.0,10464.0,10127.0,11844.0,10758.0,6651.0,4348.0,15558.0,3228.0,7282.0,7368.0,8242.0,27786.0,4554.0,14788.0,24269.0,3109.0,3000.0,3998.0,1694.0,5201.0,16921.0,9843.0,31284.0,34355.0,12134.0,11449.0,8454.0,16813.0,26433.0,6469.0,3587.0,5157.0,2175.0,2393.0,1195.0,981.0,2991.0,5982.0,2636.0,1651.0,936.0,1150.0,2083.0,986.0,1779.0,7215.0,25454.0,4568.0,4458.0,1767.0,1839.0,1260.0,1457.0,756.0,427.0,3197.0,1981.0,4176.0,1537.0,3304.0,4206.0,4332.0,3222.0,1011.0,1600.0,3658.0,4017.0
hsa-let-7i-3p,1.0,28.0,0.0,0.0,0.0,12.0,0.0,6.0,0.0,1.0,0.0,1.0,0.0,1.0,4.0,0.0,6.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,3.0,2.0,0.0,4.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
hsa-let-7i-5p,16699.0,104266.0,9459.0,14336.0,10222.0,21671.0,37263.0,37764.0,34188.0,21317.0,15901.0,55099.0,12236.0,32560.0,28598.0,20211.0,61977.0,14523.0,59339.0,113945.0,10485.0,11860.0,13642.0,6477.0,22960.0,55909.0,42561.0,107296.0,84435.0,35320.0,32152.0,34601.0,56853.0,100186.0,22316.0,15952.0,14642.0,8221.0,7770.0,4580.0,3725.0,10032.0,19199.0,9062.0,6484.0,2410.0,4037.0,9702.0,3987.0,11673.0,25102.0,53787.0,13649.0,14701.0,5260.0,9427.0,4187.0,5227.0,2652.0,2281.0,11942.0,6659.0,11820.0,5060.0,8047.0,12520.0,16301.0,10494.0,4251.0,7569.0,10863.0,16821.0
hsa-miR-1-3p,95.0,202.0,77.0,245.0,196.0,226.0,31.0,59.0,57.0,55.0,19.0,32.0,10.0,134.0,34.0,359.0,536.0,157.0,218.0,662.0,3.0,18.0,116.0,1.0,70.0,32.0,23.0,119.0,107.0,164.0,35.0,44.0,15.0,26.0,56.0,14.0,179.0,79.0,893.0,71.0,273.0,164.0,27.0,4.0,72.0,4.0,2.0,1.0,6.0,22.0,30.0,861.0,313.0,251.0,194.0,132.0,10.0,10.0,4.0,2.0,96.0,5.0,6.0,20.0,30.0,34.0,10.0,20.0,4.0,1.0,16.0,3.0
hsa-miR-100-5p,353.0,1468.0,416.0,1079.0,216.0,1767.0,323.0,1408.0,7843.0,363.0,416.0,740.0,201.0,693.0,1305.0,418.0,608.0,344.0,1009.0,1440.0,371.0,260.0,3708.0,355.0,669.0,370.0,521.0,1817.0,1074.0,827.0,545.0,495.0,851.0,759.0,763.0,219.0,359.0,262.0,1738.0,318.0,96.0,429.0,338.0,135.0,100.0,188.0,122.0,133.0,99.0,196.0,800.0,986.0,493.0,928.0,330.0,1651.0,79.0,108.0,126.0,33.0,291.0,126.0,308.0,136.0,259.0,270.0,296.0,242.0,161.0,37.0,359.0,223.0
hsa-miR-101-2-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
