miRNA,SRR16760614,SRR16760616,SRR16760617,SRR16760618,SRR16760620,SRR16760621,SRR16760622,SRR16760623,SRR16760624,SRR16760625,SRR16760626,SRR16760627,SRR16760628,SRR16760629,SRR16760630,SRR16760631,SRR16760633,SRR16760634,SRR16760635,SRR16760636,SRR16760637,SRR16760641,SRR16760644,SRR16760645,SRR16760647,SRR16760648,SRR16760649,SRR16760650,SRR16760654,SRR16760655,SRR16760656,SRR16760661,SRR16760662,SRR16760663,SRR16760664,SRR16760665,SRR16760666,SRR16760668,SRR16760669,SRR16760670,SRR16760671,SRR16760673,SRR16760674,SRR16760675,SRR16760676,SRR16760677,SRR16760678,SRR16760679,SRR16760681,SRR16760682,SRR16760683,SRR16760686,SRR16760689,SRR16760690,SRR16760691,SRR16760615,SRR16760619,SRR16760632,SRR16760638,SRR16760639,SRR16760642,SRR16760643,SRR16760646,SRR16760651,SRR16760652,SRR16760653,SRR16760657,SRR16760658,SRR16760659,SRR16760660,SRR16760667,SRR16760672,SRR16760680,SRR16760684,SRR16760687,SRR16760688
hsa-miR-28-3p,52.0,802.0,542.0,2206.0,305.0,9.0,153.0,79.0,47.0,1008.0,523.0,130.0,308.0,321.0,514.0,94.0,9.0,147.0,734.0,324.0,105.0,36.0,60.0,6122.0,11.0,52.0,87.0,257.0,692.0,1968.0,5.0,8.0,4.0,121.0,1.0,1289.0,20.0,36.0,65.0,393.0,0.0,10.0,35.0,2.0,0.0,3.0,13.0,48.0,0.0,3.0,15.0,10.0,1.0,0.0,20.0,178.0,60.0,52.0,160.0,129.0,15.0,155.0,41.0,578.0,400.0,1062.0,16.0,228.0,11.0,1767.0,80.0,10.0,16.0,1.0,38.0,2.0
hsa-miR-28-5p,12.0,170.0,86.0,342.0,85.0,5.0,46.0,20.0,6.0,115.0,89.0,20.0,37.0,51.0,92.0,9.0,0.0,25.0,32.0,83.0,23.0,3.0,6.0,405.0,2.0,6.0,0.0,30.0,88.0,300.0,1.0,0.0,0.0,34.0,1.0,79.0,51.0,10.0,30.0,64.0,0.0,3.0,4.0,1.0,0.0,0.0,9.0,12.0,0.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,29.0,7.0,26.0,17.0,0.0,14.0,7.0,116.0,32.0,160.0,3.0,45.0,5.0,246.0,20.0,4.0,3.0,0.0,5.0,1.0
hsa-miR-296-3p,0.0,0.0,0.0,38.0,4.0,1.0,3.0,5.0,4.0,5.0,3.0,3.0,5.0,5.0,6.0,1.0,0.0,0.0,2.0,262.0,32.0,2.0,1.0,32.0,2.0,2.0,1.0,4.0,2.0,20.0,0.0,0.0,0.0,9.0,0.0,2.0,19.0,3.0,10.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,39.0,16.0,0.0,0.0,0.0,2.0,0.0,8.0,1.0,4.0,0.0,11.0,10.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-296-5p,0.0,24.0,4.0,108.0,0.0,0.0,2.0,0.0,1.0,21.0,4.0,0.0,1.0,1.0,66.0,0.0,0.0,10.0,5.0,139.0,15.0,0.0,0.0,5.0,1.0,1.0,1.0,3.0,4.0,90.0,0.0,1.0,0.0,2.0,0.0,7.0,19.0,1.0,2.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,10.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,15.0,6.0,0.0,1.0,0.0,0.0,0.0
hsa-miR-297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-299-3p,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,17.0,0.0,1.0,0.0,1.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-299-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,2.0,1.0,0.0,3.0,0.0,0.0,1.0,2.0,12.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,3.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-29a-3p,176.0,1198.0,778.0,854.0,541.0,122.0,816.0,262.0,83.0,610.0,769.0,471.0,387.0,664.0,624.0,97.0,11.0,195.0,128.0,285.0,139.0,88.0,117.0,17708.0,29.0,76.0,59.0,67.0,726.0,806.0,6.0,9.0,2.0,318.0,2.0,189.0,441.0,115.0,284.0,417.0,0.0,11.0,16.0,50.0,0.0,24.0,29.0,17.0,0.0,14.0,10.0,5.0,0.0,0.0,23.0,134.0,369.0,26.0,184.0,128.0,59.0,114.0,49.0,998.0,352.0,640.0,36.0,348.0,12.0,592.0,464.0,16.0,34.0,2.0,69.0,1.0
hsa-miR-29a-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-29b-1-5p,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
