miRNA,SRR13041529,SRR13041530,SRR13041531,SRR13041532,SRR13041533,SRR13041534,SRR13041535,SRR13041536
hsa-let-7a-3p,1.69,14.34,9.73,0.97,4.72,8.75,18.27,2.45
hsa-let-7a-5p,1471.16,14415.47,26959.58,4728.13,8730.87,17843.21,8679.15,9924.05
hsa-let-7b-3p,1.45,2.37,3.9,3.87,6.09,6.52,6.84,1.89
hsa-let-7b-5p,3496.5,4172.6,6851.5,5495.25,5933.33,16715.74,10374.73,5369.18
hsa-let-7c-3p,0.0,0.04,0.0,0.0,0.0,0.78,0.0,0.11
hsa-let-7c-5p,77.05,197.57,412.43,233.25,223.12,989.66,606.17,215.78
hsa-let-7d-3p,18.08,65.71,128.14,84.45,191.99,154.97,81.36,128.92
hsa-let-7d-5p,305.43,2612.55,5389.96,795.52,1852.38,2002.89,1193.44,1615.22
hsa-let-7e-3p,0.0,0.73,1.12,0.42,0.33,1.34,0.96,0.0
hsa-let-7e-5p,8.38,184.97,375.6,47.88,155.43,133.74,103.17,54.42
hsa-let-7f-1-3p,0.05,1.98,2.83,0.97,0.85,1.45,1.96,0.5
hsa-let-7f-2-3p,0.0,0.68,0.43,0.0,0.07,0.0,0.48,0.0
hsa-let-7f-5p,784.95,14678.35,17165.53,1223.21,3941.31,6126.26,3493.75,3798.98
hsa-let-7g-3p,0.05,0.25,0.16,0.0,0.0,0.0,0.67,0.0
hsa-let-7g-5p,1274.54,5407.04,4709.81,717.61,1256.74,2256.38,1516.59,959.87
hsa-let-7i-3p,0.42,1.08,1.18,0.24,0.26,1.34,0.77,0.33
hsa-let-7i-5p,8506.51,17659.13,13852.31,3429.67,8183.33,9447.03,8216.29,4585.69
hsa-miR-1-3p,23.98,58.97,49.5,26.45,19.66,33.94,22.67,28.49
hsa-miR-100-5p,57.89,44.04,63.78,62.29,122.4,132.29,276.47,38.06
hsa-miR-101-3p,58.73,197.68,79.65,39.05,57.53,113.79,84.71,39.12
hsa-miR-101-5p,0.0,0.08,0.0,0.0,0.0,0.0,0.1,0.0
hsa-miR-10393-3p,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10394-3p,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0
hsa-miR-10395-3p,0.56,0.14,0.21,0.42,0.0,0.06,0.19,0.06
hsa-miR-10395-5p,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0
hsa-miR-10396a-3p,0.0,0.0,0.0,0.24,0.0,0.0,0.0,0.0
hsa-miR-10396b-5p,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0
hsa-miR-10398-3p,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0
hsa-miR-10399-3p,3.61,6.21,8.82,3.15,6.49,6.41,4.5,4.06
hsa-miR-10399-5p,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-103a-2-5p,0.05,0.52,0.27,0.0,0.0,0.0,0.0,0.0
hsa-miR-103a-3p,25.43,934.71,1137.59,41.59,65.4,20.12,122.74,156.3
hsa-miR-10400-5p,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0
hsa-miR-10401-3p,0.75,0.2,1.18,1.09,1.31,1.06,0.05,0.0
hsa-miR-10401-5p,0.0,0.02,0.0,0.12,0.26,0.61,0.1,0.17
hsa-miR-10527-5p,0.28,0.0,0.0,0.0,0.26,0.0,0.0,0.0
hsa-miR-106a-3p,0.0,0.16,0.0,0.0,0.0,0.0,0.57,0.0
hsa-miR-106a-5p,2.11,4.37,3.53,1.57,0.79,3.96,4.88,1.72
hsa-miR-106b-3p,161.92,159.54,236.5,96.31,149.07,166.73,136.65,88.75
hsa-miR-106b-5p,6.7,16.45,11.07,4.18,10.29,22.01,21.28,3.39
hsa-miR-107,0.37,15.33,22.13,0.91,10.55,4.24,5.93,9.4
hsa-miR-10a-3p,0.47,2.22,1.18,1.15,2.1,2.51,3.54,1.06
hsa-miR-10a-5p,248.24,230.49,313.91,543.56,635.74,994.56,468.7,316.38
hsa-miR-10b-3p,1.69,2.0,2.41,1.15,1.44,5.68,3.44,1.39
hsa-miR-10b-5p,586.36,349.85,426.11,949.4,712.21,1619.68,836.57,463.83
hsa-miR-11400,0.37,54.09,99.54,1.76,5.9,2.34,3.78,3.78
hsa-miR-11401,2.06,1.9,4.28,2.3,8.78,7.86,7.13,4.9
hsa-miR-1180-3p,12.32,4.32,8.02,25.0,16.58,50.32,20.04,20.42
hsa-miR-1185-1-3p,0.42,5.54,4.81,0.54,0.85,0.84,0.19,0.83
hsa-miR-1185-2-3p,0.0,0.35,0.37,0.0,0.33,0.0,0.0,0.22
hsa-miR-1185-5p,0.0,0.02,0.11,0.0,0.0,0.0,0.0,0.0
hsa-miR-1193,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.17
hsa-miR-1197,0.0,0.93,0.37,0.0,0.0,0.61,0.05,0.11
hsa-miR-12129,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-12136,0.19,0.05,0.37,0.42,0.2,0.11,0.29,0.28
hsa-miR-122-3p,0.09,0.39,0.48,0.0,0.59,0.0,0.1,0.0
hsa-miR-122-5p,743.5,1724.86,1245.57,1008.18,1332.29,2719.06,599.81,436.17
hsa-miR-1224-5p,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.0
hsa-miR-1225-3p,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1226-3p,0.0,0.02,0.27,0.06,0.13,0.06,0.24,0.0
hsa-miR-1227-3p,0.05,0.0,0.0,0.0,0.07,0.0,0.0,0.0
hsa-miR-1229-3p,0.0,0.08,0.21,0.12,0.52,0.28,0.0,0.0
hsa-miR-122b-5p,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0
hsa-miR-1234-3p,0.0,0.07,0.21,0.0,0.0,0.0,0.0,0.06
hsa-miR-1236-5p,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1238-3p,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.28
hsa-miR-124-3p,0.19,0.05,0.48,0.3,0.66,1.45,0.81,0.28
hsa-miR-124-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0
hsa-miR-1244,0.0,0.08,0.0,0.0,0.07,0.0,0.0,0.0
hsa-miR-1246,8.06,1.88,4.76,8.05,2.75,4.63,2.34,2.45
hsa-miR-1247-5p,0.0,0.01,0.0,0.0,0.0,0.11,0.0,0.11
hsa-miR-1248,0.33,0.05,0.37,0.12,0.07,0.0,0.0,0.0
hsa-miR-1249-3p,0.23,0.46,1.18,0.0,0.66,0.0,0.0,0.06
hsa-miR-1250-5p,0.47,2.01,2.57,0.0,0.92,0.0,0.53,0.0
