miRNA,GSM4647569,GSM4647570,GSM4647571,GSM4647572,GSM4647573,GSM4647574,GSM4647575,GSM4647576,GSM4647577,GSM4647578,GSM4647579
hsa-miR-1296-5p,2.69,3.71,0.0,1.12,2.66,2.9,0.0,0.0,0.0,3.14,0.0
hsa-miR-1301-3p,0.0,0.0,0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1304-3p,4.04,1.86,0.0,4.46,0.0,0.0,0.0,0.0,0.0,9.94,1.29
hsa-miR-1306-3p,0.0,0.0,0.0,0.0,3.99,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1306-5p,2.69,0.62,0.0,0.0,0.67,0.0,1.71,0.0,0.0,0.0,0.0
hsa-miR-1307-3p,1327.78,2272.35,1424.4,2386.74,2199.12,1795.43,1041.18,687.87,754.89,2718.28,1329.42
hsa-miR-130b-5p,2.69,0.0,0.0,2.23,0.0,0.58,0.0,2.11,0.0,0.0,0.0
hsa-miR-132-3p,0.0,0.0,0.0,0.0,0.0,0.58,3.41,0.0,0.0,0.0,0.0
hsa-miR-1324,4.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.0
hsa-miR-133a-3p,0.0,0.62,1.39,1.12,0.67,1.16,1.71,0.0,0.0,1.57,0.0
hsa-miR-133b,0.0,0.0,0.0,0.0,0.0,2.32,0.0,0.0,0.0,0.0,0.0
hsa-miR-134-5p,4.04,0.0,0.0,0.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1343-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.04,0.0,0.0
hsa-miR-135a-2-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.18
hsa-miR-135a-3p,0.0,0.0,0.0,4.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-136-5p,10.77,0.62,0.0,5.58,0.0,2.9,0.0,0.0,8.34,16.74,0.0
hsa-miR-139-3p,455.16,366.97,399.05,387.19,308.65,291.5,387.14,267.7,335.74,494.8,409.05
hsa-miR-139-5p,0.0,0.0,4.16,0.0,0.0,4.65,0.0,0.0,3.13,0.0,0.0
hsa-miR-140-3p,40.4,56.93,10.39,16.74,25.94,1.74,0.0,4.92,9.38,7.32,16.83
hsa-miR-140-5p,126.58,140.47,47.8,68.06,23.95,30.78,20.47,0.0,599.53,8.37,27.18
hsa-miR-141-3p,6.73,6.81,0.0,1.12,5.32,12.19,0.0,0.0,2.09,57.54,3.88
hsa-miR-141-5p,6.73,0.0,0.0,1.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-142-3p,42814.78,16953.52,4757.46,12926.76,9379.87,10263.93,5037.06,2985.44,12401.4,5670.37,3101.54
hsa-miR-142-5p,822.79,331.69,81.06,167.37,180.93,150.39,86.98,39.35,118.86,85.26,84.14
hsa-miR-143-3p,14.81,11.76,8.31,4.46,3.33,11.61,0.0,0.0,0.0,0.0,0.0
hsa-miR-144-3p,2.69,0.0,0.69,0.0,1.33,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-144-5p,5.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.26,0.0,0.0
hsa-miR-145-5p,4.04,3.71,11.08,5.58,9.31,0.0,24.73,0.0,27.11,2.62,9.06
hsa-miR-146a-5p,71.37,40.22,27.71,39.05,13.97,61.55,29.85,5.62,11.47,53.87,25.89
hsa-miR-146b-3p,9.43,29.7,15.24,17.85,22.62,21.48,0.0,0.7,19.81,9.41,11.65
hsa-miR-146b-5p,1.35,29.7,11.08,6.69,9.31,1.74,0.0,2.81,3.13,9.41,0.0
hsa-miR-148a-3p,4.04,4.95,6.93,0.0,1.33,2.9,0.85,0.7,1.04,1.05,0.0
hsa-miR-148b-3p,4.04,4.33,0.0,3.35,0.0,0.0,0.0,0.7,0.0,0.0,0.0
hsa-miR-150-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.0
hsa-miR-150-5p,52.52,181.32,76.21,39.05,91.8,81.87,69.07,42.86,117.82,26.15,56.96
hsa-miR-151a-3p,33.67,20.42,15.24,34.59,31.93,22.07,32.4,4.92,11.47,24.58,14.24
hsa-miR-151a-5p,4.04,1.24,4.85,7.81,2.66,0.58,4.26,0.0,0.0,6.8,0.0
hsa-miR-151b,0.0,0.0,0.0,0.0,0.0,0.58,0.0,0.0,0.0,0.0,0.0
hsa-miR-152-3p,263.94,105.82,89.37,107.12,91.13,148.65,25.58,7.03,114.69,141.75,41.42
hsa-miR-153-3p,4.04,0.0,0.0,0.0,0.0,1.16,0.0,0.0,0.0,0.0,0.0
hsa-miR-155-5p,0.0,7.43,3.46,0.0,0.0,0.58,0.0,0.0,0.0,0.0,0.0
hsa-miR-15a-3p,0.0,0.0,0.0,1.12,0.0,0.0,0.0,0.0,0.0,2.62,0.0
hsa-miR-15a-5p,316.46,172.04,16.63,101.54,67.18,70.26,14.5,11.24,38.58,34.0,46.6
hsa-miR-15b-3p,2.69,14.23,0.0,3.35,2.0,0.0,0.0,0.0,2.09,3.14,1.29
hsa-miR-15b-5p,14.81,38.37,8.31,13.39,7.98,13.94,7.67,0.0,2.09,0.0,1.29
hsa-miR-16-5p,22799.81,14428.06,2323.65,6347.89,8024.87,5224.87,3309.43,975.94,2797.46,3750.26,6991.41
hsa-miR-17-3p,0.0,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-17-5p,4.04,1.24,0.0,0.0,0.0,0.0,0.0,0.0,1.04,0.52,0.0
hsa-miR-181a-2-3p,9.43,0.0,0.0,8.93,3.33,0.0,0.0,0.0,3.13,0.52,11.65
hsa-miR-181a-5p,8.08,19.8,1.39,11.16,5.99,7.55,6.82,0.7,27.11,0.0,0.0
hsa-miR-181b-2-3p,1.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-181b-5p,333.96,140.47,94.22,147.29,135.03,116.13,97.21,14.76,255.45,133.9,161.81
hsa-miR-181c-3p,6.73,0.0,0.0,0.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-181d-5p,29.63,0.0,1.39,0.0,17.96,5.23,5.12,0.0,0.0,2.09,2.59
hsa-miR-182-5p,172.37,61.26,232.78,53.56,179.6,101.62,51.16,25.29,49.01,130.76,9.06
hsa-miR-1827,0.0,0.0,0.0,0.0,1.33,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-183-3p,9.43,0.0,4.16,0.0,3.33,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-183-5p,5.39,0.0,0.0,6.69,0.0,0.0,0.0,0.0,4.17,0.0,0.0
hsa-miR-184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.18,0.0
hsa-miR-1843,9.43,10.52,0.0,11.16,13.97,5.81,5.12,1.41,4.17,10.98,22.01
hsa-miR-185-3p,22.89,30.94,22.17,10.04,19.96,13.36,5.97,0.0,12.51,9.41,9.06
hsa-miR-185-5p,103.69,27.85,22.86,41.29,23.95,33.68,28.99,0.7,10.43,16.74,37.54
hsa-miR-186-3p,4.04,0.0,0.0,3.35,0.0,0.0,2.56,0.0,0.0,0.0,2.59
hsa-miR-186-5p,6.73,6.81,11.08,2.23,14.63,8.71,14.5,0.0,0.0,0.0,3.88
hsa-miR-187-3p,8.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-188-5p,0.0,0.0,4.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-18a-3p,61.95,46.41,20.09,44.63,48.56,27.87,28.14,25.29,30.24,29.81,16.83
hsa-miR-18a-5p,1.35,1.24,0.0,8.93,0.0,3.48,0.0,0.0,0.0,0.0,0.0
hsa-miR-18b-3p,0.0,0.0,0.0,4.46,1.33,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-18b-5p,6.73,0.0,0.69,0.0,2.66,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1908-5p,13.47,13.0,9.01,5.58,18.63,31.36,19.61,10.54,6.26,2.09,5.18
hsa-miR-191-5p,162.94,151.61,96.3,180.76,258.09,170.14,141.55,78.69,47.96,161.1,156.63
hsa-miR-1914-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.88
hsa-miR-192-5p,10.77,6.19,4.85,2.23,4.66,8.13,0.0,0.0,0.0,0.52,3.88
hsa-miR-193a-5p,1.35,3.71,11.78,0.0,2.0,1.16,0.0,0.0,13.55,2.62,6.47
hsa-miR-193b-5p,0.0,0.0,1.39,0.0,0.67,0.0,0.0,0.7,5.21,4.71,0.0
hsa-miR-194-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.22,0.0,0.0,0.0
hsa-miR-194-5p,1163.49,476.5,1520.7,914.97,570.07,592.28,306.98,38.64,1347.12,214.45,346.92
hsa-miR-195-5p,56.56,48.89,41.57,40.17,29.93,54.58,45.19,5.62,46.92,38.71,22.01
hsa-miR-196a-5p,6.73,12.38,1.39,0.0,2.66,0.0,2.56,2.81,16.68,0.0,1.29
hsa-miR-196b-5p,514.41,276.62,68.59,112.7,252.11,131.81,104.03,19.67,80.28,68.0,51.78
hsa-miR-197-3p,2.69,13.61,15.24,6.69,7.32,2.9,5.12,0.0,5.21,8.89,15.53
hsa-miR-197-5p,1.35,0.0,1.39,0.0,0.0,0.0,4.26,0.0,13.55,2.62,0.0
hsa-miR-1972,5.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.57,0.0
hsa-miR-1976,0.0,0.0,0.0,4.46,0.0,0.0,0.0,0.7,0.0,0.0,0.0
hsa-miR-199a-3p,40.4,51.36,7.62,24.55,32.59,32.52,5.12,3.51,8.34,6.28,7.77
hsa-miR-199a-5p,6.73,0.0,11.78,0.0,0.0,8.71,0.0,0.0,0.0,0.0,0.0
hsa-miR-199b-3p,14.81,0.0,4.16,8.93,4.66,9.29,14.5,0.0,20.85,9.94,3.88
hsa-miR-19a-3p,8.08,4.95,0.0,4.46,0.0,0.0,4.26,0.0,0.0,0.0,2.59
hsa-miR-19b-3p,25.59,20.42,0.0,5.58,8.65,5.81,0.0,0.0,7.3,4.71,0.0
hsa-miR-200a-3p,12.12,0.0,0.0,8.93,0.0,0.0,0.0,0.0,1.04,0.0,10.36
hsa-miR-200a-5p,2.69,0.0,0.0,5.58,3.99,0.0,0.0,0.0,0.0,0.0,1.29
hsa-miR-200b-3p,0.0,0.0,0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-200b-5p,4.04,16.71,14.55,32.36,3.99,8.13,8.53,0.0,11.47,8.89,14.24
hsa-miR-200c-3p,184.49,217.21,104.61,198.62,162.31,225.88,150.93,42.16,131.38,209.74,106.15
hsa-miR-202-3p,1.35,0.62,9.01,18.97,6.65,8.71,0.0,0.0,6.26,12.55,5.18
hsa-miR-204-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.04,0.0,0.0
hsa-miR-205-5p,4.04,0.0,0.0,4.46,0.0,0.0,4.26,0.0,0.0,0.0,0.0
hsa-miR-2053,1.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-206,59.25,149.14,366.49,197.5,97.78,116.71,145.82,20.38,1224.08,15.17,323.62
hsa-miR-20a-5p,8.08,4.33,0.69,2.23,1.33,2.32,3.41,1.41,0.0,0.52,0.0
hsa-miR-20b-5p,0.0,3.09,0.0,0.0,0.0,0.58,0.0,2.81,1.04,0.0,0.0
hsa-miR-21-5p,98.3,51.36,21.48,43.52,23.95,34.26,15.35,1.41,14.6,12.03,9.06
hsa-miR-210-3p,0.0,0.0,0.0,2.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-211-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.09,0.0
hsa-miR-2110,0.0,1.24,0.0,0.0,0.67,0.0,2.56,0.0,1.04,9.94,1.29
hsa-miR-2115-3p,0.0,0.0,2.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-2115-5p,4.04,4.33,0.0,0.0,3.33,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-215-5p,18.85,3.09,11.08,36.82,0.67,3.48,2.56,0.0,9.38,0.0,18.12
hsa-miR-217-5p,0.0,7.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-218-5p,4.04,0.62,0.69,0.0,2.0,2.32,0.0,0.0,3.13,0.0,0.0
hsa-miR-22-3p,6.73,16.71,0.0,2.23,8.65,8.13,2.56,0.0,8.34,0.52,2.59
hsa-miR-221-3p,45.79,38.99,2.08,11.16,22.62,9.29,11.94,0.0,9.38,26.68,16.83
hsa-miR-221-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.71,0.0
hsa-miR-222-3p,14.81,7.43,0.69,1.12,6.65,8.71,3.41,0.0,0.0,2.09,0.0
hsa-miR-223-3p,19516.72,11091.32,2391.55,7497.19,10718.9,7276.38,2506.16,984.37,1300.2,4648.86,1931.34
hsa-miR-223-5p,595.21,432.56,184.28,560.14,534.15,405.89,199.54,36.54,112.61,577.45,207.11
hsa-miR-224-5p,9.43,1.86,0.69,3.35,2.0,0.58,0.85,0.0,0.0,2.62,9.06
hsa-miR-2278,1.35,0.0,0.0,1.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-2355-3p,24.24,6.19,5.54,16.74,1.33,2.9,0.0,0.0,10.43,4.18,0.0
hsa-miR-23a-3p,7304.13,6605.41,3312.97,5791.1,7036.4,4648.26,2386.78,773.59,2614.99,4261.8,4465.91
hsa-miR-23a-5p,0.0,0.0,2.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-23b-3p,13.47,4.33,2.77,7.81,0.0,6.39,0.0,0.0,0.0,5.75,3.88
hsa-miR-23b-5p,0.0,0.0,0.0,0.0,1.33,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-24-3p,21.55,21.04,4.85,14.51,9.31,13.36,4.26,0.7,7.3,5.23,1.29
hsa-miR-25-3p,154.86,189.98,65.12,94.84,161.64,68.52,72.48,28.1,51.09,59.1,106.15
hsa-miR-25-5p,0.0,0.0,0.0,0.0,2.66,0.0,0.0,0.0,4.17,0.0,0.0
hsa-miR-26a-5p,144.09,40.22,6.93,70.3,16.63,31.36,7.67,4.22,40.66,12.55,33.66
hsa-miR-26b-3p,12.12,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.18
hsa-miR-26b-5p,16.16,4.95,4.16,3.35,2.66,6.39,11.09,0.0,6.26,0.0,0.0
hsa-miR-27a-3p,1.35,8.66,0.0,2.23,0.0,1.74,0.0,0.0,0.0,0.0,0.0
hsa-miR-27b-3p,28.28,0.0,3.46,0.0,0.0,5.23,0.0,0.0,1.04,1.05,9.06
hsa-miR-28-3p,315.11,196.17,225.16,305.73,292.68,358.27,219.15,65.34,269.01,256.82,296.43
hsa-miR-28-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.13,0.0,0.0
hsa-miR-2861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.09,0.0,0.0
hsa-miR-29a-3p,26.93,25.37,2.77,5.58,31.93,14.52,1.71,0.0,9.38,5.75,5.18
hsa-miR-29b-1-5p,0.0,0.0,2.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-29c-3p,6.73,13.61,4.85,1.12,3.99,4.65,0.0,0.0,5.21,3.14,6.47
hsa-miR-29c-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0
hsa-miR-301a-3p,5.39,0.0,2.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3059-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.0
hsa-miR-3064-5p,17.51,6.19,4.85,0.0,3.33,0.0,0.0,0.0,0.0,4.71,0.0
hsa-miR-3065-3p,0.0,0.0,0.0,3.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3065-5p,6.73,0.0,0.0,10.04,0.0,5.81,0.0,0.0,11.47,0.0,0.0
hsa-miR-30a-3p,5.39,0.0,0.0,5.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-30a-5p,228.93,155.33,86.6,140.59,72.51,77.81,152.64,2.81,169.95,37.14,76.37
hsa-miR-30b-5p,0.0,4.33,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-30c-5p,6.73,20.42,3.46,3.35,2.0,5.81,6.82,3.51,0.0,13.08,2.59
hsa-miR-30d-5p,752.77,1164.02,780.79,872.57,657.21,526.67,575.59,284.56,1480.58,393.33,1121.01
hsa-miR-30e-3p,5.39,0.0,0.0,1.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-30e-5p,356.86,270.43,39.49,68.06,73.84,66.2,47.75,4.92,82.37,19.88,37.54
hsa-miR-3120-3p,0.0,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3127-3p,1.35,3.71,1.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3127-5p,0.0,6.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3144-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.62,0.0
hsa-miR-3146,0.0,0.0,0.0,2.23,0.0,0.0,0.0,0.0,0.0,0.0,2.59
hsa-miR-3150a-3p,0.0,4.33,4.16,2.23,0.0,0.0,2.56,0.0,0.0,0.0,0.0
hsa-miR-3150b-3p,0.0,0.0,0.0,6.69,2.0,0.0,2.56,0.0,0.0,0.0,0.0
hsa-miR-3158-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.71,0.0
hsa-miR-3164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.04,0.0,0.0
hsa-miR-3178,0.0,0.0,4.85,0.0,0.67,0.0,0.85,0.0,0.0,0.0,0.0
hsa-miR-3182,6.73,0.0,0.0,10.04,0.0,13.94,5.12,0.0,20.85,0.0,0.0
hsa-miR-3186-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.18,0.0
hsa-miR-3192-5p,1.35,0.62,0.69,3.35,2.66,0.0,1.71,0.0,0.0,0.0,0.0
hsa-miR-3194-3p,0.0,4.33,1.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.09,0.0,0.0
hsa-miR-3202,0.0,0.0,0.0,2.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-320a-3p,19048.09,22972.89,15610.18,13554.96,20473.94,10668.65,10040.0,2829.46,24464.98,15614.05,26324.27
hsa-miR-320a-5p,0.0,0.0,6.93,0.0,3.99,23.23,5.12,1.41,0.0,0.0,2.59
hsa-miR-320b,759.5,877.5,954.68,418.43,417.08,374.53,550.01,117.34,2122.86,350.97,728.78
hsa-miR-320c,61.95,61.26,74.13,42.4,54.55,47.03,35.81,9.13,142.84,78.46,72.49
hsa-miR-320d,6.73,3.09,5.54,4.46,2.0,6.97,3.41,0.0,21.9,5.75,3.88
hsa-miR-320e,13.47,0.0,0.0,5.58,14.63,4.65,3.41,0.0,15.64,1.57,5.18
hsa-miR-323b-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.23,0.0
hsa-miR-324-3p,131.97,160.9,65.82,151.75,178.94,150.97,57.13,16.16,37.54,138.61,94.5
hsa-miR-324-5p,327.23,545.81,224.47,446.33,432.37,201.49,279.69,42.86,201.23,268.32,495.78
hsa-miR-328-3p,0.0,4.33,0.69,1.12,0.0,0.0,9.38,0.7,7.3,0.52,0.0
hsa-miR-329-3p,0.0,0.0,0.0,1.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-331-3p,20.2,27.85,20.78,16.74,23.28,13.94,18.76,0.0,9.38,14.12,12.94
hsa-miR-338-3p,39.05,38.99,11.08,34.59,0.0,10.45,4.26,0.0,0.0,3.66,0.0
hsa-miR-339-3p,0.0,0.0,0.69,0.0,0.0,0.0,0.0,0.0,0.0,4.18,0.0
hsa-miR-339-5p,0.0,3.71,0.0,10.04,3.33,2.9,0.0,0.0,6.26,2.09,0.0
hsa-miR-340-3p,0.0,0.0,0.0,0.0,2.66,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-340-5p,0.0,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-342-3p,28.28,58.79,31.18,22.32,15.96,45.87,29.85,11.24,33.37,38.18,10.36
hsa-miR-342-5p,0.0,1.86,0.0,0.0,0.0,4.65,0.85,0.0,0.0,0.0,0.0
hsa-miR-345-5p,4.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.05,0.0
hsa-miR-34a-5p,0.0,0.0,0.0,1.12,0.0,0.0,0.0,0.0,4.17,0.0,5.18
hsa-miR-34b-3p,0.0,1.24,0.0,3.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-34c-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.57,0.0
hsa-miR-3609,0.0,6.19,2.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-361-3p,0.0,1.24,6.24,0.0,0.0,0.0,6.82,0.0,10.43,2.62,0.0
hsa-miR-361-5p,0.0,5.57,0.0,7.81,3.99,0.0,0.85,0.0,4.17,1.57,0.0
hsa-miR-3615,0.0,5.57,0.0,0.0,0.67,1.16,2.56,0.0,5.21,1.57,0.0
hsa-miR-3617-5p,2.69,0.0,0.0,0.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3619-3p,0.0,4.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-362-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.17,0.0,0.0
hsa-miR-362-5p,1.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-363-3p,1807.18,1092.86,112.93,300.16,503.55,274.66,357.29,77.29,353.46,142.79,420.7
hsa-miR-3648,0.0,0.0,0.0,0.0,2.66,0.0,0.0,2.81,0.0,1.57,0.0
hsa-miR-365b-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.04,0.0,5.18
hsa-miR-3665,0.0,0.62,7.62,2.23,0.67,4.06,0.0,0.0,2.09,0.52,0.0
hsa-miR-3682-3p,0.0,0.0,9.01,5.58,12.64,3.48,0.0,0.0,0.0,8.37,5.18
hsa-miR-3690,0.0,3.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.29
hsa-miR-3692-5p,1.35,3.71,0.0,1.12,2.66,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-370-3p,82.14,19.18,26.33,90.38,28.6,73.75,39.23,5.62,30.24,171.56,37.54
hsa-miR-374a-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.29
hsa-miR-374a-5p,0.0,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-375-3p,1.35,4.33,0.69,2.23,2.66,0.0,2.56,0.0,6.26,0.0,1.29
hsa-miR-376a-3p,0.0,6.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-378a-3p,2.69,8.04,0.0,0.0,0.0,0.0,0.0,0.0,7.3,0.0,7.77
hsa-miR-378a-5p,2.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-378c,0.0,0.62,3.46,0.0,0.67,0.0,0.85,0.0,0.0,0.0,0.0
hsa-miR-378d,12.12,10.52,0.0,5.58,3.33,5.81,0.0,6.32,11.47,4.18,0.0
hsa-miR-378h,0.0,0.0,0.0,1.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-381-3p,0.0,0.0,0.0,6.69,0.67,0.58,4.26,0.0,0.0,0.0,0.0
hsa-miR-382-5p,0.0,0.0,0.0,4.46,3.33,0.0,0.0,0.0,0.0,0.52,0.0
hsa-miR-383-5p,2.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3911,0.0,0.0,0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3912-3p,0.0,0.0,0.0,1.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3913-5p,0.0,1.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3915,2.69,0.0,0.0,0.0,0.0,0.0,0.0,1.41,0.0,0.0,7.77
hsa-miR-3928-3p,0.0,6.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.0
hsa-miR-3960,0.0,1.24,2.08,1.12,1.33,2.32,0.0,3.51,2.09,0.0,0.0
hsa-miR-409-3p,2.69,0.0,0.0,17.85,15.3,4.65,0.0,4.22,0.0,3.14,0.0
hsa-miR-412-5p,0.0,0.0,0.0,1.12,0.0,0.0,0.0,0.0,3.13,3.66,3.88
hsa-miR-423-3p,4.04,0.0,0.69,1.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-423-5p,0.0,4.33,7.62,0.0,7.32,4.65,4.26,1.41,19.81,9.94,12.94
hsa-miR-424-5p,21.55,0.0,10.39,2.23,10.64,0.0,8.53,0.0,3.13,19.35,0.0
hsa-miR-425-3p,1.35,5.57,0.0,0.0,0.67,0.58,0.0,0.0,0.0,3.66,0.0
hsa-miR-425-5p,55.21,50.13,16.63,61.37,69.18,22.07,28.99,8.43,49.01,29.81,36.25
hsa-miR-4270,0.0,0.0,0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-429,0.0,0.0,0.0,1.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.05,0.0
hsa-miR-431-3p,0.0,0.0,0.0,0.0,3.33,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-431-5p,2.69,0.0,0.0,0.0,0.67,1.74,0.0,0.0,0.0,0.52,9.06
hsa-miR-432-5p,964.19,318.08,704.58,3164.46,731.05,1428.45,962.73,640.09,171.0,3335.48,985.09
hsa-miR-433-3p,0.0,0.0,0.0,0.0,0.67,0.0,0.0,0.0,0.0,3.14,0.0
hsa-miR-4433b-3p,101.0,15.47,0.0,41.29,29.93,0.0,34.96,1.41,11.47,0.0,3.88
hsa-miR-4433b-5p,0.0,3.09,7.62,18.97,9.31,0.0,17.05,7.73,3.13,6.28,1.29
hsa-miR-4436a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.47
hsa-miR-4436b-3p,0.0,0.0,0.0,0.0,0.0,1.74,0.0,0.0,0.0,0.0,0.0
hsa-miR-4446-3p,0.0,0.0,0.0,2.23,0.0,7.55,0.0,0.0,0.0,0.0,2.59
hsa-miR-4446-5p,0.0,0.0,6.24,0.0,4.66,5.23,0.0,7.73,5.21,2.62,1.29
hsa-miR-4448,2.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.04,0.0,0.0
hsa-miR-4485-3p,0.0,3.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
