miRNA,GSM4647569,GSM4647570,GSM4647571,GSM4647572,GSM4647573,GSM4647574,GSM4647575,GSM4647576,GSM4647577,GSM4647578,GSM4647579
hsa-miR-6767-5p,0.0,3.71,2.08,3.35,2.66,0.0,0.0,0.0,0.0,4.71,6.47
hsa-miR-6774-5p,2.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-6777-5p,0.0,0.0,3.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-6779-5p,0.0,0.0,0.0,0.0,3.99,0.0,0.0,0.0,1.04,2.09,0.0
hsa-miR-6780a-5p,2.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-6782-5p,5.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-6783-5p,0.0,4.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-6791-5p,5.39,1.24,1.39,5.58,0.0,0.0,0.0,0.0,0.0,0.0,2.59
hsa-miR-6793-5p,0.0,0.0,2.08,2.23,3.99,1.74,1.71,0.0,0.0,0.0,6.47
hsa-miR-6797-5p,0.0,0.0,0.0,6.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-6798-3p,0.0,0.0,2.77,0.0,0.0,0.0,0.0,0.0,0.0,1.57,0.0
hsa-miR-6799-5p,2.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.29
hsa-miR-6800-5p,0.0,0.0,0.0,0.0,0.0,0.0,1.71,0.0,0.0,0.0,0.0
hsa-miR-6802-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.92,0.0,0.0,0.0
hsa-miR-6807-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.29
hsa-miR-6810-5p,0.0,0.0,0.0,2.23,0.0,0.0,0.0,0.0,0.0,4.71,5.18
hsa-miR-6814-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.21,0.0,0.0
hsa-miR-6817-5p,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-6825-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.81,0.0,0.0,0.0
hsa-miR-6826-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.09,0.0,0.0
