miRNA,SRR12004720,SRR12004721,SRR12004722,SRR12004723,SRR12004724,SRR12004725,SRR12004726,SRR12004727,SRR12004728,SRR12004729,SRR12004730,SRR12004731,SRR12004732,SRR12004733,SRR12004734,SRR12004735,SRR12004736,SRR12004737,SRR12004738,SRR12004739,SRR12004740,SRR12004741,SRR12004742,SRR12004743,SRR12004744,SRR12004745,SRR12004746,SRR12004747,SRR12004748,SRR12004749,SRR12004750,SRR12004751,SRR12004752,SRR12004753,SRR12004754,SRR12004755
hsa-let-7a-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0
hsa-let-7a-5p,1147.0,2387.0,2457.0,2125.0,1461.0,2038.0,2650.0,7679.0,3083.0,3198.0,3208.0,19920.0,22962.0,4264.0,31257.0,4901.0,17788.0,7952.0,1483.0,41014.0,1837.0,2254.0,3717.0,3067.0,2191.0,3050.0,2316.0,4760.0,1930.0,4943.0,3156.0,6051.0,2763.0,1675.0,3060.0,2037.0
hsa-let-7b-5p,467.0,948.0,1190.0,532.0,634.0,1204.0,1278.0,4421.0,778.0,586.0,854.0,4545.0,3660.0,1207.0,2683.0,884.0,1823.0,3856.0,849.0,4838.0,1227.0,1796.0,2274.0,2678.0,325.0,1272.0,894.0,2749.0,674.0,5884.0,2222.0,2765.0,1578.0,2071.0,570.0,1350.0
hsa-let-7c-5p,92.0,0.0,144.0,172.0,192.0,143.0,162.0,243.0,61.0,269.0,167.0,3534.0,1522.0,288.0,4820.0,218.0,1073.0,503.0,68.0,1344.0,199.0,42.0,277.0,307.0,102.0,314.0,94.0,195.0,157.0,449.0,415.0,737.0,85.0,174.0,205.0,151.0
hsa-let-7d-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,2.0,55.0,1.0,32.0,64.0,36.0,0.0,13.0,1.0,0.0,0.0,0.0,0.0,62.0,52.0,0.0,110.0,0.0,0.0,28.0,269.0,37.0,0.0,0.0,0.0,0.0,35.0
hsa-let-7d-5p,97.0,129.0,63.0,77.0,2.0,40.0,181.0,791.0,198.0,14.0,213.0,87.0,66.0,212.0,245.0,176.0,581.0,10.0,26.0,1805.0,153.0,154.0,304.0,382.0,75.0,320.0,37.0,143.0,38.0,160.0,300.0,421.0,331.0,138.0,100.0,285.0
hsa-let-7e-5p,33.0,63.0,112.0,38.0,22.0,105.0,104.0,27.0,230.0,157.0,69.0,582.0,1895.0,220.0,1222.0,71.0,463.0,219.0,50.0,16.0,58.0,68.0,288.0,40.0,23.0,248.0,86.0,154.0,2.0,217.0,168.0,42.0,63.0,44.0,91.0,137.0
hsa-let-7f-1-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7f-2-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7f-5p,1422.0,2438.0,1606.0,2092.0,1527.0,1979.0,2485.0,6333.0,2392.0,2563.0,2365.0,25102.0,21588.0,3889.0,23048.0,3512.0,15372.0,10214.0,2018.0,36133.0,2474.0,1822.0,4152.0,3589.0,1350.0,3535.0,2135.0,4033.0,1885.0,5349.0,3608.0,6646.0,3118.0,2088.0,2723.0,2373.0
