miRNA,SRR14729102,SRR14729103,SRR14729104,SRR14729111,SRR14729112,SRR14729113,SRR14729114,SRR14729115,SRR14729100,SRR14729101,SRR14729105,SRR14729106,SRR14729107,SRR14729108,SRR14729109,SRR14729110,SRR14729116,SRR14729117,SRR14729118,SRR14729119
hsa-miR-422a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-423-3p,343.62,1851.08,1179.03,487.4,931.54,334.13,635.79,347.45,537.61,1244.12,2464.7,683.55,3451.78,1297.26,285.44,1164.84,871.24,758.56,1326.8,839.58
hsa-miR-423-5p,1265.56,3301.51,1795.58,4317.71,13914.63,3440.48,1567.36,1289.02,320.79,1573.54,1580.63,244.06,1815.34,1198.45,76.74,3753.44,112.67,8112.91,652.96,1448.19
hsa-miR-424-3p,81.46,77.3,34.07,57.63,10.66,43.54,60.57,48.07,37.62,31.94,60.74,34.05,59.51,29.06,29.45,32.57,70.26,58.81,99.58,63.18
hsa-miR-424-5p,7.88,3.1,1.95,6.4,0.16,4.05,11.18,3.43,1.48,1.23,0.57,0.0,0.64,0.83,1.66,10.54,11.76,15.45,11.6,8.89
hsa-miR-425-3p,20.7,6.19,10.29,23.27,4.2,8.94,23.72,13.22,1.78,3.38,8.15,2.64,10.95,4.01,5.34,13.57,18.72,33.64,9.64,8.89
hsa-miR-425-5p,776.12,180.87,217.34,368.09,48.78,284.51,326.89,322.9,132.7,151.27,235.24,163.59,348.15,159.15,186.79,319.74,298.92,442.08,256.97,200.17
hsa-miR-4254,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
hsa-miR-4286,2.48,0.0,0.0,0.47,0.0,0.17,0.15,0.17,0.0,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.5,0.0,0.0
hsa-miR-429,2.03,3.47,1.67,1.25,0.16,0.34,1.06,0.51,0.89,0.46,0.0,0.0,0.64,0.14,0.55,6.23,0.99,2.49,3.39,3.02
hsa-miR-4291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0
hsa-miR-4306,3.38,0.12,6.4,1.87,0.16,0.0,0.6,0.0,2.22,0.0,0.14,0.28,0.77,0.0,1.29,0.16,0.83,9.72,2.68,0.32
hsa-miR-431-3p,0.23,0.0,0.14,1.25,3.72,1.18,0.91,0.51,0.0,0.0,0.0,0.0,0.0,0.69,0.18,1.12,1.33,0.0,0.36,0.63
hsa-miR-431-5p,2.48,0.0,3.48,2.19,0.0,3.38,3.47,2.06,2.22,3.38,1.86,0.97,3.35,1.66,4.42,3.03,3.15,0.25,0.89,3.02
hsa-miR-432-3p,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-432-5p,25.43,27.5,71.33,36.23,35.54,44.89,34.44,38.8,46.06,84.93,49.45,63.8,103.94,25.05,25.58,37.51,21.87,36.38,14.81,27.78
hsa-miR-4324,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4326,8.78,8.8,4.45,6.87,3.07,5.23,4.23,11.16,1.78,1.54,2.72,6.81,11.33,4.57,2.02,5.27,5.8,3.99,9.28,3.97
hsa-miR-433-3p,8.1,0.5,3.75,14.52,5.98,20.76,18.43,21.29,3.41,6.3,1.57,2.08,6.96,3.18,5.34,10.7,7.62,6.98,6.42,8.25
hsa-miR-4421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.48,0.0,0.5,0.36,0.0
hsa-miR-4424,0.23,0.0,0.0,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.54,0.0
hsa-miR-4425,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.32,0.0,0.0,0.0,0.0
hsa-miR-4426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4429,0.45,0.37,0.14,0.0,0.48,0.0,0.15,0.17,0.44,0.61,0.29,0.28,0.26,0.0,0.18,0.16,0.0,0.5,0.18,0.0
hsa-miR-4433a-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0
hsa-miR-4433b-3p,15.3,7.93,9.18,0.47,4.52,1.35,2.57,2.4,2.37,8.14,1.86,6.95,0.52,7.61,0.74,5.91,16.07,3.49,0.18,10.79
hsa-miR-4433b-5p,32.4,4.09,3.89,2.19,15.99,3.88,9.67,34.85,5.48,4.45,7.72,6.39,14.3,5.67,7.55,7.02,16.57,7.73,11.78,6.98
hsa-miR-4435,0.68,1.11,0.97,1.09,2.26,1.18,0.91,0.86,1.78,1.08,3.86,2.92,4.51,1.94,1.1,1.28,0.0,0.5,0.18,0.48
hsa-miR-4436a,0.0,0.0,0.28,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.11,0.13,0.0,0.0,0.0,0.0,1.0,0.0,0.16
hsa-miR-4436b-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
hsa-miR-4436b-5p,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4437,0.0,2.6,0.7,0.31,0.0,0.0,0.6,0.0,0.0,0.92,1.0,0.42,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
hsa-miR-4440,0.23,2.73,0.42,0.62,0.48,0.17,0.6,0.0,0.0,0.0,0.29,0.0,0.64,0.0,0.18,0.48,0.5,0.5,0.36,0.16
hsa-miR-4442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4443,15.08,89.32,4.73,1.56,17.28,0.0,2.11,0.86,13.63,4.45,10.15,3.61,18.93,3.6,2.94,1.44,4.14,11.71,3.57,1.59
hsa-miR-4444,0.0,0.12,0.28,1.56,0.32,0.0,1.21,1.37,0.0,0.31,1.0,0.0,0.26,0.14,0.18,1.44,2.15,2.24,0.36,0.79
hsa-miR-4445-5p,0.0,0.0,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4446-3p,13.05,21.68,8.34,9.21,6.14,4.73,9.21,10.64,13.03,10.75,17.29,20.57,47.27,11.07,2.58,9.1,12.92,11.96,14.1,4.92
hsa-miR-4446-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
hsa-miR-4449,0.0,0.0,0.0,0.0,1.94,0.17,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4450,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4451,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4464,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4466,1.13,0.87,0.0,0.16,1.62,0.0,0.0,0.0,0.89,0.0,0.14,0.0,0.52,0.28,0.0,0.16,0.17,1.0,0.0,0.0
hsa-miR-4467,2.25,1.49,0.83,0.16,4.36,0.51,0.91,0.34,2.07,1.08,7.57,2.36,3.22,1.38,0.74,0.0,0.5,1.0,0.36,0.0
hsa-miR-4470,0.9,0.5,0.0,0.47,3.23,0.84,0.6,0.69,0.89,0.31,0.86,0.0,0.0,0.0,0.18,0.8,1.49,1.74,1.96,0.16
hsa-miR-4473,3.83,4.21,3.62,1.09,0.0,0.84,1.36,0.51,1.48,1.23,2.29,1.81,1.55,2.35,1.66,0.8,0.0,0.5,0.54,0.16
hsa-miR-4474-3p,0.9,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.17,1.5,1.07,0.0
hsa-miR-4477b,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4479,0.0,0.25,0.0,0.62,1.13,0.51,0.0,0.34,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.16,0.17,0.75,0.0,0.0
hsa-miR-4482-3p,0.23,0.0,0.42,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.14,0.39,0.0,0.18,0.48,0.0,0.25,0.0,0.16
hsa-miR-4482-5p,0.23,0.0,0.0,0.0,0.0,0.0,0.91,0.69,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.32,0.0,0.0,0.0,0.0
hsa-miR-4484,0.0,0.87,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0
hsa-miR-4485-3p,1.58,0.0,0.42,0.16,0.48,0.0,0.91,0.69,0.89,0.15,0.43,0.42,1.8,0.14,0.0,1.12,0.66,1.25,0.18,0.48
hsa-miR-4487,0.0,1.61,0.28,0.16,0.0,0.68,0.15,0.51,0.0,0.61,1.43,0.0,0.39,0.14,0.0,0.0,0.0,0.75,0.0,0.0
hsa-miR-4488,4.73,20.07,0.7,6.25,19.06,2.03,2.42,0.69,11.11,3.07,7.0,3.47,4.64,1.94,1.84,0.96,10.77,19.94,1.61,0.32
hsa-miR-4489,0.0,1.24,1.81,0.94,0.0,0.34,1.21,0.86,0.89,0.61,1.14,1.11,1.03,0.83,0.37,0.8,0.99,2.24,0.89,0.16
hsa-miR-4492,0.45,1.73,0.83,0.62,0.16,0.51,0.45,0.34,1.78,0.0,0.86,1.11,1.29,0.55,0.37,0.0,0.0,0.75,0.36,0.0
hsa-miR-4497,0.68,0.12,0.14,2.34,5.01,0.0,0.15,0.0,1.33,0.15,0.14,0.28,0.0,0.0,0.0,0.0,0.66,1.74,0.36,0.16
hsa-miR-4498,0.0,0.12,0.0,0.0,0.0,0.17,0.0,0.51,0.0,0.0,0.0,0.83,0.0,0.0,0.0,0.0,0.17,0.0,0.36,0.48
hsa-miR-449a,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42,1.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-449b-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-449c-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4500,0.0,0.0,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0
hsa-miR-4503,0.45,1.49,0.97,0.31,0.0,0.0,0.76,0.17,0.74,0.0,0.57,0.83,0.9,0.69,1.1,0.48,0.17,0.75,0.0,0.16
hsa-miR-4504,2.25,1.11,2.36,0.16,0.0,0.84,0.6,1.37,1.33,1.84,2.14,0.42,2.83,1.66,1.29,0.64,0.5,2.99,1.25,0.16
hsa-miR-4507,0.0,0.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4508,127.82,179.76,65.08,64.81,449.21,28.18,78.7,27.64,167.8,118.56,347.0,133.15,256.19,44.84,80.61,37.19,23.03,349.38,36.23,16.83
hsa-miR-450a-1-3p,0.0,0.0,0.0,0.47,0.0,0.17,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0
hsa-miR-450a-2-3p,0.9,3.1,1.53,0.94,0.0,1.69,2.72,1.37,0.74,0.31,2.43,0.14,2.45,0.0,0.37,0.32,3.31,1.74,1.78,2.38
hsa-miR-450a-5p,10.13,4.96,1.81,9.21,3.07,8.27,12.84,9.78,7.26,1.08,2.0,0.97,3.22,4.01,2.39,10.22,25.68,15.2,22.49,18.41
hsa-miR-450b-5p,10.8,20.69,12.65,5.15,0.0,8.44,18.73,3.43,10.07,1.38,5.0,1.81,6.57,3.6,3.5,20.91,16.74,12.21,23.2,21.43
hsa-miR-4510,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4511,1.35,0.0,0.7,0.62,0.0,0.34,0.3,0.69,0.44,0.15,0.43,0.69,0.39,0.0,0.18,0.0,0.0,0.25,0.89,1.11
hsa-miR-4512,0.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32
hsa-miR-4515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
hsa-miR-4516,0.9,4.96,0.14,0.62,2.26,0.0,0.15,0.0,0.44,0.0,0.57,0.28,1.29,0.55,0.55,0.48,0.66,1.74,0.89,0.0
hsa-miR-451a,92501.0,60.58,161.58,1322.11,2016.37,691.71,1270.23,26515.85,866.1,27969.83,3756.94,25048.65,1366.59,21.87,39260.44,40927.28,2269.88,5833.24,1789.17,25.56
hsa-miR-451b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
hsa-miR-452-3p,0.68,0.0,1.67,0.0,0.0,1.01,1.51,1.2,0.3,0.31,0.43,0.28,0.52,0.28,0.74,2.55,1.66,3.24,1.61,0.95
hsa-miR-452-5p,11.48,2.6,6.67,11.09,13.41,14.51,20.24,18.02,3.7,2.15,10.72,4.17,6.57,7.2,5.15,31.61,6.96,13.71,23.73,13.49
hsa-miR-4520-2-3p,0.0,0.0,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4520-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4521,0.23,0.12,0.14,1.09,0.0,0.0,0.15,0.17,0.15,0.0,0.0,0.0,0.0,0.0,0.18,0.16,0.99,0.0,0.0,0.0
hsa-miR-4522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
hsa-miR-4523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0
hsa-miR-4524a-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.0
hsa-miR-4525,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,1.25,0.0,0.0
hsa-miR-4526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4529-3p,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.15,0.0,0.0,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4533,0.23,1.73,0.56,0.62,0.0,0.51,0.6,0.0,0.74,0.31,0.86,1.95,0.0,0.28,0.18,1.12,0.83,0.0,0.0,1.11
hsa-miR-454-3p,3.15,0.62,0.42,0.47,0.16,0.0,1.06,1.72,0.3,0.15,0.14,0.0,0.13,0.0,0.37,0.96,1.16,0.5,2.14,0.48
hsa-miR-454-5p,6.53,0.37,1.67,0.31,0.0,0.17,3.17,0.0,0.3,0.15,0.14,0.28,1.29,1.25,0.92,1.6,2.32,2.99,3.39,3.02
hsa-miR-455-3p,0.23,0.0,0.0,0.0,2.75,0.0,0.0,2.06,0.15,0.15,0.0,0.0,0.13,0.42,12.15,0.0,0.0,0.75,0.0,0.0
hsa-miR-455-5p,4.28,0.25,2.78,3.28,5.17,1.86,2.27,10.64,0.44,1.84,0.86,0.69,2.83,2.91,88.7,0.8,0.83,7.48,3.75,4.76
hsa-miR-4632-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.17,0.0,0.0,0.0
hsa-miR-4635,0.68,0.0,0.56,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.16
hsa-miR-4637,0.0,0.0,0.14,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.57,0.56,0.26,0.0,0.18,0.16,0.0,0.75,0.0,0.0
