miRNA,SRR24658712,SRR24658713,SRR24658714,SRR24658715,SRR24658716,SRR24658717,SRR24658718,SRR24658719,SRR24658720,SRR24658721
hsa-let-7a-3p,14.39,2.72,0.19,5.49,0.0,1.44,30.53,2.79,14.32,3.52
hsa-let-7a-5p,12388.43,7078.63,10639.91,7545.18,5054.45,6355.55,6955.25,15848.92,12320.6,12036.78
hsa-let-7b-3p,17.07,0.1,0.0,0.0,0.0,0.0,0.0,0.31,2.98,8.71
hsa-let-7b-5p,12390.32,4871.4,5963.17,6191.99,6103.54,6068.58,8634.58,9821.87,9335.34,8449.03
hsa-let-7c-5p,330.25,653.29,306.27,196.39,366.99,257.55,135.7,285.84,306.1,285.0
hsa-let-7d-3p,497.04,136.28,123.04,98.83,1.32,177.33,103.13,243.74,130.92,180.95
hsa-let-7d-5p,532.29,398.97,355.41,222.79,248.18,196.66,197.0,721.64,489.64,412.84
hsa-let-7e-5p,445.5,331.53,226.66,108.75,1.32,235.75,105.4,361.05,323.76,245.46
hsa-let-7f-5p,7829.58,6362.64,7688.23,4907.43,4483.46,4167.98,4691.72,13771.45,7413.79,9438.92
hsa-let-7g-5p,1855.82,1178.06,1564.5,1239.37,1122.39,1171.13,1193.06,2169.86,1955.4,2055.17
hsa-let-7i-5p,16501.78,12463.41,13486.64,9677.38,8294.61,8556.08,9899.34,25531.82,14982.48,17916.44
hsa-miR-1-3p,0.0,4.84,0.38,20.27,61.91,23.04,0.23,60.05,27.15,32.5
hsa-miR-100-5p,24.98,4.74,68.95,40.76,347.41,121.58,68.08,59.43,50.21,40.21
hsa-miR-101-3p,624.93,460.46,584.93,588.11,1088.26,641.21,882.52,1139.48,584.11,718.12
hsa-miR-10398-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.32,0.0,0.0
hsa-miR-10399-3p,0.0,6.45,11.24,0.0,47.89,0.21,69.43,35.28,28.64,14.07
hsa-miR-103a-3p,153.03,157.55,107.23,0.0,1.06,86.19,38.9,50.76,144.49,12.4
hsa-miR-10526-3p,0.0,0.0,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-106a-5p,15.81,0.1,0.0,0.0,0.0,0.0,0.0,10.37,0.0,0.0
hsa-miR-106b-3p,166.94,126.0,130.28,201.67,174.36,195.84,150.18,181.69,225.02,149.79
hsa-miR-106b-5p,9.96,0.3,6.86,0.0,52.39,22.83,0.0,0.0,27.34,2.01
hsa-miR-107,6.32,9.17,0.0,0.42,0.0,0.62,0.0,10.06,0.0,0.17
hsa-miR-10a-5p,1282.11,468.72,773.3,770.99,516.21,844.46,860.81,916.32,1117.27,830.88
hsa-miR-10b-5p,1710.06,603.9,1308.7,1223.53,1064.44,1267.61,1150.09,705.23,1762.74,1230.15
hsa-miR-11400,3.79,5.85,7.05,0.63,7.67,1.85,39.13,17.02,7.44,6.03
hsa-miR-11401,7.59,0.0,6.67,0.0,0.0,0.0,0.0,9.75,23.43,5.36
hsa-miR-1180-3p,4.9,6.35,8.0,32.31,0.0,21.81,0.0,8.51,0.0,11.73
hsa-miR-1181,0.0,0.0,0.0,0.0,0.0,12.14,0.0,0.0,0.0,0.0
hsa-miR-1185-1-3p,0.0,0.0,6.67,0.0,0.0,17.07,0.0,0.0,0.0,0.0
hsa-miR-1185-2-3p,0.0,0.0,0.0,0.0,0.0,0.62,0.0,0.0,0.0,0.0
hsa-miR-122-5p,498.93,6715.14,1130.43,4662.47,1247.54,2157.33,819.42,78.46,1378.36,756.49
hsa-miR-1229-3p,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1246,1.26,0.0,12.0,20.48,0.0,0.21,0.0,0.31,0.0,0.17
hsa-miR-1249-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.86,0.0
