miRNA,SRR18495906,SRR18495907,SRR18495908,SRR18495909,SRR18495910,SRR18495911,SRR18495912,SRR18495913,SRR18495914,SRR18495915
hsa-let-7a-2-3p,0.0,0.0,0.0,0.0,0.34,0.0,0.0,0.0,0.0,0.0
hsa-let-7a-3p,13.48,1.92,1.79,2.68,4.96,21.54,0.97,4.7,7.83,5.22
hsa-let-7a-5p,3457.14,870.06,1217.05,1770.52,1492.11,6178.55,1877.95,2050.55,7193.0,5211.46
hsa-let-7b-3p,0.95,0.77,0.34,0.2,1.24,1.06,0.0,1.25,0.87,2.46
hsa-let-7b-5p,749.31,867.88,632.87,1058.22,980.77,437.09,430.42,1882.75,1600.05,2557.18
hsa-let-7c-3p,0.0,0.0,0.0,0.0,0.0,0.48,0.0,0.0,0.17,0.0
hsa-let-7c-5p,507.63,132.12,107.92,297.98,210.66,318.99,161.33,335.07,461.8,1037.81
hsa-let-7d-3p,227.25,84.92,21.94,115.64,143.75,168.87,27.47,92.31,149.59,206.52
hsa-let-7d-5p,686.35,199.85,164.01,260.36,167.29,460.84,189.2,417.13,2170.39,1481.26
hsa-let-7e-3p,0.32,0.0,0.0,0.1,0.79,0.19,0.97,0.0,0.52,0.61
hsa-let-7f-1-3p,2.7,0.51,0.11,0.4,1.13,1.25,0.58,0.21,2.26,0.92
hsa-let-7f-2-3p,5.55,0.64,0.11,0.89,1.46,3.56,0.39,1.46,4.35,0.92
hsa-let-7f-5p,4272.74,688.69,801.92,1532.59,1122.72,7515.97,1393.56,1693.32,7635.5,4131.25
hsa-let-7g-3p,14.75,5.39,9.07,2.28,9.01,2.89,6.43,11.81,7.31,1.54
hsa-let-7g-5p,14437.83,2503.34,1061.99,3001.06,3936.94,12946.52,1173.38,4561.93,11406.8,6091.62
hsa-let-7i-3p,29.34,11.8,2.35,6.85,18.59,15.48,5.65,13.38,10.26,4.0
hsa-let-7i-5p,33950.51,15332.53,4272.49,18252.63,17622.46,24671.22,7733.16,21106.8,76469.58,44854.29
hsa-miR-1-3p,7.61,5.52,6.38,3.77,4.73,7.02,4.09,1.99,15.31,10.14
hsa-miR-100-5p,0.0,0.13,0.34,0.6,0.23,0.0,0.19,0.21,0.7,1.84
hsa-miR-101-2-5p,0.32,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0
hsa-miR-101-3p,2679.92,1009.5,195.58,1133.76,1049.15,1798.74,471.14,1310.68,1627.7,1394.6
hsa-miR-101-5p,1.9,0.64,0.0,0.89,1.13,1.25,0.97,1.46,0.7,0.0
hsa-miR-10392-5p,0.0,0.26,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0
hsa-miR-10393-3p,0.32,0.0,0.0,0.0,0.0,0.38,0.0,0.1,0.17,0.0
hsa-miR-10394-3p,0.0,0.0,0.0,0.0,0.0,0.0,1.56,0.0,0.0,0.0
hsa-miR-10395-3p,1.43,0.51,1.46,0.3,0.9,0.0,0.19,0.42,0.52,0.0
hsa-miR-10395-5p,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.21,0.0,0.0
hsa-miR-10396a-3p,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10398-3p,0.0,0.26,0.0,0.3,0.45,0.0,0.0,0.0,0.0,0.0
hsa-miR-10399-3p,24.42,7.05,2.91,14.1,11.27,19.43,3.7,6.69,13.39,21.51
hsa-miR-10399-5p,4.12,1.03,0.11,0.6,1.35,1.73,0.39,1.78,2.78,0.61
hsa-miR-103a-1-5p,0.16,0.0,0.0,0.0,0.11,0.19,0.0,0.0,0.17,0.0
hsa-miR-103a-2-5p,3.65,0.0,0.0,3.87,3.15,4.62,0.0,3.03,3.65,0.61
hsa-miR-103a-3p,214.25,545.92,95.5,3391.06,3476.19,797.62,848.57,1122.19,5282.47,5088.84
hsa-miR-10401-3p,0.16,0.0,0.0,2.38,1.01,1.44,1.36,0.1,0.17,5.53
hsa-miR-10526-3p,0.0,0.0,1.23,0.0,0.11,0.0,0.19,0.0,0.0,0.61
hsa-miR-10527-5p,0.48,0.26,0.11,0.5,0.0,0.29,0.19,0.52,0.35,0.0
hsa-miR-106a-3p,7.45,0.38,0.0,0.69,0.9,5.0,0.0,1.36,2.96,0.0
hsa-miR-106a-5p,62.48,15.26,4.37,19.65,35.49,79.82,2.34,31.47,16.0,12.91
hsa-miR-106b-3p,3588.29,2598.01,1306.5,3694.5,4588.88,5541.92,1987.85,3097.56,3489.7,2915.2
hsa-miR-106b-5p,380.29,177.4,24.07,178.27,277.36,523.25,41.11,242.23,165.41,97.73
hsa-miR-107,104.67,39.89,116.54,39.01,289.52,446.99,11.5,61.89,353.96,177.63
hsa-miR-10a-3p,1.59,0.38,0.0,0.4,0.68,1.63,0.97,0.42,1.04,2.77
hsa-miR-10a-5p,0.63,1.15,0.67,0.89,1.35,0.87,0.39,0.42,0.35,0.31
hsa-miR-10b-3p,1.59,0.13,0.0,0.5,0.56,0.96,0.0,0.63,0.52,4.61
hsa-miR-10b-5p,1.11,0.77,3.47,0.69,1.13,1.15,2.14,1.05,2.44,1.23
hsa-miR-11399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31
hsa-miR-11400,32.51,1.15,0.56,4.27,0.56,0.96,1.56,4.18,12.35,10.14
hsa-miR-11401,19.98,17.57,9.85,31.57,19.83,12.41,29.42,8.26,19.65,44.25
hsa-miR-1178-3p,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1178-5p,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0
hsa-miR-1179,0.48,0.0,0.0,0.4,0.0,0.38,0.0,0.0,0.17,0.0
hsa-miR-1180-3p,99.12,85.94,54.97,130.13,158.84,202.15,74.63,90.01,59.66,85.74
hsa-miR-1185-1-3p,12.53,4.62,3.58,17.37,3.04,5.87,15.39,3.55,64.36,133.38
hsa-miR-1185-2-3p,2.7,0.26,4.03,0.89,0.23,0.58,2.34,0.84,8.18,15.98
hsa-miR-1185-5p,1.11,0.13,0.0,0.4,0.11,0.19,0.39,0.63,1.91,0.0
hsa-miR-1193,0.16,0.77,0.67,1.19,0.11,0.48,0.97,0.0,1.57,5.53
hsa-miR-1197,18.55,2.69,0.45,2.58,1.69,6.64,1.95,3.97,16.52,9.53
hsa-miR-1207-5p,0.0,0.0,0.0,0.0,0.0,0.0,1.17,0.0,0.0,0.0
hsa-miR-12114,0.32,0.0,0.0,0.1,0.45,0.1,1.36,0.0,0.35,0.0
hsa-miR-12132,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-12136,1.11,1.92,1.79,1.39,1.35,0.0,0.97,0.42,0.52,1.54
hsa-miR-122-3p,1.43,1.28,0.0,1.39,0.0,0.77,0.39,0.0,0.7,0.31
hsa-miR-122-5p,25206.18,22579.86,1977.21,22710.65,35223.96,3692.49,3441.23,7404.3,31669.97,66708.75
hsa-miR-1224-5p,0.16,0.13,0.67,0.1,0.23,0.1,0.39,0.1,0.17,0.31
hsa-miR-1225-3p,0.0,0.0,0.0,0.1,0.0,0.0,0.39,0.1,0.17,0.0
hsa-miR-1226-3p,0.48,0.9,0.0,2.18,0.56,0.87,0.0,0.1,0.52,0.31
hsa-miR-1226-5p,0.16,0.0,0.45,0.4,0.45,0.0,0.0,0.1,0.0,0.92
hsa-miR-1227-3p,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.61
hsa-miR-1228-5p,0.0,0.0,0.0,0.1,0.0,0.0,0.58,0.0,0.0,0.0
hsa-miR-1229-3p,0.0,0.0,0.34,0.1,0.0,0.48,0.0,0.0,0.0,0.61
hsa-miR-1229-5p,0.0,0.26,0.0,0.89,0.68,0.0,0.58,0.0,0.17,1.54
hsa-miR-122b-5p,0.0,0.0,1.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1233-5p,0.0,0.0,0.0,0.0,0.11,0.1,0.0,0.0,0.17,0.31
hsa-miR-1234-3p,0.63,0.26,0.0,0.5,0.0,0.48,0.0,0.1,0.0,0.92
hsa-miR-1236-5p,0.32,0.0,0.0,0.1,0.11,0.1,0.0,0.0,0.0,0.61
hsa-miR-1237-5p,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.31
hsa-miR-1238-3p,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-124-3p,0.0,0.0,0.0,0.5,0.23,0.0,0.0,0.0,0.17,0.0
hsa-miR-124-5p,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1244,0.0,0.51,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0
hsa-miR-1246,772.31,1180.1,221.56,207.85,354.07,382.37,546.94,712.89,454.15,83.9
hsa-miR-1247-5p,0.0,0.77,0.11,2.58,1.24,1.15,0.0,0.0,0.0,1.84
hsa-miR-1248,0.0,0.0,0.34,0.1,1.24,0.1,0.0,0.94,1.04,0.0
hsa-miR-1249-3p,0.0,0.0,0.11,0.2,0.0,0.19,0.58,0.21,0.17,1.54
hsa-miR-1249-5p,0.16,0.0,0.0,0.2,0.34,0.0,0.0,0.1,0.52,0.0
hsa-miR-1250-3p,0.32,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0
hsa-miR-1250-5p,46.47,41.56,48.7,31.07,30.64,10.77,100.93,52.27,83.49,57.78
hsa-miR-1251-5p,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0
hsa-miR-1255a,6.5,2.44,0.22,0.6,2.82,2.79,0.0,0.0,12.18,1.23
hsa-miR-1255b-5p,22.2,10.52,2.57,8.93,27.49,27.12,4.09,16.41,13.22,6.15
hsa-miR-1256,0.0,0.0,0.0,0.0,0.11,0.29,0.0,0.42,0.87,0.0
hsa-miR-1257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.35,0.0
hsa-miR-1258,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.0
hsa-miR-125a-3p,6.03,5.39,3.92,15.09,6.2,7.6,4.29,2.51,9.39,22.74
hsa-miR-125a-5p,10.15,6.8,6.49,70.57,12.62,9.91,7.01,5.65,21.05,104.18
hsa-miR-125b-1-3p,0.48,0.51,2.02,0.89,0.79,0.58,2.14,0.0,0.0,3.07
hsa-miR-125b-2-3p,0.0,0.0,0.45,0.0,0.0,0.48,0.39,0.21,0.17,0.61
hsa-miR-125b-5p,9.04,8.34,4.03,50.52,18.02,30.39,4.87,2.51,5.22,190.84
hsa-miR-126-3p,2834.69,1112.75,418.82,2158.73,836.01,1908.85,671.84,1518.83,11572.04,14435.55
hsa-miR-126-5p,143.04,19.24,6.05,35.14,12.73,88.48,20.85,37.11,263.51,110.02
hsa-miR-1260a,0.32,0.26,0.11,0.1,0.0,0.1,0.0,0.0,0.0,0.0
hsa-miR-1260b,8.88,3.46,1.34,20.25,6.31,7.31,3.51,2.61,4.87,17.52
hsa-miR-1262,1.74,0.26,0.0,0.1,0.45,0.38,0.0,1.05,0.7,0.0
hsa-miR-1265,0.48,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1266-5p,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1268a,0.16,0.9,32.47,12.51,0.11,0.29,13.05,0.42,1.04,1.84
hsa-miR-1268b,5.23,2.69,0.9,0.2,11.27,4.33,1.36,3.87,3.83,10.14
hsa-miR-1269a,0.0,1.28,1.34,3.18,2.93,2.5,2.14,0.42,0.0,0.0
hsa-miR-1269b,0.16,0.13,2.57,3.47,2.48,0.29,0.78,0.63,1.22,1.54
hsa-miR-127-3p,4112.25,2500.91,3787.61,4646.51,1729.47,1678.14,6207.49,2100.0,7141.86,7033.23
hsa-miR-127-5p,0.0,0.0,0.67,0.0,0.0,0.0,0.19,0.0,0.0,0.0
hsa-miR-1270,2.38,2.57,5.71,3.08,5.18,6.06,2.53,5.65,3.3,9.83
hsa-miR-1271-3p,0.16,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0
hsa-miR-1271-5p,12.85,5.77,3.92,4.47,3.04,6.83,4.48,3.55,19.48,17.82
hsa-miR-1273c,5.55,1.15,1.34,3.87,3.94,3.46,4.29,3.45,3.83,4.92
hsa-miR-1273h-3p,50.11,24.63,27.76,64.02,37.18,20.39,79.11,40.67,155.15,223.11
hsa-miR-1273h-5p,39.01,27.45,30.0,41.59,28.61,10.29,36.83,32.83,64.18,59.0
hsa-miR-1275,7.14,2.44,3.58,2.58,32.11,3.17,8.77,11.81,5.04,0.92
hsa-miR-1276,0.48,0.13,0.0,0.0,0.11,0.19,0.0,0.21,0.7,0.61
hsa-miR-1277-3p,0.63,0.13,0.0,0.2,0.11,0.58,0.0,0.52,2.78,0.92
hsa-miR-1278,6.34,3.59,0.22,1.79,2.59,12.98,1.17,4.29,9.39,6.15
hsa-miR-128-1-5p,7.14,5.13,3.58,3.47,5.07,1.54,3.12,5.23,8.0,5.53
hsa-miR-128-3p,273.88,136.1,63.7,231.48,258.66,335.15,79.69,104.13,340.22,991.71
hsa-miR-1283,2.85,3.46,0.22,15.09,6.65,9.71,2.73,1.46,3.3,7.38
hsa-miR-1284,0.63,0.13,0.0,0.1,0.68,1.25,0.0,0.1,0.7,0.31
hsa-miR-1285-3p,39.17,29.76,19.82,40.5,55.76,53.09,50.08,30.32,40.18,40.57
hsa-miR-1285-5p,0.48,2.18,0.56,1.59,1.24,1.35,0.0,1.36,0.17,3.69
hsa-miR-1286,0.48,0.51,1.9,0.4,1.01,0.29,0.78,1.46,0.17,0.0
hsa-miR-1287-3p,0.16,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.7,0.0
hsa-miR-1287-5p,31.72,19.11,24.41,46.95,25.91,21.83,28.06,14.53,29.05,44.25
hsa-miR-1288-3p,1.27,0.64,0.0,0.3,0.11,0.0,0.19,0.31,0.35,0.0
hsa-miR-1289,0.32,0.13,0.0,0.5,0.9,0.19,1.36,0.21,0.52,0.0
hsa-miR-129-1-3p,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-129-5p,3.17,7.18,10.3,14.19,11.83,2.6,7.21,4.18,6.26,40.26
hsa-miR-1290,0.32,0.77,0.0,0.3,0.68,0.1,0.78,0.94,1.04,0.31
hsa-miR-1291,2.7,1.54,1.68,2.28,6.08,1.73,0.58,1.78,0.52,0.31
hsa-miR-1292-5p,13.8,8.34,27.54,18.26,18.7,14.43,30.79,17.77,19.48,40.26
hsa-miR-1293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31
hsa-miR-1294,71.05,40.53,10.52,41.59,59.93,87.23,12.86,46.94,37.05,35.65
hsa-miR-1295a,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.52,0.61
hsa-miR-1295b-3p,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.17,0.0
