miRNA,ERR1736309,ERR1736310,ERR1736311,ERR1736312,ERR1736313,ERR1736314,ERR1736315,ERR1736316,ERR1736317,ERR1736318,ERR1736319,ERR1736320,ERR1736321,ERR1736322,ERR1736323,ERR1736324,ERR1736325,ERR1736326,ERR1736327,ERR1736328,ERR1736329,ERR1736330,ERR1736331,ERR1736332,ERR1736333,ERR1736334,ERR1736335,ERR1736336,ERR1736337,ERR1736338,ERR1736339
hsa-miR-130b-3p,251.15,211.38,264.71,366.14,49.42,51.59,249.4,154.63,350.66,84.22,221.61,394.3,185.43,147.87,354.13,285.37,161.2,227.91,227.87,163.63,269.16,162.44,301.65,180.65,146.19,313.41,376.76,159.42,298.09,413.29,481.54
hsa-miR-130b-5p,16.03,3.2,8.27,13.56,0.0,0.0,83.13,0.0,43.83,0.0,68.94,65.72,40.46,184.84,50.59,61.15,80.6,35.99,0.0,70.13,2.93,100.56,17.4,109.96,11.25,44.77,50.23,31.88,78.44,171.02,21.52
hsa-miR-132-3p,5.34,38.43,8.27,27.12,0.0,0.0,62.35,61.85,14.61,0.0,9.85,59.14,20.23,73.93,0.0,61.15,161.2,23.99,91.15,46.75,23.41,15.47,52.21,7.85,11.25,44.77,25.12,31.88,0.0,28.5,36.32
hsa-miR-132-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.35
hsa-miR-1323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8,7.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-133a-3p,16.03,28.82,0.0,0.0,49.42,51.59,41.57,0.0,73.05,60.16,93.57,131.43,47.2,110.9,50.59,224.22,53.73,35.99,0.0,163.63,29.26,46.41,34.81,54.98,78.72,44.77,0.0,127.53,78.44,114.01,67.25
hsa-miR-133a-5p,0.0,0.0,0.0,0.0,0.0,0.0,20.78,0.0,0.0,0.0,9.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.76
hsa-miR-134-5p,5.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.92,32.86,0.0,0.0,0.0,20.38,0.0,0.0,0.0,0.0,0.0,7.74,11.6,0.0,11.25,0.0,25.12,0.0,0.0,0.0,9.42
hsa-miR-1343-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.57,0.0,0.0,0.0,0.0,0.0,0.0,45.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-135a-5p,0.0,0.0,4.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
