miRNA,SRR12004720,SRR12004721,SRR12004722,SRR12004723,SRR12004724,SRR12004725,SRR12004726,SRR12004727,SRR12004728,SRR12004729,SRR12004730,SRR12004731,SRR12004732,SRR12004733,SRR12004734,SRR12004735,SRR12004736,SRR12004737,SRR12004738,SRR12004739,SRR12004740,SRR12004741,SRR12004742,SRR12004743,SRR12004744,SRR12004745,SRR12004746,SRR12004747,SRR12004748,SRR12004749,SRR12004750,SRR12004751,SRR12004752,SRR12004753,SRR12004754,SRR12004755
hsa-miR-196a-5p,0.0,0.0,114.12,0.0,0.0,51.6,166.78,54.38,53.1,50.47,169.26,148.28,235.88,60.1,231.9,105.9,132.34,0.0,76.23,1045.64,0.0,53.12,93.51,0.0,0.0,52.67,138.54,0.0,69.58,39.81,0.0,0.0,0.0,18.16,117.94,194.34
hsa-miR-196b-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-197-3p,0.0,0.0,0.0,0.0,0.0,22.49,0.0,27.74,0.0,37.56,0.0,0.0,52.02,0.0,18.41,0.0,11.34,0.0,36.7,0.0,0.0,0.0,16.87,153.08,0.0,51.45,84.88,0.0,0.0,0.0,0.0,0.0,33.86,24.21,0.0,67.6
hsa-miR-199a-3p,302.4,676.48,72.94,117.99,314.55,92.62,283.3,666.97,527.09,63.38,189.34,504.54,209.87,99.4,322.24,198.25,17.96,758.21,1010.78,0.0,87.79,371.84,1167.88,143.28,113.25,930.91,510.27,213.58,384.45,388.27,749.57,829.81,489.89,1302.69,136.76,918.6
hsa-miR-199a-5p,176.94,808.6,115.3,49.07,224.28,91.3,434.09,993.8,306.02,117.37,190.29,701.63,383.67,17.34,304.98,240.11,496.29,110.83,964.19,361.74,119.61,379.43,455.62,1214.09,299.96,1680.54,254.64,820.58,654.09,811.44,486.28,725.51,351.28,383.79,153.07,1169.67
hsa-miR-199b-3p,41.82,116.2,0.0,125.0,157.98,50.28,0.0,556.55,95.57,73.94,0.96,33.41,0.0,0.0,27.05,0.0,338.42,1008.9,427.74,391.59,0.0,57.46,153.28,743.54,26.02,61.24,0.0,928.67,153.08,428.57,0.0,86.44,175.64,50.85,0.0,141.23
hsa-miR-199b-5p,0.0,0.0,0.0,0.0,0.0,1.32,46.84,0.0,0.0,0.0,0.0,0.0,0.0,7.51,525.37,0.0,7.56,0.0,0.0,0.0,0.0,0.0,0.0,40.72,0.0,0.0,0.0,0.0,0.0,38.34,0.0,59.93,0.0,0.0,0.0,0.0
hsa-miR-19a-3p,28.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.77,0.0,0.0,0.0,0.0,0.0,0.0,42.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-19b-3p,0.0,47.75,0.0,24.53,0.0,70.13,0.0,0.55,71.44,0.0,0.0,128.76,0.0,22.54,0.0,0.0,308.17,133.76,32.47,0.0,0.0,49.87,0.0,36.2,0.0,0.0,0.0,89.93,0.0,34.4,55.75,48.41,0.0,0.0,75.28,0.0
hsa-miR-200a-3p,0.0,0.0,0.0,44.39,0.0,0.0,111.95,0.0,0.0,56.34,0.0,41.29,0.59,10.4,0.0,0.0,58.61,0.0,1.41,0.0,0.0,0.0,52.03,0.0,0.0,0.0,1.95,54.48,0.0,0.0,0.0,44.37,0.0,0.0,0.0,0.0
