miRNA,SRR8198207,SRR8198208,SRR8198209,SRR8198210,SRR8198211,SRR8198212,SRR8198213,SRR8198214,SRR8198215,SRR8198216,SRR8198217,SRR8198218
hsa-let-7a-3p,5.26,8.6,6.61,12.23,0.98,0.0,8.56,0.25,3.11,1.12,0.0,0.0
hsa-let-7a-5p,5059.29,5510.68,4587.77,10993.0,955.54,514.77,6743.21,1209.07,12295.56,1574.03,564.3,406.75
hsa-let-7b-3p,4.16,7.55,3.89,16.05,2.28,0.0,3.0,0.5,4.5,0.0,0.0,0.0
hsa-let-7b-5p,6380.96,7791.69,6160.9,14397.0,896.35,509.06,7183.74,1749.12,16534.92,1867.78,621.97,405.37
hsa-let-7c-3p,0.0,0.0,1.75,2.29,0.0,0.0,3.21,0.5,0.0,0.0,0.0,0.0
hsa-let-7c-5p,877.24,808.94,839.83,2245.64,76.1,38.95,1094.38,268.41,1855.14,328.65,20.13,8.51
hsa-let-7d-3p,319.35,275.87,117.81,327.94,20.16,13.64,175.23,45.23,262.03,44.96,20.81,11.5
hsa-let-7d-5p,76.88,43.22,55.41,112.63,27.64,22.33,126.23,25.1,139.4,15.92,16.74,10.81
hsa-let-7e-3p,0.0,0.0,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7e-5p,162.96,166.57,166.8,405.66,16.59,6.45,646.14,105.87,1103.64,135.99,9.27,3.91
hsa-let-7f-1-3p,0.22,0.42,0.19,0.76,0.33,0.0,1.93,0.0,0.0,0.0,0.0,0.0
hsa-let-7f-2-3p,0.22,0.0,0.0,0.0,0.0,0.0,1.07,0.0,0.17,0.28,0.0,0.0
hsa-let-7f-5p,1594.14,1589.76,1616.09,3503.89,570.46,259.49,3178.94,607.64,7366.09,756.72,294.25,192.56
hsa-let-7g-5p,999.68,842.71,545.31,1368.07,211.08,143.64,809.82,191.86,1466.16,202.44,161.94,83.05
hsa-let-7i-3p,1.53,1.47,0.97,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.0,0.0
hsa-let-7i-5p,848.11,597.05,445.38,920.12,466.06,321.02,704.34,150.11,1526.01,142.69,286.56,151.15
hsa-miR-1-3p,0.0,2.52,0.0,2.8,3.58,0.99,0.43,2.73,0.0,1.95,0.45,0.23
hsa-miR-100-5p,179.17,176.64,80.87,163.84,14.64,104.94,1777.32,315.13,2465.17,367.75,70.57,66.72
hsa-miR-101-3p,1693.15,941.73,598.18,986.88,275.47,181.35,887.06,205.53,1985.21,214.17,196.32,104.91
hsa-miR-101-5p,0.0,1.26,0.0,0.0,0.0,0.0,0.43,0.0,0.0,0.0,0.0,0.0
hsa-miR-10394-3p,0.0,0.0,1.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10395-3p,0.0,0.0,0.0,0.51,0.0,0.0,0.0,0.25,0.0,0.0,0.23,0.0
hsa-miR-10399-3p,4.82,3.78,3.11,0.0,0.0,2.48,1.07,0.75,8.65,2.23,0.0,0.0
hsa-miR-103a-3p,19.71,25.38,9.72,0.0,26.67,9.92,0.0,4.47,5.88,0.56,2.71,2.99
hsa-miR-10401-3p,0.0,0.0,0.0,0.0,0.0,0.0,1.28,0.0,0.0,0.0,0.0,0.0
hsa-miR-10523-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23
hsa-miR-106a-5p,0.0,0.0,0.0,7.64,0.0,0.0,1.5,0.75,0.0,0.0,0.0,0.0
hsa-miR-106b-3p,12.27,23.71,10.69,16.82,7.81,6.7,8.77,0.25,9.51,6.14,2.71,4.6
