miRNA,SRR6831607,SRR6831608,SRR6831609,SRR6831610,SRR6831611,SRR6831612,SRR6831613,SRR6831614,SRR6831615,SRR6831616
hsa-let-7a-3p,5.4,7.9,26.15,1.95,23.17,34.08,27.9,4.67,11.47,7.21
hsa-let-7a-5p,2422.23,2770.58,10809.45,885.38,5818.69,9838.78,7780.33,1365.77,4549.7,2765.52
hsa-let-7b-3p,0.57,0.68,1.15,0.34,0.89,3.88,2.45,0.72,2.93,0.15
hsa-let-7b-5p,406.75,532.97,1429.25,199.9,1001.04,1963.24,1354.3,484.66,1672.14,509.59
hsa-let-7c-3p,0.0,0.0,0.0,0.0,0.15,0.0,0.14,0.0,0.0,0.0
hsa-let-7c-5p,18.74,159.26,72.42,8.59,46.05,61.67,343.03,15.7,211.58,18.41
hsa-let-7d-3p,45.87,50.55,158.17,12.26,110.54,167.23,88.02,27.44,70.53,33.45
hsa-let-7d-5p,479.29,592.24,2149.2,143.08,1151.72,2368.84,1873.24,264.98,880.85,474.14
hsa-let-7e-3p,0.46,0.0,0.26,0.0,0.44,0.46,0.14,0.0,0.49,0.15
hsa-let-7e-5p,60.82,33.52,171.75,21.54,204.99,221.15,173.75,9.59,51.61,34.83
hsa-let-7f-1-3p,1.38,1.5,2.56,0.23,1.92,3.42,1.73,0.36,3.66,0.92
hsa-let-7f-2-3p,0.46,0.41,1.92,0.0,1.03,1.6,1.01,0.12,0.85,0.0
hsa-let-7f-5p,4552.21,4630.81,27495.88,1430.09,11300.59,15082.49,11189.52,1450.87,4419.38,4246.11
hsa-let-7g-3p,0.0,0.0,0.26,0.0,0.15,0.46,0.0,0.12,0.12,0.0
hsa-let-7g-5p,3626.84,3380.26,20940.1,580.56,7103.97,11210.04,6020.86,670.54,2313.59,1557.3
hsa-let-7i-3p,0.34,0.54,3.33,0.0,1.62,3.99,3.02,0.48,0.98,0.46
hsa-let-7i-5p,7314.39,13773.36,27024.46,4254.86,21080.66,35060.65,21598.05,4935.77,11507.8,9249.92
hsa-miR-1-3p,33.0,59.4,524.35,12.26,384.3,249.88,155.77,77.9,54.05,125.82
hsa-miR-100-5p,4.37,17.85,44.73,8.13,30.99,102.82,63.14,18.1,23.43,76.88
hsa-miR-101-3p,138.88,317.85,1970.91,119.48,787.35,1491.18,763.45,159.52,246.11,152.52
hsa-miR-101-5p,0.0,0.0,0.0,0.0,0.0,0.11,0.14,0.12,0.0,0.0
hsa-miR-10393-3p,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49,0.0
hsa-miR-10395-3p,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0
hsa-miR-10395-5p,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0
hsa-miR-10396b-3p,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.12,0.0
hsa-miR-10399-3p,3.22,6.95,12.05,2.29,15.05,18.58,11.22,2.52,7.81,4.14
hsa-miR-10399-5p,0.0,0.0,0.26,0.0,0.0,0.11,0.14,0.0,0.0,0.0
hsa-miR-103a-2-5p,0.11,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0
hsa-miR-103a-3p,539.88,335.56,4030.39,105.05,816.12,124.14,748.92,76.94,336.53,15.65
hsa-miR-10401-3p,0.11,0.41,0.13,0.0,0.44,0.68,0.14,0.0,0.0,0.0
hsa-miR-10527-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0
hsa-miR-106a-3p,0.11,0.27,0.26,0.11,0.15,0.8,0.14,0.24,0.12,0.31
hsa-miR-106a-5p,2.41,1.63,5.38,0.57,3.84,9.12,9.49,1.44,2.81,1.69
hsa-miR-106b-3p,63.46,129.02,297.49,32.99,186.54,426.0,186.12,34.64,166.19,55.24
hsa-miR-106b-5p,11.5,9.13,63.45,1.72,27.75,69.99,31.79,3.72,7.57,3.38
hsa-miR-107,24.37,4.63,45.12,1.37,31.58,35.79,20.71,7.07,9.15,2.3
hsa-miR-10a-3p,0.69,0.95,6.02,0.34,1.77,2.28,2.01,0.48,0.24,0.31
hsa-miR-10a-5p,102.44,109.54,477.19,65.98,335.6,286.24,184.39,108.1,109.69,97.28
hsa-miR-10b-3p,0.0,0.27,0.0,0.0,0.3,0.68,0.0,0.0,0.0,0.61
hsa-miR-10b-5p,21.04,36.38,49.47,56.13,156.58,70.34,44.44,72.63,38.31,66.9
hsa-miR-11400,2.64,81.06,336.33,2.52,19.92,20.18,11.36,1.44,5.98,4.45
hsa-miR-11401,1.15,4.9,7.43,1.49,6.35,8.89,4.17,1.68,5.0,2.15
hsa-miR-1179,0.11,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.12,0.0
hsa-miR-1180-3p,0.92,4.5,1.41,1.72,3.25,21.55,9.35,3.48,9.64,3.22
hsa-miR-1183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0
hsa-miR-1185-1-3p,3.33,2.86,15.0,0.23,7.38,6.84,3.88,1.08,0.37,1.84
hsa-miR-1185-2-3p,0.46,0.14,1.41,0.0,0.89,0.23,0.58,0.24,0.24,0.15
hsa-miR-1185-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.0
hsa-miR-1193,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.12,0.0
hsa-miR-1197,0.0,0.0,1.67,0.0,0.3,0.11,0.58,0.0,0.12,0.0
hsa-miR-12114,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-12136,0.0,0.27,0.13,0.0,0.0,0.0,0.14,0.0,0.37,0.0
hsa-miR-122-3p,0.0,0.0,0.0,0.11,0.15,0.0,0.0,0.0,0.0,0.0
hsa-miR-122-5p,1.26,0.54,34.61,18.44,22.28,10.83,17.4,42.07,23.43,883.38
hsa-miR-1225-3p,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1226-3p,0.0,0.0,0.26,0.0,0.15,0.0,0.0,0.0,0.12,0.0
hsa-miR-1227-3p,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1229-3p,0.0,0.0,0.26,0.0,0.3,0.23,0.0,0.12,0.0,0.15
hsa-miR-1233-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0
hsa-miR-1234-3p,0.0,0.0,0.0,0.0,0.0,0.46,0.14,0.0,0.0,0.0
hsa-miR-1236-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0
hsa-miR-1238-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.12,0.0,0.0
hsa-miR-124-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15
hsa-miR-1244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0
hsa-miR-1246,0.46,0.27,0.26,0.0,0.89,2.51,1.58,0.48,0.61,1.23
hsa-miR-1248,0.34,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.98,0.0
hsa-miR-1249-3p,0.46,0.82,1.03,0.0,0.74,0.8,0.29,0.0,0.12,0.0
hsa-miR-1250-5p,1.61,2.32,7.95,0.34,2.36,3.42,2.3,0.48,0.85,0.77
hsa-miR-1255a,1.38,0.54,69.85,1.49,3.54,0.34,0.58,1.92,1.59,3.53
hsa-miR-1255b-5p,0.46,1.23,1.41,0.69,0.89,4.79,2.59,1.32,6.34,1.69
hsa-miR-1256,0.0,0.0,0.51,0.0,0.59,0.46,0.0,0.0,0.0,0.15
hsa-miR-1258,0.0,0.0,0.13,0.0,0.0,0.0,0.14,0.0,0.0,0.0
hsa-miR-125a-3p,0.34,1.09,1.03,0.23,1.33,2.28,0.29,0.0,0.98,0.15
hsa-miR-125a-5p,76.91,26.57,137.79,30.7,240.26,148.08,146.56,29.48,41.24,35.75
hsa-miR-125b-1-3p,0.0,0.14,0.26,0.11,0.0,0.57,0.43,0.0,0.0,0.0
hsa-miR-125b-2-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0
hsa-miR-125b-5p,3.91,7.63,17.94,2.75,17.12,15.62,11.22,6.23,4.27,8.75
hsa-miR-126-3p,7391.53,13528.67,33383.49,4301.49,27986.72,34559.64,12754.39,3097.2,9720.23,5671.45
hsa-miR-126-5p,130.37,66.62,432.2,10.42,182.56,303.0,153.03,30.32,60.77,34.83
hsa-miR-1260b,1.26,0.82,3.33,0.0,1.18,1.71,0.43,0.0,1.34,0.0
hsa-miR-1262,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0
hsa-miR-1268a,0.0,0.68,0.9,0.0,0.3,0.46,0.0,0.0,0.0,0.0
hsa-miR-1268b,0.0,0.0,0.13,0.0,0.0,0.46,0.14,0.0,0.24,0.0
