miRNA,SRR3923811,SRR3923812,SRR3923813,SRR3923814
hsa-let-7a-2-3p,0.0,0.0,0.1,0.0
hsa-let-7a-3p,1.56,1.12,3.37,2.35
hsa-let-7a-5p,8039.67,7881.91,10017.69,5291.69
hsa-let-7b-3p,33.67,17.5,5.97,14.74
hsa-let-7b-5p,578.5,522.37,595.89,318.97
hsa-let-7c-5p,11.47,18.93,58.74,9.5
hsa-let-7d-3p,106.8,65.44,71.93,74.61
hsa-let-7d-5p,331.68,262.66,223.12,118.38
hsa-let-7e-3p,1.38,0.0,0.87,0.54
hsa-let-7e-5p,1284.34,1527.92,1014.78,484.29
hsa-let-7f-1-3p,1.84,1.93,0.39,0.09
hsa-let-7f-2-3p,0.0,0.0,0.48,0.18
hsa-let-7f-5p,22917.52,24844.03,24036.52,16760.46
hsa-let-7g-3p,0.0,0.0,0.0,0.18
hsa-let-7g-5p,329.57,318.43,279.84,218.77
hsa-let-7i-3p,0.0,1.22,0.48,0.54
hsa-let-7i-5p,1704.48,1687.9,1773.41,1633.64
hsa-miR-1-3p,0.46,0.0,0.0,0.0
hsa-miR-100-3p,0.0,0.2,2.21,4.97
hsa-miR-100-5p,67.9,126.39,2486.68,1635.0
hsa-miR-101-3p,290.21,246.48,258.17,244.18
hsa-miR-101-5p,1.1,1.02,0.19,0.36
hsa-miR-10393-3p,0.0,0.41,0.0,0.0
hsa-miR-10394-3p,1.93,2.65,5.1,3.17
hsa-miR-10394-5p,0.92,0.0,0.0,0.0
hsa-miR-10395-3p,1.65,0.0,0.96,0.09
hsa-miR-10395-5p,1.1,0.61,0.29,0.09
hsa-miR-10396b-3p,1.01,2.65,0.19,0.81
hsa-miR-10397-3p,0.0,1.53,0.0,0.0
hsa-miR-10399-3p,1.01,0.61,1.73,2.26
hsa-miR-10399-5p,1.01,1.42,0.0,0.0
hsa-miR-103a-2-5p,0.0,0.0,0.1,0.09
hsa-miR-103a-3p,15.32,514.94,312.29,616.41
hsa-miR-10401-3p,36.61,11.3,22.15,20.26
hsa-miR-105-3p,0.37,0.31,0.0,0.0
hsa-miR-105-5p,0.64,0.31,0.29,0.0
hsa-miR-10527-5p,0.0,0.31,0.0,0.0
hsa-miR-106b-3p,522.16,654.15,449.32,263.26
hsa-miR-106b-5p,25.42,24.83,16.08,23.51
hsa-miR-107,348.84,40.6,69.24,46.76
hsa-miR-10a-3p,24.22,18.52,10.79,8.41
hsa-miR-10a-5p,354481.17,361972.03,212301.38,125283.2
hsa-miR-10b-3p,0.0,0.0,0.0,0.36
hsa-miR-10b-5p,4437.03,4400.38,7593.51,5164.99
hsa-miR-1180-3p,14.22,11.6,18.49,13.84
hsa-miR-1180-5p,0.37,0.0,0.19,1.18
hsa-miR-12129,0.0,0.0,0.0,0.36
hsa-miR-12131,0.0,0.0,0.0,0.18
hsa-miR-12136,0.0,0.0,0.39,0.0
hsa-miR-1226-3p,0.37,0.0,0.87,0.0
hsa-miR-1228-3p,0.0,0.0,0.0,0.27
hsa-miR-1229-3p,1.38,0.51,0.0,0.81
hsa-miR-1229-5p,0.37,0.31,0.1,0.0
hsa-miR-1233-3p,0.0,1.02,0.0,0.18
hsa-miR-1234-3p,0.0,0.81,0.19,0.0
hsa-miR-1237-5p,0.0,0.0,0.0,0.27
hsa-miR-124-3p,0.0,0.92,0.0,0.0
hsa-miR-1243,0.0,0.0,1.44,0.0
hsa-miR-1244,0.28,1.83,0.48,0.0
hsa-miR-1246,21.38,45.59,100.25,1810.62
hsa-miR-1247-3p,0.0,0.81,0.58,0.27
hsa-miR-1247-5p,26.7,15.98,44.1,47.84
hsa-miR-1248,0.55,1.73,0.0,0.0
hsa-miR-1249-3p,0.0,0.0,0.0,0.45
hsa-miR-1252-5p,0.0,0.0,0.19,0.81
hsa-miR-1255b-5p,0.73,0.0,0.0,0.0
hsa-miR-125a-3p,7.89,4.68,3.85,2.17
hsa-miR-125a-5p,5285.37,2322.92,718.09,1023.2
hsa-miR-125b-1-3p,0.46,0.51,8.19,7.05
hsa-miR-125b-2-3p,0.0,0.0,0.29,0.0
hsa-miR-125b-5p,10.55,3.36,47.28,88.54
hsa-miR-126-3p,5.23,3.56,1.06,0.81
hsa-miR-126-5p,61.47,42.95,12.13,13.75
hsa-miR-1260a,0.0,0.1,0.0,0.0
hsa-miR-1260b,0.09,0.0,1.35,2.35
hsa-miR-1262,0.83,1.93,1.64,1.9
hsa-miR-1266-5p,4.31,5.9,5.39,3.62
hsa-miR-1268a,12.29,1.22,2.12,0.0
hsa-miR-1268b,0.55,7.33,0.1,2.62
hsa-miR-1269a,0.64,0.0,1.73,1.09
hsa-miR-127-3p,0.0,0.2,0.1,1.18
hsa-miR-1271-5p,1.19,2.34,5.59,5.15
hsa-miR-1275,0.46,0.51,1.35,1.45
hsa-miR-1276,0.46,1.22,5.68,3.62
hsa-miR-1278,1.56,0.1,0.29,0.0
hsa-miR-128-1-5p,14.59,10.69,19.55,18.54
hsa-miR-128-3p,38.08,38.87,78.1,56.97
hsa-miR-1285-3p,22.02,12.42,15.41,11.3
hsa-miR-1285-5p,1.28,1.22,1.64,2.35
hsa-miR-1286,1.93,0.71,0.48,0.99
hsa-miR-1287-5p,0.0,0.0,0.19,0.63
hsa-miR-129-5p,0.0,0.51,0.0,0.0
hsa-miR-1291,0.73,0.0,0.48,0.18
hsa-miR-1292-5p,1.28,0.0,0.1,0.0
hsa-miR-1294,0.0,0.0,0.1,0.09
hsa-miR-1295a,0.0,0.0,0.0,0.27
hsa-miR-1296-5p,14.86,3.26,6.45,7.42
hsa-miR-1301-3p,6.7,6.92,1.06,0.18
hsa-miR-1302,0.0,0.0,0.1,0.0
hsa-miR-1303,0.0,0.41,0.58,0.27
hsa-miR-1304-5p,0.0,0.81,0.67,0.72
hsa-miR-1305,0.0,0.81,0.0,0.0
hsa-miR-1306-3p,0.0,0.0,0.19,0.09
hsa-miR-1306-5p,1.56,0.81,0.77,2.08
hsa-miR-1307-3p,27.8,28.9,37.27,20.62
hsa-miR-1307-5p,27.53,19.74,33.61,47.03
hsa-miR-130a-3p,0.18,1.83,0.19,0.18
hsa-miR-130b-3p,97.62,85.69,113.05,70.45
hsa-miR-130b-5p,11.38,5.19,13.67,12.57
hsa-miR-132-3p,22.94,24.42,18.87,10.04
hsa-miR-132-5p,5.05,1.83,0.87,0.72
hsa-miR-133a-3p,3.58,1.63,8.67,6.24
hsa-miR-1343-3p,1.1,1.12,1.06,0.45
hsa-miR-135a-2-3p,0.0,0.0,2.12,0.63
hsa-miR-135a-3p,0.55,0.0,0.0,0.0
hsa-miR-135a-5p,0.0,0.0,0.67,0.27
hsa-miR-135b-3p,7.52,5.5,1.25,1.18
hsa-miR-135b-5p,6.51,6.41,3.95,1.18
hsa-miR-138-1-3p,19.08,16.08,0.19,0.09
hsa-miR-138-5p,17.16,14.76,0.77,0.36
hsa-miR-139-3p,0.55,0.2,0.0,0.0
hsa-miR-139-5p,7.06,1.63,0.87,0.36
hsa-miR-140-3p,68.36,46.1,299.39,252.86
hsa-miR-140-5p,0.0,0.0,0.58,0.0
hsa-miR-141-3p,550.6,503.44,13.29,24.24
hsa-miR-141-5p,16.06,10.28,0.48,0.09
hsa-miR-142-3p,0.0,0.1,10.01,8.23
hsa-miR-142-5p,13.58,23.71,426.69,542.07
hsa-miR-143-3p,13.4,15.57,1.93,3.26
hsa-miR-1468-5p,9.45,4.99,14.44,7.6
hsa-miR-146a-5p,102.67,117.64,69.14,46.03
hsa-miR-146b-3p,6.06,8.45,3.56,1.18
hsa-miR-146b-5p,272.59,425.99,102.56,75.15
hsa-miR-147b-3p,0.0,0.0,0.1,0.0
hsa-miR-148a-3p,8201.52,9649.59,4394.13,3210.03
hsa-miR-148a-5p,277.55,278.53,160.62,126.43
hsa-miR-148b-3p,9.08,5.19,17.81,14.02
hsa-miR-148b-5p,2.94,7.12,8.19,7.33
hsa-miR-149-3p,0.0,0.0,0.87,0.27
hsa-miR-149-5p,36.15,23.51,26.58,15.92
hsa-miR-150-3p,2.75,1.32,0.67,0.0
hsa-miR-150-5p,1974.13,815.25,262.41,304.23
hsa-miR-151a-3p,927.52,1037.41,2713.94,1803.66
hsa-miR-151a-5p,175.61,170.46,704.89,460.32
hsa-miR-151b,2.84,1.42,2.99,52.54
hsa-miR-152-3p,1.47,2.14,1.16,0.72
hsa-miR-152-5p,2.84,1.63,1.64,2.53
hsa-miR-153-3p,0.0,0.2,2.7,4.79
hsa-miR-153-5p,0.0,0.0,0.67,0.45
hsa-miR-1538,0.55,0.41,0.77,0.99
hsa-miR-155-5p,0.0,2.04,0.0,0.0
hsa-miR-15a-5p,15.32,15.77,7.41,11.76
hsa-miR-15b-3p,2.75,2.54,1.25,0.9
hsa-miR-15b-5p,84.04,69.1,42.76,23.97
hsa-miR-16-2-3p,14.5,19.44,16.47,9.86
hsa-miR-16-5p,756.31,617.72,433.43,331.72
hsa-miR-17-3p,4.31,6.31,7.51,6.33
hsa-miR-17-5p,52.39,54.95,123.93,60.59
hsa-miR-181a-2-3p,328.56,316.29,1192.06,973.46
hsa-miR-181a-3p,10.28,13.33,389.91,260.73
hsa-miR-181a-5p,4764.31,5441.45,31701.1,17560.45
hsa-miR-181b-2-3p,0.0,0.0,0.0,0.36
hsa-miR-181b-3p,0.0,0.0,0.58,1.09
hsa-miR-181b-5p,547.76,545.57,2785.2,1598.55
hsa-miR-181c-3p,59.55,69.2,98.99,86.28
hsa-miR-181c-5p,319.66,374.4,465.02,339.23
hsa-miR-181d-3p,3.49,3.36,2.99,1.99
hsa-miR-181d-5p,132.12,158.04,164.67,119.47
hsa-miR-182-3p,0.28,1.12,1.16,0.0
hsa-miR-182-5p,190335.05,214996.09,110128.62,65255.52
hsa-miR-1825,0.55,0.0,0.0,0.0
hsa-miR-183-3p,16.61,10.48,5.78,4.07
hsa-miR-183-5p,10820.12,14247.4,4921.26,3697.94
hsa-miR-184,2.48,2.24,0.67,0.27
hsa-miR-1843,11.93,14.04,14.93,7.6
hsa-miR-185-3p,0.0,0.31,1.25,0.99
hsa-miR-185-5p,0.0,0.0,0.48,0.0
hsa-miR-186-5p,622.08,773.53,1268.62,761.47
hsa-miR-188-3p,0.0,0.0,0.29,0.0
hsa-miR-188-5p,0.92,1.93,0.58,0.54
hsa-miR-18a-3p,1.1,1.02,5.68,1.9
hsa-miR-18a-5p,0.0,2.44,1.73,2.26
hsa-miR-18b-5p,0.0,0.0,0.1,0.0
hsa-miR-1908-3p,0.0,0.0,0.0,0.36
hsa-miR-1908-5p,0.55,0.41,0.0,0.0
hsa-miR-190a-5p,0.0,0.92,0.77,0.36
hsa-miR-190b-5p,0.0,0.81,1.06,0.99
hsa-miR-191-3p,8.26,5.39,7.03,5.06
hsa-miR-191-5p,16247.06,15267.4,13213.69,7710.5
hsa-miR-1910-5p,3.12,3.56,2.6,0.9
hsa-miR-1913,0.0,0.0,0.1,0.0
hsa-miR-192-3p,0.28,0.0,0.77,1.18
hsa-miR-192-5p,3602.0,5151.42,42726.83,53150.45
hsa-miR-193a-3p,0.0,0.81,0.0,0.0
hsa-miR-193b-3p,213.51,109.2,26.67,30.93
hsa-miR-193b-5p,2.66,2.54,1.73,0.45
hsa-miR-194-3p,4.04,2.14,19.64,13.29
hsa-miR-194-5p,22.57,31.04,361.69,311.1
hsa-miR-195-3p,0.0,0.1,0.87,0.99
hsa-miR-195-5p,0.55,0.0,0.1,0.0
hsa-miR-196a-1-3p,0.73,1.63,1.54,1.63
hsa-miR-196a-3p,0.0,0.0,0.1,1.54
hsa-miR-196a-5p,58.9,55.87,211.85,108.52
hsa-miR-196b-3p,0.73,0.0,0.0,0.45
hsa-miR-196b-5p,50.83,53.83,108.53,72.71
hsa-miR-197-3p,44.5,18.62,30.04,64.21
hsa-miR-197-5p,0.83,4.38,3.27,2.44
hsa-miR-199a-3p,0.0,0.0,0.0,1.9
hsa-miR-199a-5p,0.18,0.0,0.0,0.0
hsa-miR-199b-3p,0.0,0.92,4.72,1.63
hsa-miR-199b-5p,0.0,0.2,0.58,1.99
