miRNA,SRR25598526,SRR25598527,SRR25598528,SRR25598529,SRR25598530,SRR25598531,SRR25598532,SRR25598533,SRR25598534,SRR25598535,SRR25598536,SRR25598537,SRR25598538,SRR25598539,SRR25598540,SRR25598541,SRR25598542,SRR25598543,SRR25598544,SRR25598545,SRR25598546,SRR25598547,SRR25598548,SRR25598549,SRR25598550,SRR25598551,SRR25598552,SRR25598553,SRR25598554,SRR25598555,SRR25598556,SRR25598557,SRR25598558,SRR25598559,SRR25598560,SRR25598561,SRR25598562,SRR25598563,SRR25598564,SRR25598565,SRR25598566,SRR25598567,SRR25598568,SRR25598569,SRR25598570
hsa-miR-199b-5p,1.93,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.61,4.31,0.0,0.0,0.0,0.0,1.42,0.0,0.0,0.0,0.0,0.0,0.0,3.35,0.0,1.58,0.0,0.0,0.0,0.89,0.16,0.0,0.0,2.23,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.05,3.06,0.19
hsa-miR-19a-3p,4.04,3.72,4.92,0.34,1.55,8.6,7.93,1.04,9.72,7.3,5.87,4.55,0.0,4.76,5.79,1.88,17.52,4.61,7.48,3.46,1.51,0.31,1.9,7.57,2.44,5.65,0.2,3.11,7.5,14.49,19.06,21.32,13.2,6.51,4.68,0.0,9.9,2.32,0.0,0.94,7.25,11.55,2.5,1.91,12.44
hsa-miR-19b-1-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-19b-3p,17.02,16.45,20.84,1.36,14.22,32.66,30.08,11.27,14.89,25.32,23.29,24.66,11.8,9.52,12.59,39.48,47.83,22.05,15.68,5.48,6.94,2.5,10.83,17.6,1.92,21.93,6.88,22.63,38.88,64.32,68.56,79.89,36.01,44.28,40.38,10.49,42.68,7.09,15.39,4.0,36.06,17.2,18.04,6.89,71.17
hsa-miR-200a-3p,4932.23,4248.74,4392.25,3304.2,5683.96,7659.62,6619.14,5751.31,7369.55,6984.82,6237.88,4388.43,3218.7,3761.22,5390.35,5312.17,7052.57,4825.02,4445.37,4289.81,3662.67,4467.15,5195.52,6925.99,4223.72,5738.37,5085.62,6290.85,7562.59,8785.37,9981.8,10454.55,6772.1,8402.64,9375.37,6317.4,8474.75,5455.39,7560.2,3907.85,9731.41,7586.88,7129.73,5106.16,8640.49
hsa-miR-200a-5p,293.8,307.03,615.27,1313.22,612.04,534.97,699.23,555.81,677.86,618.24,444.72,248.75,389.27,651.61,686.35,394.83,451.56,287.62,293.63,878.67,410.02,755.19,1363.88,528.57,1015.41,453.62,807.52,510.66,518.42,483.94,512.31,471.85,502.87,649.08,587.58,1460.94,522.69,1043.85,1010.89,838.12,639.9,790.62,974.67,613.14,566.33
hsa-miR-200b-3p,6841.38,4776.81,5869.94,3605.73,6776.36,10087.08,9566.89,8380.95,9169.17,11222.61,8738.94,5893.14,4574.82,4271.98,6283.41,6439.8,8376.7,5877.08,5918.13,5011.32,4799.73,4449.99,6673.28,7976.45,6310.19,6772.47,5873.11,7251.23,9871.84,12209.06,11594.81,13170.59,9369.05,10145.97,11425.08,5766.21,10540.96,7492.57,8546.74,5790.68,12011.95,9562.66,7773.93,4591.45,11913.12
hsa-miR-200b-5p,306.43,231.13,224.58,151.11,278.2,383.63,299.41,401.91,318.14,417.3,370.81,368.46,229.63,192.57,356.02,276.62,363.47,276.35,284.0,259.82,239.73,254.95,267.03,352.38,249.66,289.45,262.77,371.02,408.37,363.59,323.44,349.79,299.61,362.77,368.9,343.94,277.74,262.48,224.64,210.59,440.84,330.11,376.3,210.25,353.0
hsa-miR-200c-3p,13452.5,7969.4,8392.95,3234.96,8713.57,20717.58,15804.1,14406.09,17446.38,16438.93,15280.59,12286.41,6126.56,5825.51,9577.19,10694.61,16604.93,14209.48,8111.77,5448.78,8443.98,6104.85,7798.56,16214.34,8372.41,13358.39,8015.91,17044.53,19805.76,29415.33,26492.85,29144.27,19096.74,20495.84,21099.51,8038.05,20684.18,9974.94,11888.12,7494.88,20587.68,15212.0,11797.48,7473.69,25930.07
hsa-miR-200c-5p,0.88,0.0,0.0,0.0,4.33,0.32,0.2,0.35,3.72,1.53,0.0,0.0,0.0,0.0,0.0,1.65,0.0,1.54,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,1.75,0.57,0.56,0.0,0.0,0.0,0.0,2.99,0.0,0.81,0.0,0.0,4.21,1.34
hsa-miR-202-5p,0.0,0.0,0.58,1.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.32,0.32,0.0,0.0,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-203a-3p,1635.01,1543.62,768.65,257.53,1697.34,2319.44,3051.42,2223.4,1833.96,2321.25,1719.15,2258.38,3141.69,784.54,2537.43,2018.12,3623.13,2257.93,695.22,1428.59,2520.18,1294.43,1916.9,2568.8,1046.46,5095.47,418.12,2551.25,748.98,1850.91,722.16,1473.16,4042.78,1220.2,2881.53,2006.41,2852.82,757.77,2215.41,992.3,1945.68,2092.06,2335.0,1197.17,2776.53
hsa-miR-203a-5p,0.18,0.0,0.0,0.0,2.47,1.75,0.0,4.33,0.0,0.94,0.81,0.0,0.0,0.0,0.0,0.0,1.89,0.0,0.0,0.0,0.0,3.12,0.0,2.47,0.0,0.0,0.0,0.0,0.0,0.59,1.6,0.0,1.32,0.0,2.15,2.54,1.24,0.0,0.0,1.41,0.6,0.0,1.05,0.0,0.19
hsa-miR-203b-3p,2.28,0.0,0.0,0.0,0.0,0.0,0.61,1.39,4.55,0.82,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,1.92,0.0,0.0,0.0,2.05,1.48,3.36,2.23,0.94,3.53,0.59,5.4,0.0,0.0,0.0,0.0,0.0,0.0,3.16,4.21,0.57
