miRNA,SRR22443559,SRR22443560,SRR22443561,SRR22443562,SRR22443563,SRR22443564,SRR22443565,SRR22443566,SRR22443567,SRR22443568,SRR22443569,SRR22443570,SRR22443571,SRR22443572,SRR22443573,SRR22443574,SRR22443575,SRR22443576,SRR22443577,SRR22443578,SRR22443579,SRR22443580,SRR22443581,SRR22443582,SRR22443583
hsa-miR-3120-3p,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.57,0.0,0.0,0.0
hsa-miR-3123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.46,0.0,2.07,0.0,0.0
hsa-miR-3124-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.46,0.0,0.0,0.0,0.0
hsa-miR-3125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3127-3p,2.33,0.0,12.73,0.0,2.25,4.76,4.15,0.0,0.0,0.0,0.0,0.0,0.36,0.0,0.0,0.0,1.97,4.49,0.0,3.55,12.49,0.0,0.94,4.09,5.45
hsa-miR-3127-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.17,0.0,0.0,0.0,0.0,0.0,0.0,0.57,0.0,0.0,0.0
hsa-miR-3140-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3142,0.0,0.0,9.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3144-3p,0.0,0.0,0.0,0.0,4.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.18,0.98,0.0,0.0,0.0,0.0,0.0,1.7,0.0,0.0
hsa-miR-3145-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.99,0.0,0.79,0.0,0.0,0.0,0.0,0.0
hsa-miR-3146,0.0,0.0,0.0,0.0,0.0,1.67,1.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.92,3.99,3.55,1.97,0.0,11.4,0.0,0.0,0.0
hsa-miR-3149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3150a-3p,2.1,0.0,6.03,6.18,13.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.82,0.0,3.32,0.62,1.97,14.98,0.0,8.27,5.35,0.0,0.0,1.92,0.0
hsa-miR-3150b-3p,0.0,0.0,0.0,0.0,0.0,2.62,1.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3155a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.0
hsa-miR-3161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,1.0,0.0,0.0,0.0,1.09,0.0,0.0,0.0,0.0,0.0,0.0,0.39,0.0,0.0,0.0,0.0,0.0
hsa-miR-3177-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3178,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3182,1.17,0.72,0.0,7.21,0.0,11.18,0.0,0.0,0.0,0.0,0.0,0.0,2.91,0.0,3.32,1.56,0.49,0.0,0.0,1.58,18.29,0.0,0.0,0.0,0.0
hsa-miR-3192-5p,1.63,1.44,0.0,3.09,8.09,2.62,1.99,0.0,0.0,0.0,0.0,0.0,14.55,0.0,0.0,0.94,3.44,10.99,0.0,2.36,10.71,0.0,0.0,1.2,7.49
hsa-miR-3198,0.0,0.0,0.0,0.0,0.0,0.24,1.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.41,0.0
hsa-miR-32-5p,3.5,3.07,0.0,0.0,4.94,0.0,0.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3202,0.0,0.0,0.0,0.0,0.0,0.0,1.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.79,0.0,0.0,0.0,0.0,0.0
hsa-miR-320a-3p,10726.6,11008.4,30711.18,25215.08,29978.97,16762.59,21847.2,1566.26,3533.25,1851.73,2141.74,1814.39,24778.66,16134.17,17573.65,11376.24,15006.14,42453.06,19250.64,18899.26,33368.91,14001.47,8369.49,17547.29,18157.41
hsa-miR-320a-5p,0.0,2.52,0.0,0.0,0.0,3.57,0.0,0.0,0.0,9.8,0.0,0.0,0.0,0.0,0.0,3.74,4.92,0.0,6.6,1.97,4.91,15.96,2.07,0.0,5.11
hsa-miR-320b,158.11,175.07,713.59,314.12,618.48,244.81,548.38,248.29,113.43,177.18,179.45,121.76,489.31,229.63,264.96,140.74,253.78,502.86,374.43,242.28,276.19,164.76,84.07,271.38,541.17
hsa-miR-320c,48.51,52.83,226.47,78.79,164.06,103.01,146.67,0.0,20.9,24.13,0.0,0.0,147.7,86.79,153.51,53.36,59.51,169.78,71.54,60.27,191.86,66.7,56.17,72.17,94.68
hsa-miR-320d,1.4,0.18,0.0,0.51,0.9,0.71,3.07,0.0,0.0,0.0,0.0,0.0,0.36,0.9,0.0,0.0,0.0,1.0,1.01,0.0,0.0,0.57,0.38,1.2,0.0
hsa-miR-320e,3.73,4.87,11.39,0.0,4.49,3.81,6.68,0.0,0.0,0.0,0.0,1.21,0.73,11.75,0.0,1.87,5.41,7.49,0.0,3.55,5.35,14.25,1.88,2.65,4.43
hsa-miR-323a-3p,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
