miRNA,GSM6675021,GSM6675015,GSM6675018,GSM6675019,GSM6675020,GSM6675017,GSM6675014,GSM6675004,GSM6675016,GSM6675011,GSM6675013,GSM6675012,GSM6675008,GSM6675010,GSM6675009,GSM6675007,GSM6675006,GSM6675005,GSM6675001,GSM6675000,GSM6675003,GSM6675002,GSM6674997,GSM6674999,GSM6674996,GSM6674993,GSM6674998,GSM6674995,GSM6674994,GSM6674985,GSM6674988,GSM6674989,GSM6674992,GSM6674991,GSM6674990,GSM6674986,GSM6674987,GSM6674984,GSM6674983,GSM6674982
hsa-miR-211-5p,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.3,0.0,0.17,0.0,0.0,0.0,0.0,0.0
hsa-miR-2110,3.29,1.48,2.12,2.89,0.88,1.31,2.13,0.45,0.23,2.52,1.43,1.13,3.08,1.15,1.93,0.43,0.54,2.58,4.17,2.29,2.76,1.78,1.34,5.14,1.56,1.72,2.25,0.51,3.66,1.32,2.27,1.67,0.3,5.83,2.38,1.76,0.94,0.98,0.8,1.46
hsa-miR-2114-3p,0.14,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.29,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.16,0.0,0.25,0.0,0.0,0.0,0.0,0.62,0.3,0.0,0.17,0.0,0.0,0.49,0.0,0.0
hsa-miR-2114-5p,0.14,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.83,0.17,0.0,0.0,0.0,0.0,0.0
hsa-miR-2115-3p,5.72,4.43,4.04,17.21,10.96,1.88,6.7,3.38,0.46,2.84,2.57,1.77,7.26,5.37,6.87,4.55,1.35,3.57,3.05,2.5,3.86,5.88,4.63,4.04,1.72,9.88,3.75,2.04,3.14,2.07,11.33,5.0,2.12,5.0,3.23,2.94,2.81,2.93,0.6,1.02
hsa-miR-2115-5p,0.29,0.0,0.38,0.87,1.53,0.38,0.65,0.68,0.0,0.95,0.0,0.96,0.4,1.15,0.21,0.0,0.0,0.6,0.64,0.1,0.37,0.53,0.37,0.92,0.31,0.78,0.5,0.0,0.0,0.0,0.82,1.46,0.61,0.0,0.85,0.0,0.0,0.49,0.0,0.44
hsa-miR-2116-3p,0.72,0.21,0.58,1.01,0.22,0.0,1.14,1.58,0.23,0.32,1.43,0.64,1.29,1.15,0.86,0.0,0.27,0.79,1.28,1.56,0.92,1.07,0.73,1.65,0.62,0.47,2.0,1.53,2.62,0.56,0.21,1.25,0.0,3.33,0.17,0.0,3.75,0.98,0.8,0.58
hsa-miR-2116-5p,0.86,0.63,0.96,0.29,0.44,0.56,0.98,0.23,0.69,0.32,1.14,0.32,0.8,0.57,0.64,0.43,0.54,0.99,1.12,1.15,0.55,0.53,0.37,0.55,0.62,0.31,0.75,0.0,1.57,0.19,0.21,0.42,0.91,0.0,1.02,0.0,0.0,0.49,1.0,0.29
hsa-miR-212-3p,1.72,1.05,1.54,1.45,1.53,1.5,1.8,0.45,2.29,0.63,1.14,1.29,0.5,1.72,1.29,1.3,4.33,1.19,1.6,3.44,2.02,1.25,0.49,1.1,1.72,0.94,0.5,3.06,0.52,1.32,1.03,0.62,0.0,2.5,0.51,0.59,3.75,3.42,0.4,1.75
hsa-miR-212-5p,0.14,0.0,0.0,0.14,0.0,0.0,0.16,0.23,0.0,0.32,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.36,0.12,0.0,0.0,0.16,0.5,0.0,0.0,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49,0.0,0.0
hsa-miR-214-3p,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
