miRNA,ERR7197456,ERR7197457,ERR7197458,ERR7197459,ERR7197460,ERR7197461
hsa-let-7a-2-3p,0.28,0.25,0.31,0.0,0.0,0.3
hsa-let-7a-3p,411.44,413.07,487.75,5.92,4.98,9.34
hsa-let-7a-5p,384.55,452.5,529.2,600.15,641.33,476.01
hsa-let-7b-3p,2.29,3.28,3.94,0.0,0.0,0.0
hsa-let-7b-5p,135.09,164.42,192.57,199.93,220.42,154.55
hsa-let-7c-3p,0.56,0.25,1.35,0.0,0.38,0.0
hsa-let-7c-5p,4248.19,4639.81,5672.72,180.08,218.12,146.72
hsa-let-7d-3p,44.54,50.35,59.08,31.7,47.92,35.55
hsa-let-7d-5p,27.17,35.73,40.94,190.53,240.74,165.4
hsa-let-7e-3p,4.73,6.98,8.5,0.0,0.0,0.9
hsa-let-7e-5p,97.91,85.41,125.62,45.98,44.08,35.25
hsa-let-7f-1-3p,0.49,1.09,0.1,1.39,1.15,0.9
hsa-let-7f-2-3p,4.66,3.61,3.73,0.0,1.53,1.81
hsa-let-7f-5p,1196.18,1165.58,1461.79,1197.86,1258.5,1018.29
hsa-let-7g-3p,0.56,0.08,0.93,0.0,0.0,0.0
hsa-let-7g-5p,1714.98,1787.72,2256.22,1082.57,1148.87,848.68
hsa-let-7i-3p,0.63,1.09,0.73,2.79,2.3,1.21
hsa-let-7i-5p,260.44,287.74,375.92,1188.46,1314.47,944.48
hsa-miR-1-3p,142.73,161.65,188.11,2.79,3.45,5.12
hsa-miR-100-5p,1312.22,1391.54,1689.91,294.33,245.34,253.67
hsa-miR-101-2-5p,0.35,0.92,0.1,0.0,0.0,0.0
hsa-miR-101-3p,3255.96,4165.12,4769.57,1421.14,1770.26,1222.85
hsa-miR-101-5p,1.67,0.25,0.93,0.35,0.0,0.0
hsa-miR-10395-3p,0.14,0.0,0.31,0.0,0.0,0.0
hsa-miR-103a-1-5p,0.0,0.25,0.31,0.0,0.0,0.0
hsa-miR-103a-2-5p,0.49,1.6,0.41,0.35,0.0,0.6
hsa-miR-103a-3p,2520.35,91.46,2812.16,9.4,315.87,4.82
hsa-miR-10527-5p,0.07,0.17,0.62,0.0,0.0,0.0
hsa-miR-106a-5p,21.75,15.89,13.99,6.62,7.28,3.62
hsa-miR-106b-3p,300.96,409.63,463.29,44.24,51.75,50.01
hsa-miR-106b-5p,1741.94,2312.17,2816.51,161.62,183.62,124.73
hsa-miR-107,141.13,234.53,67.06,56.43,5.37,2.11
hsa-miR-10a-3p,0.56,0.25,0.73,17.42,15.33,12.95
hsa-miR-10a-5p,27.45,23.03,29.12,381.06,337.72,271.75
hsa-miR-10b-3p,0.97,1.01,1.76,18.11,24.15,14.76
hsa-miR-10b-5p,137.87,134.58,131.63,489.73,465.37,357.0
hsa-miR-1185-5p,1.74,1.85,3.01,1.04,1.15,0.3
hsa-miR-1197,9.1,11.01,14.3,3.83,5.37,2.71
hsa-miR-12114,0.0,0.0,0.0,0.35,0.0,0.0
hsa-miR-122-5p,4.59,7.06,12.54,123.3,169.05,4.82
hsa-miR-122b-5p,0.14,0.17,0.1,0.7,0.77,0.3
hsa-miR-124-3p,230.56,297.99,362.03,0.0,0.38,0.0
hsa-miR-124-5p,3.54,3.36,3.52,0.0,0.0,0.0
hsa-miR-1244,0.35,0.34,0.31,0.0,0.0,0.0
hsa-miR-1246,0.83,0.42,1.24,1.74,0.77,0.3
hsa-miR-1248,2.43,0.92,1.35,0.0,0.0,0.0
hsa-miR-1249-3p,27.45,33.54,32.54,0.35,0.38,0.9
hsa-miR-125a-3p,16.75,18.33,28.29,4.88,4.98,2.71
hsa-miR-125a-5p,461.61,528.91,593.57,25.78,18.78,17.77
hsa-miR-125b-1-3p,21.33,23.71,26.12,12.19,21.85,11.45
hsa-miR-125b-2-3p,0.0,0.0,0.0,0.35,0.38,0.9
hsa-miR-125b-5p,1768.14,2040.4,2399.87,500.18,569.64,400.09
hsa-miR-126-3p,1447.8,1747.45,2056.5,113.2,157.17,108.76
hsa-miR-126-5p,206.8,260.25,337.36,18.11,18.78,20.19
hsa-miR-1260a,0.0,6.22,7.15,0.0,0.38,0.0
hsa-miR-1260b,1.11,2.86,3.01,0.0,0.0,0.0
hsa-miR-1268a,0.0,0.08,0.0,0.0,0.0,0.0
hsa-miR-127-3p,122.99,163.67,151.01,57.12,70.15,47.9
hsa-miR-127-5p,0.63,1.68,1.55,1.74,0.38,1.21
hsa-miR-1271-3p,0.0,0.0,0.0,0.0,0.38,0.0
hsa-miR-1273c,0.0,0.0,0.1,0.0,0.0,0.0
hsa-miR-1277-3p,0.07,0.5,0.1,0.0,0.0,0.0
hsa-miR-128-1-5p,1.53,0.5,3.73,0.0,0.0,0.3
hsa-miR-128-3p,568.28,787.56,873.92,18.11,14.57,13.86
hsa-miR-1285-3p,0.07,0.0,0.0,0.0,0.0,0.0
hsa-miR-1285-5p,0.28,0.0,0.0,0.0,0.0,0.0
hsa-miR-1287-5p,0.0,0.0,0.1,0.0,0.0,0.0
hsa-miR-129-1-3p,10.28,9.33,11.4,0.0,0.0,0.0
hsa-miR-129-2-3p,9.45,9.84,10.88,0.0,0.0,0.0
hsa-miR-129-5p,12.09,11.6,17.31,0.0,0.38,0.0
hsa-miR-1296-5p,0.21,0.59,0.1,0.0,0.38,0.6
hsa-miR-1297,2.64,0.17,0.1,0.35,0.0,0.3
hsa-miR-1298-5p,0.28,0.17,0.1,0.0,0.0,0.0
hsa-miR-1306-3p,1.32,2.61,2.18,0.7,1.15,0.0
hsa-miR-1306-5p,14.25,19.5,27.78,1.04,0.77,0.0
hsa-miR-1307-3p,0.63,0.67,0.83,2.44,3.07,0.3
hsa-miR-1307-5p,0.56,2.1,0.83,0.0,0.77,1.51
hsa-miR-130a-3p,496.08,608.35,705.09,40.06,52.52,40.07
hsa-miR-130a-5p,3.96,4.29,5.6,0.0,1.92,0.3
hsa-miR-130b-3p,516.86,652.65,776.91,2.09,3.45,1.21
hsa-miR-130b-5p,35.23,36.65,39.8,1.04,2.3,0.3
hsa-miR-132-3p,239.18,297.49,365.76,6.97,13.8,3.01
hsa-miR-132-5p,46.56,53.55,54.31,0.0,0.38,0.0
hsa-miR-1322,0.0,0.25,0.0,0.0,0.0,0.0
hsa-miR-133a-3p,19.46,20.17,28.4,1.39,1.15,0.6
hsa-miR-133a-5p,0.42,0.67,0.73,0.0,0.0,0.0
hsa-miR-133b,1.32,1.85,0.73,0.0,0.0,0.0
hsa-miR-134-3p,0.14,0.25,0.41,0.0,0.0,0.0
hsa-miR-134-5p,20.78,21.69,23.22,0.0,0.0,0.0
hsa-miR-1343-3p,0.49,0.08,0.31,0.0,0.38,1.51
hsa-miR-135a-5p,0.49,0.17,2.28,0.0,0.38,0.3
hsa-miR-135b-3p,0.0,0.42,0.0,0.0,0.0,0.0
hsa-miR-135b-5p,1.6,1.01,2.59,0.7,0.0,0.0
hsa-miR-136-3p,132.72,161.23,206.67,21.25,30.67,15.67
hsa-miR-136-5p,16.82,19.33,23.11,1.39,0.0,0.0
hsa-miR-137-3p,914.19,1050.84,1231.8,8.71,7.28,4.52
hsa-miR-137-5p,4.31,5.63,7.77,0.0,0.0,0.0
hsa-miR-138-1-3p,3.4,5.8,8.81,0.0,0.0,0.0
hsa-miR-138-2-3p,4.03,3.28,4.87,0.0,0.0,0.0
hsa-miR-138-5p,599.62,715.61,828.94,0.35,0.0,0.6
hsa-miR-139-3p,0.0,0.17,0.52,0.0,0.0,0.6
hsa-miR-139-5p,36.41,31.94,36.28,3.48,7.28,3.62
hsa-miR-140-3p,574.53,650.46,811.43,96.83,101.97,82.25
hsa-miR-140-5p,230.29,233.35,263.67,27.87,24.53,19.28
hsa-miR-141-3p,2.71,1.77,2.18,0.0,0.0,0.0
hsa-miR-142-3p,122.79,138.45,143.96,88.47,91.62,50.31
hsa-miR-142-5p,383.65,458.63,547.76,140.37,117.3,138.28
hsa-miR-143-3p,1571.97,2318.64,3042.56,96.48,108.87,50.01
hsa-miR-143-5p,29.05,33.71,44.46,0.35,0.0,0.9
hsa-miR-144-3p,612.82,968.55,1116.34,352.5,400.59,334.11
hsa-miR-144-5p,175.67,177.45,199.93,98.92,111.94,79.84
hsa-miR-145-3p,11.12,11.6,9.74,1.04,0.38,0.9
hsa-miR-145-5p,475.44,504.2,555.94,4.18,4.6,3.01
hsa-miR-1468-3p,0.07,0.0,0.0,0.0,0.0,0.0
hsa-miR-146a-5p,2261.51,2337.56,2579.58,250.44,265.27,206.97
hsa-miR-146b-5p,964.64,935.68,997.36,144.55,137.24,110.26
hsa-miR-147b-3p,3.68,8.74,10.57,2.44,2.68,2.71
hsa-miR-147b-5p,1.53,3.87,2.69,0.0,0.0,0.0
hsa-miR-148a-3p,80.19,111.72,125.72,150.12,196.65,144.91
hsa-miR-148a-5p,0.49,1.43,0.62,0.0,0.38,0.3
hsa-miR-148b-3p,1739.37,2142.54,2428.37,326.37,414.39,287.41
hsa-miR-148b-5p,104.79,108.94,135.88,3.48,3.07,1.51
hsa-miR-149-5p,124.73,159.88,181.89,10.45,12.27,8.74
hsa-miR-150-5p,28.49,36.65,43.01,3.83,3.07,3.31
hsa-miR-151a-3p,41.0,43.96,57.94,18.81,14.57,12.35
hsa-miR-151a-5p,1844.3,2652.11,3087.54,121.21,217.35,132.26
hsa-miR-151b,355.43,406.94,545.89,40.75,17.25,35.25
hsa-miR-152-3p,5088.03,6835.81,8043.88,30.3,36.03,26.51
hsa-miR-152-5p,9.8,10.84,11.19,0.0,0.0,0.0
hsa-miR-153-3p,51.28,55.82,72.97,0.0,0.0,0.0
hsa-miR-154-3p,2.71,5.63,5.39,0.0,0.38,0.0
hsa-miR-154-5p,15.57,19.92,18.97,0.0,0.77,0.0
hsa-miR-155-5p,5.63,5.04,3.73,1.39,3.45,1.51
hsa-miR-15a-5p,222.36,296.4,356.64,37.62,50.6,34.34
hsa-miR-15b-3p,383.99,465.78,540.71,14.63,10.35,8.74
hsa-miR-15b-5p,235.91,309.26,365.55,140.37,220.42,127.14
hsa-miR-16-1-3p,0.83,0.84,1.55,0.7,0.77,0.6
hsa-miR-16-2-3p,0.42,0.17,0.1,0.0,0.0,0.0
hsa-miR-16-5p,3912.77,4326.52,5051.48,421.46,579.99,322.36
hsa-miR-17-3p,1.46,2.35,3.42,1.74,3.07,0.9
hsa-miR-17-5p,4147.15,4527.59,5028.47,231.63,341.56,153.05
hsa-miR-181a-3p,6.53,8.99,10.78,1.39,0.77,1.21
hsa-miR-181a-5p,574.19,451.49,684.46,137.24,186.3,106.95
hsa-miR-181b-2-3p,0.49,0.17,0.52,0.0,0.0,0.0
hsa-miR-181b-3p,1.67,1.09,2.69,0.0,0.38,0.0
hsa-miR-181b-5p,98.67,101.55,116.39,29.96,41.02,24.4
