miRNA,SRR25598526,SRR25598527,SRR25598528,SRR25598529,SRR25598530,SRR25598531,SRR25598532,SRR25598533,SRR25598534,SRR25598535,SRR25598536,SRR25598537,SRR25598538,SRR25598539,SRR25598540,SRR25598541,SRR25598542,SRR25598543,SRR25598544,SRR25598545,SRR25598546,SRR25598547,SRR25598548,SRR25598549,SRR25598550,SRR25598551,SRR25598552,SRR25598553,SRR25598554,SRR25598555,SRR25598556,SRR25598557,SRR25598558,SRR25598559,SRR25598560,SRR25598561,SRR25598562,SRR25598563,SRR25598564,SRR25598565,SRR25598566,SRR25598567,SRR25598568,SRR25598569,SRR25598570
hsa-let-7a-2-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7a-3p,183.0,152.0,53.0,23.0,126.0,301.0,294.0,245.0,179.0,443.0,238.0,127.0,96.0,47.0,118.0,75.0,141.0,77.0,115.0,56.0,64.0,51.0,214.0,301.0,76.0,187.0,121.0,187.0,304.0,731.0,593.0,558.0,366.0,366.0,332.0,51.0,373.0,261.0,305.0,174.0,319.0,195.0,416.0,91.0,347.0
hsa-let-7a-5p,128632.0,41371.0,48739.0,39249.0,39830.0,181408.0,125050.0,140262.0,112663.0,286100.0,142333.0,100652.0,59355.0,18936.0,60937.0,55859.0,87862.0,44484.0,40136.0,62022.0,56810.0,38100.0,150662.0,177147.0,116772.0,76433.0,87783.0,161299.0,122297.0,246290.0,161519.0,162282.0,136691.0,127611.0,147484.0,52202.0,101806.0,150877.0,94435.0,67997.0,138894.0,99449.0,169058.0,29311.0,142344.0
hsa-let-7b-3p,107.0,45.0,35.0,21.0,41.0,144.0,51.0,117.0,118.0,188.0,108.0,50.0,33.0,20.0,40.0,89.0,49.0,43.0,38.0,33.0,82.0,9.0,180.0,171.0,68.0,29.0,82.0,130.0,64.0,278.0,221.0,259.0,132.0,104.0,165.0,53.0,117.0,232.0,119.0,39.0,225.0,58.0,163.0,24.0,95.0
hsa-let-7b-5p,58124.0,24927.0,33406.0,46935.0,25851.0,81269.0,73089.0,82551.0,65746.0,140384.0,53359.0,50486.0,41789.0,14886.0,46554.0,36524.0,44136.0,22715.0,24100.0,46677.0,36490.0,28771.0,147491.0,89200.0,88292.0,56505.0,75961.0,105592.0,63436.0,101175.0,92617.0,71014.0,81446.0,74620.0,80267.0,40174.0,65171.0,167977.0,94090.0,42459.0,71403.0,67579.0,115832.0,29991.0,86581.0
hsa-let-7c-3p,20.0,0.0,2.0,0.0,19.0,28.0,11.0,5.0,11.0,15.0,8.0,5.0,10.0,4.0,8.0,0.0,39.0,0.0,12.0,0.0,5.0,1.0,23.0,17.0,0.0,25.0,32.0,9.0,8.0,17.0,19.0,31.0,4.0,15.0,0.0,9.0,27.0,0.0,0.0,32.0,23.0,11.0,22.0,0.0,14.0
hsa-let-7c-5p,15381.0,4221.0,6870.0,10011.0,4744.0,20907.0,17161.0,38250.0,14487.0,34575.0,14096.0,11813.0,8936.0,2948.0,16804.0,9001.0,11887.0,6188.0,5411.0,7695.0,7867.0,5638.0,17695.0,20627.0,22090.0,10501.0,10117.0,39406.0,9417.0,28045.0,13697.0,18853.0,28726.0,31082.0,17010.0,5907.0,11047.0,19288.0,8761.0,8057.0,15294.0,10288.0,40717.0,7955.0,12308.0
hsa-let-7d-3p,4157.0,1788.0,2229.0,2122.0,1801.0,7128.0,3892.0,6596.0,6807.0,9919.0,5038.0,2930.0,2490.0,1389.0,3280.0,2530.0,2566.0,1577.0,1482.0,2551.0,3159.0,2026.0,10734.0,6515.0,6193.0,5536.0,5755.0,7344.0,4053.0,9868.0,7047.0,6365.0,6327.0,7096.0,6630.0,3270.0,4611.0,12010.0,6531.0,4661.0,6388.0,6589.0,8258.0,1770.0,5744.0
hsa-let-7d-5p,5230.0,1420.0,1626.0,722.0,1605.0,7638.0,5597.0,6915.0,5525.0,11311.0,6594.0,4580.0,1693.0,688.0,2549.0,2163.0,3393.0,1687.0,1485.0,1338.0,2224.0,1452.0,4409.0,7280.0,3315.0,2828.0,2377.0,6385.0,5593.0,11835.0,7587.0,7990.0,6838.0,5692.0,7034.0,1426.0,5085.0,3882.0,3153.0,2443.0,6778.0,3632.0,6596.0,1093.0,6082.0
hsa-let-7e-3p,28.0,21.0,1.0,2.0,6.0,55.0,33.0,31.0,25.0,82.0,18.0,7.0,12.0,0.0,7.0,19.0,33.0,10.0,0.0,11.0,27.0,9.0,45.0,54.0,3.0,28.0,24.0,29.0,31.0,62.0,59.0,68.0,30.0,13.0,48.0,20.0,17.0,12.0,9.0,9.0,29.0,37.0,34.0,30.0,62.0
hsa-let-7e-5p,6492.0,2907.0,3501.0,3550.0,2594.0,10488.0,9964.0,9703.0,8799.0,18379.0,6353.0,7256.0,3783.0,1962.0,6471.0,5079.0,5448.0,2287.0,2943.0,5129.0,4763.0,3252.0,13022.0,9626.0,11482.0,5153.0,6630.0,12139.0,9127.0,15446.0,11549.0,8922.0,11108.0,8269.0,9586.0,2985.0,7699.0,10480.0,6318.0,4558.0,9640.0,6543.0,12963.0,2416.0,8409.0
hsa-let-7f-1-3p,14.0,3.0,4.0,0.0,1.0,21.0,24.0,2.0,33.0,34.0,7.0,3.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,24.0,0.0,0.0,16.0,48.0,0.0,5.0,6.0,2.0,8.0,38.0,25.0,21.0,4.0,18.0,31.0,1.0,6.0,3.0,2.0,10.0,7.0,17.0,20.0,5.0,1.0
hsa-let-7f-2-3p,1.0,1.0,1.0,0.0,0.0,4.0,0.0,7.0,0.0,10.0,4.0,0.0,1.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,7.0,2.0,4.0,0.0,4.0,3.0,2.0,6.0,13.0,1.0,3.0,8.0,0.0,3.0,0.0,1.0,12.0,3.0,0.0,5.0,5.0,11.0
hsa-let-7f-5p,93601.0,35729.0,41174.0,34611.0,37887.0,135190.0,93453.0,114772.0,90655.0,218746.0,103308.0,58605.0,44109.0,18744.0,48833.0,39962.0,73849.0,29957.0,29974.0,48914.0,39212.0,32756.0,132403.0,141751.0,88348.0,64120.0,69511.0,121094.0,90330.0,207296.0,134241.0,146963.0,110554.0,109572.0,113963.0,42263.0,89109.0,125885.0,86518.0,60121.0,112567.0,83313.0,144270.0,26931.0,115655.0
hsa-let-7g-3p,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,1.0,0.0
hsa-let-7g-5p,16807.0,7206.0,7200.0,3870.0,6358.0,23683.0,17125.0,18777.0,15619.0,39812.0,19181.0,10945.0,7234.0,3360.0,8948.0,8564.0,13926.0,5460.0,5714.0,6993.0,7183.0,5029.0,19983.0,24563.0,13439.0,12526.0,11641.0,19620.0,15923.0,33785.0,25537.0,26104.0,19716.0,20842.0,19475.0,5988.0,18322.0,19475.0,12887.0,10248.0,19920.0,12792.0,25453.0,4886.0,21424.0
hsa-let-7i-3p,20.0,0.0,0.0,0.0,39.0,7.0,7.0,0.0,17.0,0.0,5.0,0.0,0.0,0.0,35.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,8.0,7.0,18.0,20.0,7.0,3.0,0.0,0.0,0.0,5.0,0.0,0.0,7.0,0.0,0.0,4.0,5.0,16.0
hsa-let-7i-5p,24559.0,11186.0,13402.0,14050.0,13812.0,30652.0,24156.0,30259.0,32050.0,51984.0,22441.0,15509.0,13912.0,8562.0,23363.0,16578.0,21979.0,6460.0,10369.0,19222.0,11862.0,14640.0,46875.0,39703.0,26350.0,21231.0,27743.0,29942.0,20310.0,36408.0,32789.0,33960.0,25232.0,28302.0,25392.0,19812.0,23475.0,36389.0,26345.0,18335.0,30010.0,24983.0,44858.0,9963.0,28332.0
hsa-miR-1-3p,1.0,0.0,5.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,4.0,30.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,13.0,18.0,1.0,1.0,4.0,0.0,32.0,28.0,1.0,0.0,125.0,0.0,7.0,1.0,0.0,0.0,7.0,3.0,0.0,15.0,0.0,24.0,0.0,0.0,0.0,4.0
hsa-miR-100-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
