miRNA,SRR22806505,SRR22806506,SRR22806507,SRR22806508,SRR22806509,SRR22806510,SRR22806511,SRR22806512,SRR22806513,SRR22806514,SRR22806515,SRR22806516,SRR22806517,SRR22806518,SRR22806519,SRR22806520,SRR22806521,SRR22806522,SRR22806523,SRR22806524,SRR22806525,SRR22806526,SRR22806527,SRR22806528
hsa-miR-889-3p,36.0,85.0,61.0,606.0,12.0,48.0,8.0,0.0,6.0,74.0,138.0,17.0,99.0,134.0,747.0,20.0,149.0,69.0,87.0,596.0,294.0,5.0,114.0,160.0
hsa-miR-889-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-892c-3p,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-9-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-9-5p,0.0,0.0,0.0,29.0,0.0,0.0,8.0,0.0,4.0,25.0,82.0,4.0,0.0,29.0,50.0,5.0,165.0,12.0,0.0,34.0,138.0,6.0,0.0,32.0
hsa-miR-92a-1-5p,0.0,0.0,0.0,67.0,1.0,0.0,26.0,17.0,0.0,11.0,18.0,7.0,44.0,0.0,25.0,0.0,0.0,3.0,0.0,66.0,11.0,11.0,21.0,0.0
hsa-miR-92a-3p,5433.0,4462.0,4908.0,49886.0,937.0,1296.0,1386.0,4000.0,220.0,3759.0,6112.0,1049.0,4041.0,4673.0,30704.0,2002.0,21227.0,7564.0,8258.0,45650.0,31478.0,4969.0,9072.0,15451.0
hsa-miR-92b-3p,169.0,237.0,131.0,999.0,10.0,44.0,68.0,630.0,3.0,86.0,101.0,15.0,150.0,109.0,727.0,43.0,414.0,170.0,187.0,1331.0,764.0,194.0,220.0,370.0
hsa-miR-92b-5p,73.0,46.0,10.0,63.0,0.0,4.0,32.0,140.0,6.0,121.0,116.0,15.0,17.0,270.0,125.0,0.0,115.0,30.0,39.0,19.0,33.0,27.0,65.0,72.0
hsa-miR-93-3p,0.0,0.0,0.0,21.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,22.0,0.0,0.0,9.0,3.0,0.0,0.0,0.0
hsa-miR-93-5p,96.0,48.0,52.0,723.0,2.0,0.0,28.0,35.0,0.0,44.0,120.0,18.0,134.0,19.0,453.0,25.0,160.0,44.0,117.0,590.0,573.0,69.0,38.0,254.0
hsa-miR-933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0
hsa-miR-935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
hsa-miR-937-3p,5.0,0.0,0.0,40.0,0.0,16.0,0.0,0.0,0.0,54.0,0.0,4.0,0.0,0.0,27.0,4.0,0.0,0.0,0.0,32.0,7.0,2.0,0.0,13.0
hsa-miR-937-5p,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-939-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0
hsa-miR-940,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0
hsa-miR-941,65.0,0.0,18.0,538.0,9.0,29.0,16.0,104.0,5.0,150.0,323.0,9.0,36.0,62.0,221.0,22.0,120.0,76.0,57.0,376.0,206.0,13.0,109.0,185.0
hsa-miR-942-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0
hsa-miR-942-5p,0.0,20.0,13.0,64.0,0.0,9.0,0.0,2.0,0.0,18.0,0.0,2.0,0.0,16.0,24.0,0.0,6.0,18.0,0.0,41.0,42.0,1.0,0.0,5.0
hsa-miR-944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0
hsa-miR-95-3p,25.0,79.0,40.0,699.0,2.0,18.0,12.0,118.0,3.0,133.0,145.0,6.0,143.0,21.0,355.0,21.0,79.0,42.0,30.0,426.0,211.0,16.0,36.0,116.0
hsa-miR-95-5p,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-96-5p,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,6.0,0.0,0.0,15.0,0.0,19.0,1.0,35.0,43.0,14.0,0.0,0.0,0.0
hsa-miR-98-3p,0.0,0.0,15.0,55.0,0.0,1.0,0.0,0.0,0.0,0.0,29.0,6.0,0.0,0.0,39.0,0.0,2.0,23.0,11.0,41.0,2.0,4.0,0.0,18.0
hsa-miR-98-5p,1210.0,401.0,794.0,5016.0,110.0,211.0,532.0,680.0,34.0,1762.0,995.0,321.0,547.0,575.0,3528.0,603.0,1444.0,2414.0,2104.0,4359.0,2491.0,1567.0,484.0,2081.0
hsa-miR-9901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-9985,34.0,9.0,4.0,47.0,2.0,3.0,12.0,0.0,0.0,11.0,11.0,1.0,21.0,9.0,23.0,4.0,0.0,4.0,32.0,129.0,14.0,7.0,2.0,11.0
