miRNA,SRR27046388,SRR27046389,SRR27046390,SRR27046391,SRR27046392,SRR27046393,SRR27046394,SRR27046395,SRR27046396,SRR27046397,SRR27046398,SRR27046399,SRR27046400,SRR27046401,SRR27046402,SRR27046403,SRR27046404,SRR27046405,SRR27046406,SRR27046407,SRR27046408,SRR27046409,SRR27046410,SRR27046411,SRR27046412,SRR27046413,SRR27046414,SRR27046415,SRR27046416,SRR27046417,SRR27046418,SRR27046419,SRR27046420,SRR27046421,SRR27046422,SRR27046423,SRR27046424
hsa-let-7a-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7a-5p,2.6,44.78,0.94,33.06,16.74,0.63,92.52,135.66,8.33,6.32,134.93,59.99,38.56,187.37,70.64,216.08,602.27,54.27,66.19,53.98,39.8,67.09,112.3,98.19,94.45,82.05,21.29,2.17,149.03,85.8,36.79,147.11,103.85,469.2,192.18,183.06,200.76
hsa-let-7b-5p,19898.56,21274.6,12527.72,27485.69,10354.88,3281.41,8524.59,38753.47,7761.85,2666.18,36861.36,9721.59,28715.89,36101.53,6666.19,8959.99,61307.02,11378.97,4039.41,12805.27,14611.63,15015.27,32730.38,22157.14,37893.42,16462.17,4070.82,9342.02,19960.97,18815.1,19115.61,17295.88,12239.22,24523.45,52503.98,41401.59,34357.44
hsa-let-7c-5p,46.11,0.0,19.8,202.37,0.0,21.96,0.0,0.0,17.08,0.0,2.22,0.0,0.0,0.0,0.0,6.97,0.81,0.0,0.0,0.0,38.85,0.0,0.16,0.0,0.31,0.72,0.0,10.31,0.0,0.0,0.58,0.0,0.0,0.0,7.12,0.69,0.0
hsa-let-7d-3p,0.0,0.0,49.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.0,0.44,0.0,0.0,3.98,0.0,0.0,0.0,0.0,0.0,0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7d-5p,4.55,4.32,1.41,4.0,0.84,0.63,0.0,7.07,0.83,0.0,5.77,5.9,0.86,9.18,1.55,3.98,5.7,2.66,2.04,1.33,1.9,4.6,9.4,0.75,0.31,1.44,0.97,0.54,8.52,4.29,2.92,2.24,3.27,0.0,4.27,0.69,1.58
hsa-let-7e-5p,0.0,0.0,0.0,2.91,0.0,0.0,2.86,0.64,0.0,0.0,0.0,0.0,0.43,0.76,0.0,1.0,2.44,0.76,0.0,1.33,0.0,0.46,0.64,0.0,1.26,0.72,0.48,0.0,5.85,0.0,0.0,0.0,0.0,1.07,1.42,0.69,1.58
hsa-let-7f-2-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7f-5p,15.59,42.82,2.36,33.43,7.53,14.43,64.86,21.54,11.25,0.57,51.49,6.88,5.14,141.48,3.88,27.88,23.63,22.39,5.09,3.98,47.38,30.33,32.81,5.62,40.48,26.63,22.74,34.19,44.71,12.87,4.09,30.62,13.72,11.27,55.52,90.84,23.71
hsa-let-7g-3p,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
