miRNA,SRR13716319,SRR13716320,SRR13716321,SRR13716322,SRR13716323
hsa-let-7a-3p,3.77,2.27,0.16,1.81,2.32
hsa-let-7a-5p,59316.77,5543.29,7001.87,5353.62,14929.97
hsa-let-7b-3p,2.03,0.45,59.79,12.69,2.32
hsa-let-7b-5p,187921.08,62310.18,6828.9,47745.48,15972.8
hsa-let-7c-3p,0.0,0.0,0.0,0.0,3.09
hsa-let-7c-5p,1114.99,1144.09,1007.05,1407.32,1644.91
hsa-let-7d-3p,358.6,510.38,207.6,950.3,648.39
hsa-let-7d-5p,1356.28,325.72,486.05,674.64,602.85
hsa-let-7e-3p,0.58,0.0,0.0,14.51,0.0
hsa-let-7e-5p,913.77,187.62,371.11,457.02,792.73
hsa-let-7f-1-3p,0.58,0.0,0.0,0.0,0.0
hsa-let-7f-2-3p,0.0,0.0,0.16,0.0,0.0
hsa-let-7f-5p,31988.98,2673.86,3693.31,3474.77,8771.8
hsa-let-7g-5p,6083.39,973.74,710.0,841.49,1608.63
hsa-let-7i-3p,0.0,1.14,0.64,0.0,0.77
hsa-let-7i-5p,24537.4,4209.31,2812.26,6380.09,6664.53
hsa-miR-1-3p,18.29,5307.3,56.75,8017.73,321.11
hsa-miR-100-5p,2279.06,1276.06,723.46,754.44,1786.16
hsa-miR-101-3p,1086.54,266.89,274.28,428.0,427.63
hsa-miR-10393-3p,2.03,0.0,0.0,0.0,0.0
hsa-miR-10394-3p,0.0,0.0,0.32,0.0,0.77
hsa-miR-10395-3p,0.0,0.0,23.4,0.0,162.1
hsa-miR-10396a-3p,0.0,0.68,0.0,0.0,0.0
hsa-miR-10396b-5p,0.0,0.0,0.0,0.0,0.77
hsa-miR-10399-3p,52.56,27.94,0.0,43.53,33.96
hsa-miR-103a-3p,367.6,129.01,35.59,97.93,102.66
hsa-miR-10401-3p,1.74,5.0,0.32,27.2,0.77
hsa-miR-105-5p,0.0,0.45,0.16,0.0,1.54
hsa-miR-106a-5p,2.61,6.81,0.0,0.0,0.77
hsa-miR-106b-3p,1135.03,198.75,142.35,364.52,376.68
hsa-miR-106b-5p,9.58,8.4,0.96,1.81,4.63
hsa-miR-107,4.07,0.23,0.32,5.44,5.4
hsa-miR-10a-3p,1.16,0.0,0.0,5.44,2.32
hsa-miR-10a-5p,3030.52,2350.19,1337.44,2798.32,825.15
hsa-miR-10b-3p,2.32,3.86,2.56,1.81,4.63
hsa-miR-10b-5p,4379.54,3912.44,2231.79,3906.4,5776.85
hsa-miR-11400,53.43,37.93,0.16,228.51,60.21
hsa-miR-11401,18.0,10.22,0.0,0.0,0.0
hsa-miR-1180-3p,62.72,117.2,47.93,41.71,49.4
hsa-miR-1197,1.16,0.0,0.0,0.0,0.0
hsa-miR-122-3p,2.9,2.73,0.0,0.0,0.0
hsa-miR-122-5p,102925.78,24539.94,8220.04,26595.79,38908.08
hsa-miR-1226-3p,0.29,0.0,0.0,0.0,0.0
hsa-miR-1226-5p,0.0,0.0,0.32,0.0,0.0
hsa-miR-1229-5p,0.0,0.45,0.0,0.0,0.0
hsa-miR-124-3p,0.0,0.0,0.0,3.63,0.0
hsa-miR-1244,0.87,0.0,0.0,0.0,0.0
hsa-miR-1246,56.91,149.68,43.44,1033.73,135.85
hsa-miR-1247-5p,0.0,0.0,0.0,0.0,0.77
hsa-miR-1248,0.87,0.0,0.0,0.0,0.0
hsa-miR-1249-3p,0.58,0.0,0.16,7.25,0.0
hsa-miR-1250-5p,5.81,0.0,0.0,0.0,0.0
hsa-miR-1255a,5.52,2.5,0.0,3.63,0.0
hsa-miR-1255b-5p,1.74,1.36,0.0,0.0,0.0
hsa-miR-125a-3p,11.03,2.95,1.44,5.44,9.26
hsa-miR-125a-5p,433.22,867.67,635.78,1405.51,1987.63
hsa-miR-125b-1-3p,2.61,3.63,115.74,1.81,20.84
hsa-miR-125b-2-3p,0.0,0.0,0.32,0.0,1.54
hsa-miR-125b-5p,108.01,449.96,282.78,447.95,1293.69
hsa-miR-126-3p,2097.58,1713.07,987.65,3618.04,2855.24
hsa-miR-126-5p,37.75,15.67,0.16,48.97,69.47
hsa-miR-1260b,1.45,0.0,0.0,1.81,0.0
hsa-miR-1262,0.0,0.91,0.0,0.0,0.0
