miRNA,SRR24236450,SRR24236451,SRR24236452,SRR24236453,SRR24236454,SRR24236455
hsa-let-7a-2-3p,32.0,215.0,64.0,178.0,316.0,265.0
hsa-let-7a-3p,51.0,181.0,134.0,28.0,560.0,218.0
hsa-let-7a-5p,641.0,10512.0,8344.0,276.0,1484.0,3038.0
hsa-let-7b-5p,505.0,6452.0,4273.0,234.0,1337.0,2921.0
hsa-let-7c-3p,33.0,110.0,57.0,30.0,307.0,190.0
hsa-let-7c-5p,491.0,8142.0,5946.0,259.0,1494.0,3049.0
hsa-let-7d-3p,225.0,1045.0,809.0,183.0,476.0,561.0
hsa-let-7d-5p,356.0,5707.0,5081.0,274.0,1306.0,1569.0
hsa-let-7e-3p,34.0,134.0,75.0,23.0,328.0,164.0
hsa-let-7e-5p,225.0,3762.0,2983.0,278.0,532.0,900.0
hsa-let-7f-1-3p,42.0,235.0,148.0,36.0,508.0,227.0
hsa-let-7f-2-3p,51.0,140.0,93.0,40.0,412.0,190.0
hsa-let-7f-5p,405.0,9135.0,7674.0,216.0,1187.0,2146.0
hsa-let-7g-3p,36.0,127.0,144.0,42610.0,339.0,238.0
hsa-let-7g-5p,694.0,6070.0,4721.0,181.0,543.0,2187.0
hsa-let-7i-5p,2021.0,18538.0,10371.0,842.0,1892.0,7680.0
hsa-miR-1-3p,6.0,51.0,28.0,15.0,354.0,154.0
hsa-miR-100-3p,28.0,114.0,77.0,25.0,416.0,344.0
hsa-miR-100-5p,3033.0,26382.0,16650.0,2279.0,8297.0,12018.0
hsa-miR-101-3p,1555.0,8028.0,5580.0,989.0,1515.0,3360.0
hsa-miR-101-5p,35.0,213.0,109.0,159.0,463.0,277.0
hsa-miR-103a-1-5p,0.0,0.0,5.0,2.0,2.0,0.0
hsa-miR-103a-2-5p,205.0,0.0,536.0,0.0,760.0,700.0
hsa-miR-103a-3p,1194.0,149.0,0.0,544.0,2.0,27.0
hsa-miR-105-3p,14.0,70.0,43.0,31.0,407.0,183.0
hsa-miR-105-5p,34.0,160.0,39.0,35.0,405.0,203.0
hsa-miR-106a-3p,24.0,42.0,50.0,31.0,371.0,175.0
hsa-miR-106a-5p,870.0,8574.0,6503.0,1234.0,1366.0,3079.0
hsa-miR-106b-3p,221.0,1435.0,709.0,327.0,631.0,989.0
hsa-miR-106b-5p,1418.0,11802.0,7899.0,2120.0,2057.0,4990.0
hsa-miR-107,1052.0,10928.0,6666.0,586.0,967.0,3161.0
hsa-miR-10a-3p,33.0,275.0,136.0,43.0,430.0,256.0
hsa-miR-10a-5p,547.0,8023.0,2328.0,393.0,963.0,1366.0
hsa-miR-10b-3p,14.0,139.0,50.0,28.0,372.0,157.0
hsa-miR-10b-5p,238.0,5395.0,1000.0,131.0,593.0,602.0
hsa-miR-1178-3p,15.0,75.0,29.0,26.0,314.0,137.0
hsa-miR-1178-5p,25.0,173.0,51.0,6950.0,425.0,163.0
hsa-miR-1179,17.0,152.0,43.0,25.0,417.0,267.0
hsa-miR-1180-3p,60.0,421.0,279.0,207.0,481.0,355.0
hsa-miR-1180-5p,70.0,240.0,236.0,4246.0,471.0,172.0
hsa-miR-1182,54.0,218.0,115.0,195.0,588.0,231.0
hsa-miR-1183,48.0,490.0,140.0,446.0,782.0,448.0
hsa-miR-1184,72.0,275.0,163.0,233.0,696.0,293.0
hsa-miR-1185-1-3p,41.0,475.0,168.0,48.0,350.0,200.0
hsa-miR-1185-2-3p,48.0,479.0,140.0,76.0,356.0,219.0
hsa-miR-1185-5p,27.0,307.0,122.0,44.0,440.0,220.0
hsa-miR-1193,25.0,108.0,59.0,69.0,454.0,206.0
hsa-miR-1197,28.0,137.0,39.0,66.0,332.0,180.0
hsa-miR-1199-3p,72.0,670.0,356.0,11150.0,2202.0,541.0
hsa-miR-1199-5p,0.0,0.0,0.0,2.0,0.0,0.0
hsa-miR-1200,34.0,159.0,79.0,3157.0,302.0,255.0
hsa-miR-1202,638.0,3070.0,1313.0,1685.0,2697.0,1681.0
hsa-miR-1204,20.0,124.0,48.0,55.0,438.0,194.0
hsa-miR-1205,28.0,101.0,36.0,24.0,320.0,197.0
hsa-miR-1206,3.0,55.0,35.0,18.0,381.0,156.0
hsa-miR-1207-3p,24.0,74.0,33.0,51.0,273.0,159.0
hsa-miR-1207-5p,13234.0,25246.0,26926.0,21012.0,12832.0,14808.0
hsa-miR-1208,10.0,43.0,29.0,727.0,388.0,173.0
hsa-miR-122-5p,197.0,401.0,326.0,226.0,560.0,470.0
hsa-miR-1224-5p,0.0,1.0,0.0,1.0,0.0,0.0
hsa-miR-1225-3p,2386.0,9827.0,4976.0,8977.0,4232.0,5200.0
hsa-miR-1225-5p,1.0,3.0,2.0,3.0,1.0,0.0
hsa-miR-1226-3p,37.0,224.0,123.0,117.0,326.0,198.0
hsa-miR-1227-3p,206.0,1008.0,381.0,489.0,556.0,853.0
hsa-miR-1228-3p,476.0,1682.0,1373.0,3904.0,963.0,900.0
hsa-miR-1229-3p,542.0,1902.0,807.0,1001.0,855.0,1032.0
hsa-miR-1229-5p,0.0,0.0,0.0,1.0,2.0,0.0
hsa-miR-1231,224.0,451.0,270.0,837.0,861.0,658.0
hsa-miR-1233-3p,153.0,477.0,268.0,453.0,465.0,344.0
hsa-miR-1234-3p,429.0,1535.0,799.0,2966.0,1423.0,1022.0
hsa-miR-1236-3p,72.0,294.0,119.0,80.0,354.0,243.0
hsa-miR-1236-5p,1299.0,1119.0,628.0,427.0,1303.0,470.0
hsa-miR-1237-5p,101948.0,84249.0,141612.0,215706.0,59886.0,176318.0
hsa-miR-1238-3p,132.0,374.0,152.0,147.0,450.0,305.0
hsa-miR-1238-5p,0.0,0.0,0.0,1.0,0.0,0.0
hsa-miR-124-3p,32.0,124.0,69.0,1822.0,447.0,132.0
hsa-miR-124-5p,18.0,113.0,38.0,100.0,266.0,178.0
hsa-miR-1243,17.0,138.0,48.0,27.0,340.0,240.0
hsa-miR-1244,330.0,4022.0,1431.0,673.0,2064.0,1537.0
hsa-miR-1245b-3p,17.0,0.0,33.0,16.0,0.0,2.0
hsa-miR-1247-3p,199.0,657.0,331.0,1459.0,1652.0,628.0
hsa-miR-1247-5p,48.0,254.0,188.0,4433.0,313.0,215.0
