miRNA,SRR13648489,SRR13648490,SRR13648491,SRR13648492,SRR13648493,SRR13648494,SRR13648495,SRR13648496,SRR13648497,SRR13648498,SRR13648499,SRR13648500,SRR13648501,SRR13648502,SRR13648503,SRR16312949,SRR16312950,SRR16312951,SRR16312952,SRR16312953,SRR16312954,SRR16312955,SRR16312956,SRR16312957,SRR16312958
hsa-let-7a-2-3p,0.0,0.0,0.0,0.0,0.55,0.0,0.0,0.0,0.0,0.1,0.3,0.12,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7a-3p,11.65,38.36,28.27,15.29,26.45,91.3,40.68,16.51,31.05,32.25,43.2,1.67,13.58,0.0,16.64,45.81,99.82,3.42,0.14,13.47,0.0,0.0,13.08,0.18,3.96
hsa-let-7a-5p,19097.1,4814.57,5942.35,1513.08,9417.28,9471.75,2754.02,17441.06,25411.53,3266.75,2562.55,1470.44,3637.14,91.33,1848.87,4839.16,9687.06,52.77,29.68,39.17,95.12,56.96,2105.78,121.49,181.5
hsa-let-7b-3p,43.96,11.5,21.44,9.28,45.47,87.92,16.59,14.11,41.43,8.54,36.91,0.96,7.96,0.28,5.64,19.31,38.17,0.0,0.0,0.0,0.0,0.0,13.98,0.18,0.82
hsa-let-7b-5p,6554.82,13490.68,7182.4,2495.28,6866.84,10352.45,6923.28,4720.85,4192.04,2848.8,4145.67,2517.44,11760.05,224.69,4577.5,11728.1,6621.13,675.79,70.89,299.36,787.96,202.18,5941.31,36.94,1064.74
hsa-let-7c-3p,1.33,0.9,0.31,0.0,1.2,1.28,0.0,3.61,1.02,0.2,1.2,0.48,0.0,0.0,0.13,0.0,2.29,0.0,0.14,0.0,0.0,0.0,2.05,0.0,0.0
hsa-let-7c-5p,281.64,684.23,117.66,20.53,337.65,1646.2,137.73,2432.21,257.36,105.39,217.1,266.44,201.65,0.71,54.74,118.37,1080.86,1.99,38.04,2.24,2.28,5.65,238.04,48.84,5.6
hsa-let-7d-3p,2380.57,1185.82,1317.62,240.14,2160.44,3169.61,443.02,433.43,1392.26,399.87,753.65,116.73,791.53,3.56,517.5,2544.61,1972.76,12.7,1.87,41.53,0.09,0.33,863.27,3.5,27.63
hsa-let-7d-5p,1875.97,1162.44,1835.58,463.09,1325.78,1607.95,573.8,1462.78,3113.13,1693.11,1120.9,161.54,765.95,3.28,701.04,1063.68,1828.94,56.31,6.05,22.45,0.61,1.41,650.24,20.31,37.07
hsa-let-7e-3p,0.0,0.13,0.1,0.09,1.31,1.87,0.45,0.22,1.02,0.2,0.0,1.55,0.11,0.14,0.0,0.0,0.95,0.0,0.29,0.0,0.0,0.0,2.82,0.0,0.12
hsa-let-7e-5p,104.17,45.08,86.48,10.57,89.63,88.27,59.29,61.01,167.36,122.17,99.27,101.68,75.46,1.42,28.58,107.94,156.13,1.32,1.01,10.55,0.97,0.22,105.17,3.85,2.33
hsa-let-7f-1-3p,1.64,1.68,2.69,4.3,3.28,8.86,2.91,1.53,5.29,2.21,4.69,0.6,0.96,0.0,1.61,2.28,7.54,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.12
hsa-let-7f-2-3p,0.2,1.03,0.0,2.32,0.44,1.63,0.9,0.11,0.2,1.21,0.7,0.0,0.21,0.0,0.13,1.92,1.72,0.88,0.0,2.69,0.0,0.0,0.51,0.0,0.82
hsa-let-7f-5p,16137.21,2254.73,5710.56,1658.54,4881.84,6296.42,1266.51,10271.06,22993.2,2593.61,1382.49,1220.01,1701.83,84.49,936.65,2393.38,8250.24,28.04,52.3,23.46,34.17,3.7,1180.7,151.25,257.5
hsa-let-7g-3p,0.31,0.13,0.62,5.84,0.77,0.93,0.0,0.0,0.0,1.51,0.8,0.0,0.42,0.0,1.07,1.56,1.43,0.0,0.0,0.0,0.0,0.0,1.41,0.0,2.68
hsa-let-7g-5p,3397.83,1339.53,3082.77,1696.77,1603.52,2832.16,727.45,3347.62,4793.59,1968.39,1065.92,1659.7,1108.34,38.04,1167.55,1795.75,3672.39,57.19,44.96,22.67,0.53,1.52,960.87,105.56,255.52
hsa-let-7i-3p,0.31,10.72,3.83,18.56,3.83,13.53,12.33,1.64,2.04,8.24,8.58,0.84,16.03,0.0,5.77,4.92,9.35,0.88,0.14,4.38,0.09,0.0,13.47,0.0,6.53
hsa-let-7i-5p,5185.69,9884.78,12935.83,11029.06,4430.51,8564.93,6787.89,3442.86,9239.32,18029.88,6581.71,3302.67,9873.77,123.53,14490.3,14235.89,15330.49,6517.34,56.92,461.33,92.93,25.54,9833.28,118.52,2140.2
hsa-miR-1-3p,137.09,58.0,169.75,17.27,31.48,54.57,3.03,20.88,92.74,23.71,19.95,758.82,20.06,0.14,2.95,17.39,891.52,0.0,3.17,5.05,0.0,0.0,33.35,4.9,0.58
hsa-miR-100-5p,482.62,944.26,1323.32,593.26,269.99,678.28,1581.2,2963.39,318.34,713.93,1733.08,373.26,1428.11,27.64,279.88,164.67,4491.2,139.11,19.88,95.86,29.07,2.28,752.59,84.38,45.81
hsa-miR-101-2-5p,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.33,0.0,0.0,0.4,0.0,0.0,0.0,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-101-3p,1200.05,2432.99,2685.68,3792.03,1291.89,1651.21,1125.53,968.88,715.37,1707.57,2063.31,231.07,1796.18,5.98,1788.23,2173.3,2911.42,685.18,2.88,241.44,16.42,26.09,1921.61,6.3,539.36
hsa-miR-101-5p,0.31,0.52,0.0,0.95,1.2,1.4,0.0,0.44,0.31,0.2,1.7,0.0,1.8,0.0,1.21,0.0,0.86,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.47
hsa-miR-10392-5p,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.36,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10393-3p,0.0,0.0,0.0,0.34,0.55,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.27,0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.58
hsa-miR-10394-3p,0.0,0.0,0.0,0.0,0.55,0.0,0.0,0.44,0.0,0.0,0.1,0.0,0.0,0.0,0.67,0.0,0.0,0.33,0.0,0.0,0.0,0.0,1.54,0.0,0.0
hsa-miR-10395-3p,0.0,0.0,0.0,0.34,0.0,0.0,0.0,0.22,0.1,0.0,0.0,0.36,0.0,0.0,0.4,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.7
hsa-miR-10395-5p,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10396a-3p,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10396a-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10396b-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10396b-5p,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23
hsa-miR-10398-3p,0.0,0.39,0.62,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10399-3p,14.82,17.83,10.67,8.25,10.38,18.42,12.44,9.18,11.2,18.29,15.16,0.6,19.63,0.14,27.5,12.47,14.6,4.75,0.0,0.0,0.0,0.0,30.01,0.35,1.4
hsa-miR-10399-5p,0.0,0.65,0.21,1.98,0.22,0.58,0.0,0.11,0.41,0.2,0.6,0.0,0.0,0.0,0.0,2.4,1.34,0.0,0.0,0.0,0.0,0.0,0.64,0.0,0.0
hsa-miR-103a-2-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-103a-3p,222.86,129.3,280.47,298.9,121.66,659.62,125.18,12.57,1398.77,15.47,298.21,164.17,173.21,0.28,1140.45,98.94,116.04,103.45,7.35,2.02,0.0,0.43,221.36,20.66,41.03
hsa-miR-10400-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10401-3p,1.02,1.68,1.66,0.26,0.22,1.4,4.03,0.55,1.63,1.21,5.99,13.74,3.82,0.0,0.54,0.24,0.29,0.0,0.29,0.0,14.05,0.0,1.28,0.0,0.0
hsa-miR-10401-5p,0.0,0.0,0.0,0.0,0.11,0.23,0.0,0.0,0.0,0.0,0.0,0.0,3.08,0.0,0.13,0.6,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-105-5p,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.44,0.0,0.0,4.69,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10526-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.64,0.0
hsa-miR-10527-5p,0.1,0.0,0.0,0.69,0.77,0.47,0.0,0.77,0.2,0.4,0.6,0.0,0.85,0.14,0.81,0.0,0.0,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-106a-3p,0.0,0.0,0.0,1.98,0.11,0.23,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.0,0.0,0.0,0.0,0.0,2.05,0.0,0.0
hsa-miR-106a-5p,11.35,11.88,5.28,7.39,13.66,10.14,3.25,8.75,12.83,4.62,6.68,0.12,9.55,0.0,54.34,9.11,23.95,4.64,0.0,0.0,0.0,0.0,4.87,0.0,1.28
hsa-miR-106b-3p,121.65,273.46,265.76,635.44,90.07,239.5,183.01,162.26,173.88,260.01,288.43,69.42,299.29,0.28,633.96,459.58,271.88,290.81,1.3,81.04,17.04,0.0,383.86,4.9,99.9
hsa-miR-106b-5p,11.96,52.7,45.05,141.42,17.93,107.86,26.78,23.51,19.65,37.88,54.07,11.83,42.67,0.28,138.2,135.88,151.16,45.93,0.58,21.89,0.0,0.0,65.67,1.05,37.88
hsa-miR-107,0.0,3.62,2.69,40.12,13.55,3.26,0.0,77.52,10.08,397.86,334.12,13.14,0.0,0.0,13.42,2.52,94.76,0.55,0.58,44.23,0.09,0.33,58.87,1.05,1.05
hsa-miR-10a-3p,7.97,21.7,6.84,4.21,17.93,40.46,3.81,8.75,30.74,19.19,3.59,6.57,204.94,1.42,3.09,1.56,28.44,0.44,0.14,0.0,0.0,0.0,29.37,0.0,0.0
hsa-miR-10a-5p,7371.72,2776.72,5930.85,141.76,5892.92,7699.39,2550.5,3353.31,5893.88,2102.52,2725.07,602.42,8191.26,105.86,2329.34,2208.2,12640.95,29.81,17.87,50.4,26.79,0.98,3504.25,41.84,18.88
hsa-miR-10b-3p,16.87,28.29,9.53,3.18,61.54,54.34,23.87,7.22,21.28,11.45,42.6,1.91,170.34,0.85,6.57,8.4,31.87,0.0,0.14,0.0,0.0,0.0,11.03,0.0,0.0
hsa-miR-10b-5p,19470.54,4020.54,7516.2,574.96,21392.55,14976.32,2433.17,3317.33,10946.05,2482.99,8557.03,1170.67,8686.16,99.74,2668.12,7255.09,21147.42,31.8,8.93,71.73,13.26,0.76,3130.01,15.76,31.01
hsa-miR-11181-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.12
hsa-miR-11399,0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-11400,32.0,8.14,95.7,2.32,4.04,2.33,15.35,6.34,57.62,19.89,3.49,0.0,0.85,0.0,2.55,6.96,7.35,5.08,0.0,0.0,0.0,0.0,5.13,0.0,4.66
hsa-miR-11401,7.87,47.54,26.0,6.62,4.81,10.49,6.5,4.7,3.36,17.58,20.95,0.0,18.89,0.0,18.78,11.51,24.34,25.5,0.0,0.11,41.19,0.0,26.16,0.0,9.21
hsa-miR-1178-3p,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1178-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35
hsa-miR-1179,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1180-3p,72.27,344.77,156.08,31.88,113.02,196.83,213.94,91.41,98.34,124.18,350.79,68.94,457.22,1.71,426.8,183.14,258.24,86.12,0.0,17.62,0.09,0.0,262.92,1.58,18.88
hsa-miR-1183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1185-1-3p,1.33,0.0,1.45,0.43,0.0,0.12,0.0,0.44,1.22,0.6,0.5,0.0,0.0,0.0,0.0,0.0,0.48,1.1,0.0,0.0,0.0,0.0,1.92,0.0,1.63
hsa-miR-1185-2-3p,0.1,0.0,0.41,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1185-5p,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1193,0.0,0.0,0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1197,0.0,0.0,0.41,0.43,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
