miRNA,SRR29398645,SRR29398646,SRR29398647,SRR29398648,SRR29398649,SRR29398650,SRR29398651,SRR29398652,SRR29398653,SRR29398654,SRR29398655,SRR29398656,SRR29398657,SRR29398658,SRR29398659,SRR29398660,SRR29398661,SRR29398662,SRR29398663,SRR29398664,SRR29398665,SRR29398666,SRR29398667,SRR29398668,SRR29398669,SRR29398670,SRR29398671,SRR29398672,SRR29398673,SRR29398674,SRR29398675,SRR29398676,SRR29398677,SRR29398678,SRR29398679,SRR29398680,SRR29398681,SRR29398682,SRR29398683,SRR29398684,SRR29398685,SRR29398686,SRR29398687,SRR29398688,SRR29398689,SRR29398690,SRR29398691,SRR29398692,SRR29398693,SRR29398694,SRR29398695,SRR29398696,SRR29398697,SRR29398698,SRR29398699,SRR29398700,SRR29398701,SRR29398702,SRR29398703,SRR29398704,SRR29398705,SRR29398706,SRR29398707,SRR29398708,SRR29398709,SRR29398710,SRR29398711,SRR29398712,SRR29398713,SRR29398714,SRR29398715,SRR29398716,SRR29398717,SRR29398718,SRR29398719,SRR29398720,SRR29398721,SRR29398722,SRR29398723,SRR29398724,SRR29398725,SRR29398726,SRR29398727,SRR29398728,SRR29398729,SRR29398730,SRR29398731,SRR29398732,SRR29398733,SRR29398734,SRR29398735,SRR29398736,SRR29398737,SRR29398738,SRR29398739,SRR29398740,SRR29398741,SRR29398742,SRR29398743
hsa-let-7e-5p,5.02,6.1,0.0,2.34,4.45,0.88,2.53,0.0,0.68,1.73,1.02,3.98,4.68,8.32,8.28,5.51,0.0,0.0,0.0,3.28,11.71,0.0,0.0,3.17,7.84,0.71,3.85,2.17,17.01,4.76,17.96,20.75,29.91,2.87,17.68,0.0,0.0,0.0,0.0,5.22,4.47,2.01,7.49,0.0,6.63,0.0,0.0,0.0,2.27,7.76,6.7,0.0,8.93,2.9,14.62,22.2,0.0,2.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.27,8.94,9.48,0.0,5.04,10.08,2.06,0.0,0.0,16.05,7.71,1.59,1.39,0.0,3.23,0.0,6.14,0.0,0.0,5.61,0.0,0.0,0.0,7.61,0.0,0.0,0.0,0.0,1.83,8.41,47.13,0.0,0.0,0.0
hsa-let-7f-1-3p,0.63,0.0,1.96,1.17,3.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,8.28,0.0,0.0,0.0,0.0,0.0,4.96,0.0,0.0,1.86,6.12,2.57,1.68,0.97,5.23,6.34,5.67,0.0,0.0,0.0,5.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.27,0.0,0.0,0.0,7.7,10.62,11.56,9.09,1.47,2.99,5.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.98,0.59,0.0,5.04,0.0,0.0,0.0,2.58,5.07,1.0,1.59,0.7,0.0,2.02,0.0,2.23,0.0,0.0,7.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7f-2-3p,0.63,0.0,2.62,0.78,3.34,3.53,2.53,1.18,0.0,0.0,0.0,1.14,1.17,0.0,4.14,7.34,0.0,0.0,0.0,1.64,4.96,0.0,0.0,1.2,1.22,2.95,5.53,1.69,3.43,2.72,0.0,0.0,0.0,2.87,0.0,0.0,0.0,0.0,0.0,1.66,2.23,0.0,0.0,3.54,1.33,0.0,0.0,0.0,1.36,1.94,0.0,0.0,4.0,9.65,1.02,1.97,4.41,7.11,1.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.0,0.0,0.0,1.03,0.0,5.16,1.69,1.0,0.0,2.09,0.0,6.86,0.0,6.14,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.16,0.0,0.0,0.0,0.0,0.0
hsa-let-7f-5p,57.1,6.1,87.0,15.2,30.03,19.43,47.17,22.47,64.24,20.81,23.52,14.8,127.64,83.67,107.7,58.73,0.0,538.53,2943.81,126.32,360.88,147.02,42.76,370.89,235.85,104.98,58.42,26.79,1259.33,113.05,132.33,62.84,2085.99,17.19,1204.37,0.0,0.0,743.6,87.3,89.64,33.07,11.06,70.59,31.84,35.81,51.04,31.47,11.84,23.19,104.71,82.32,101.33,298.26,290.98,493.14,952.25,17.16,80.78,53.39,19.28,20.3,75.55,60.05,105.0,124.14,22.89,158.0,103.1,26.7,30.25,23.26,41.29,11.76,12.89,96.31,147.01,39.7,58.53,147.48,69.82,0.0,72.56,39.76,0.0,178.82,0.0,14.31,0.0,436.15,161.8,28.9,41.33,161.82,14.65,58.9,8254.79,0.0,656.01,0.0
hsa-let-7g-3p,2.51,0.0,0.65,0.78,3.89,1.77,1.68,0.0,0.0,0.0,5.11,0.0,0.0,0.44,0.0,0.0,0.0,0.0,0.0,1.64,0.9,0.0,0.0,0.55,0.73,1.56,2.4,0.97,1.47,2.49,0.0,0.0,0.0,0.0,1.43,0.0,0.0,0.0,2.24,1.19,2.23,0.0,0.0,2.36,1.33,0.0,0.0,11.84,2.27,0.0,0.0,0.0,0.92,2.41,1.36,0.56,0.98,2.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.15,0.0,0.0,0.0,0.0,0.0,0.0,3.38,1.0,0.0,0.7,0.0,2.02,0.0,4.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7g-5p,795.58,112.87,789.5,304.8,450.38,304.64,291.43,276.72,595.2,294.76,315.46,332.98,1058.56,596.65,675.23,494.64,0.0,2578.86,5824.98,901.17,878.09,735.12,221.97,2205.33,1712.21,1096.62,456.07,468.51,3126.0,1266.68,1079.13,835.35,5383.2,343.85,3736.86,413.74,48.92,2794.91,315.64,440.84,195.26,91.51,377.55,455.8,401.91,306.24,177.69,142.07,529.29,539.08,649.96,607.97,2206.64,3180.01,2600.74,2990.6,329.28,625.3,356.49,306.5,159.03,661.05,666.17,570.79,754.9,235.48,667.77,620.97,385.89,554.65,206.28,461.38,176.37,134.04,903.94,755.21,385.88,630.86,642.88,815.65,288.1,853.41,172.3,48.76,1360.79,64.22,291.85,0.0,1537.57,634.3,14.45,918.34,446.93,362.58,193.54,13186.12,0.0,0.0,657.96
hsa-let-7i-3p,3.76,0.0,5.89,7.8,11.12,7.95,10.95,8.28,0.68,10.4,2.56,5.69,2.34,3.5,3.11,0.0,0.0,0.0,0.0,2.73,11.26,0.0,0.63,2.73,0.73,2.57,1.44,5.07,3.43,4.53,2.21,2.88,0.0,2.87,0.48,0.0,0.0,0.0,0.0,1.19,4.47,2.01,16.04,4.13,6.63,0.0,0.0,0.0,15.92,3.88,2.87,0.0,5.54,0.97,2.38,1.22,6.87,2.62,1.72,1.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.93,4.85,0.0,7.75,5.16,0.0,7.73,2.53,4.98,3.18,5.11,0.0,6.86,0.0,14.51,0.0,0.0,3.21,0.0,0.0,0.0,0.0,2.41,0.0,0.0,0.0,12.82,0.0,0.0,0.0,0.0,0.0
hsa-let-7i-5p,799.35,125.07,1431.83,659.88,539.9,592.51,413.56,248.34,420.26,208.07,248.48,355.74,824.36,545.83,308.62,390.94,0.0,2973.28,1825.34,1086.0,716.8,1974.33,358.42,1367.05,795.0,992.66,448.38,446.3,1407.49,1326.71,514.52,778.85,1585.05,472.8,1213.45,206.87,0.0,1898.26,362.65,437.76,284.63,65.36,453.49,780.1,497.41,262.49,403.5,307.82,465.18,700.03,503.5,1259.37,1115.48,1980.39,1190.35,881.15,549.94,799.95,356.49,233.25,94.74,421.81,1940.34,713.49,1177.65,130.82,50.68,557.57,472.05,458.85,331.91,594.53,329.23,332.51,729.07,602.97,803.51,807.86,862.22,934.71,1152.41,903.64,185.55,312.06,904.52,41.28,216.03,738.4,1305.41,1056.9,115.61,955.07,385.29,893.64,345.01,4565.05,0.0,0.0,0.0
hsa-miR-1-3p,5.65,24.4,1.31,3.12,5.56,5.3,0.84,10.64,4.78,5.2,7.16,2.28,10.54,19.71,3.11,1.84,0.0,462.68,912.67,3.28,32.89,0.0,5.66,8.84,20.33,2.34,100.98,5.55,45.62,23.34,34.66,18.45,0.0,11.46,85.99,0.0,18.46,32.85,2.24,13.28,41.11,10.06,7.49,3.54,6.63,7.29,11.11,0.0,21.83,9.7,4.79,0.0,42.17,15.44,25.85,22.57,0.98,112.2,6.89,5.78,3.38,6.3,163.26,0.0,0.0,6.54,8.94,5.93,12.13,20.17,10.08,5.16,11.76,0.0,27.88,7.46,11.12,4.41,52.94,43.99,0.0,54.14,17.67,0.0,20.85,0.0,10.01,126.07,64.7,37.03,108.38,179.08,285.11,9.16,117.81,218.15,4371.93,14900.89,5601.59
hsa-miR-1-5p,1.88,0.0,0.0,0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.04,0.0,0.0,0.0,0.0,0.55,0.0,0.0,0.0,0.0,0.24,0.2,1.44,0.24,0.65,0.68,0.0,0.0,0.0,0.0,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.0,1.54,0.48,1.36,0.47,0.0,0.37,0.0,0.0,0.0,6.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.23,0.0,1.21,0.0,3.91,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
