miRNA,SRR11095585,SRR11095586,SRR11095587,SRR11095588
hsa-let-7a-3p,25.4,48.53,10.5,21.01
hsa-let-7a-5p,1826.76,3330.59,1363.52,2637.32
hsa-let-7b-3p,73.62,172.46,44.25,89.93
hsa-let-7b-5p,2213.22,4846.08,1937.4,4031.43
hsa-let-7c-5p,88.33,182.88,86.66,178.52
hsa-let-7d-3p,421.04,884.98,277.18,556.97
hsa-let-7d-5p,187.47,397.63,157.95,318.19
hsa-let-7e-3p,1.72,3.63,0.04,0.0
hsa-let-7e-5p,34.58,71.35,33.2,61.17
hsa-let-7f-1-3p,3.65,7.71,0.98,1.88
hsa-let-7f-5p,1326.45,1740.85,564.04,929.6
hsa-let-7g-5p,130.28,257.54,64.79,122.62
hsa-let-7i-3p,9.5,19.47,2.55,4.94
hsa-let-7i-5p,443.61,541.02,195.85,320.43
hsa-miR-1-3p,0.86,0.09,2.39,3.02
hsa-miR-100-5p,1778.99,3895.72,1057.3,2191.82
hsa-miR-101-3p,151.79,177.51,51.54,72.51
hsa-miR-101-5p,1.27,2.48,0.0,0.04
hsa-miR-10394-5p,1.47,4.04,0.0,0.0
hsa-miR-10399-3p,0.0,0.05,0.86,0.0
hsa-miR-103a-2-5p,0.0,1.47,0.0,0.04
hsa-miR-103a-3p,103.28,89.95,381.71,5.75
hsa-miR-10401-3p,7.17,11.66,1.61,2.33
hsa-miR-105-5p,0.0,0.0,0.08,0.0
hsa-miR-106a-3p,2.62,5.88,1.96,3.88
hsa-miR-106a-5p,0.0,0.0,1.29,10.0
hsa-miR-106b-3p,128.6,159.14,62.4,112.99
hsa-miR-106b-5p,38.96,87.7,18.11,35.13
hsa-miR-107,684.75,15.75,1.57,3.55
hsa-miR-10a-3p,0.29,0.09,0.82,1.63
hsa-miR-10a-5p,3561.71,6278.74,1799.56,3005.45
hsa-miR-10b-3p,22.74,50.37,13.91,28.64
hsa-miR-10b-5p,21492.36,7670.22,9521.7,3396.52
hsa-miR-11400,1.72,4.41,0.0,0.0
hsa-miR-11401,2.38,4.59,2.19,4.45
hsa-miR-1180-3p,23.19,52.21,20.69,41.78
hsa-miR-1180-5p,0.0,0.05,1.41,2.53
hsa-miR-1185-1-3p,0.98,0.0,0.04,0.0
hsa-miR-1185-2-3p,0.0,2.48,0.04,0.04
hsa-miR-1197,1.72,3.81,0.0,0.0
hsa-miR-12136,0.16,0.23,0.16,0.41
hsa-miR-122-3p,3.03,8.49,12.66,48.15
hsa-miR-122-5p,42.65,2130.26,3251.54,242.87
hsa-miR-1224-5p,1.68,3.49,4.35,8.98
hsa-miR-1226-3p,1.84,4.41,4.08,8.08
hsa-miR-1226-5p,0.04,0.05,0.0,0.0
hsa-miR-1228-3p,0.0,0.0,1.84,4.53
hsa-miR-1228-5p,0.0,0.0,4.04,7.43
hsa-miR-1229-3p,0.0,0.0,0.9,2.12
hsa-miR-124-3p,159.98,353.28,10.86,20.69
hsa-miR-1246,0.25,0.37,0.2,0.33
hsa-miR-1247-5p,0.0,0.0,1.69,3.31
hsa-miR-1249-3p,0.0,0.09,1.45,3.75
hsa-miR-1255b-5p,1.39,0.0,2.74,5.06
hsa-miR-125a-3p,9.14,20.57,2.59,4.65
hsa-miR-125a-5p,1435.59,3175.07,1429.45,2949.88
hsa-miR-125b-1-3p,0.12,0.09,0.04,0.0
hsa-miR-125b-5p,2512.86,5622.28,2718.46,5665.3
hsa-miR-126-3p,163.14,347.31,77.92,156.2
hsa-miR-126-5p,468.48,707.42,205.96,380.95
hsa-miR-1260a,0.0,0.0,0.0,0.04
hsa-miR-1260b,2.83,5.83,4.39,9.67
hsa-miR-1266-5p,0.0,0.05,0.0,0.0
hsa-miR-127-3p,41.83,63.87,58.95,115.68
hsa-miR-1270,0.86,2.02,0.0,0.0
hsa-miR-1271-5p,16.51,35.26,7.05,14.65
hsa-miR-1273c,1.47,2.98,0.71,1.59
hsa-miR-1273h-3p,3.81,7.99,1.65,3.31
hsa-miR-1273h-5p,4.34,0.69,1.41,2.77
hsa-miR-1275,0.0,0.0,0.08,0.2
hsa-miR-128-1-5p,1.43,0.0,0.0,0.0
hsa-miR-128-3p,110.86,203.68,52.6,94.01
hsa-miR-1284,2.79,6.7,2.35,5.26
hsa-miR-1285-3p,24.62,53.26,38.72,79.45
hsa-miR-1285-5p,0.12,0.14,1.53,3.39
hsa-miR-129-1-3p,0.66,1.15,0.04,0.0
hsa-miR-129-2-3p,0.04,0.0,0.04,0.0
hsa-miR-129-5p,1.35,1.1,0.55,0.0
hsa-miR-1290,0.04,0.05,0.0,0.0
hsa-miR-1291,0.74,1.47,0.08,0.08
hsa-miR-1292-5p,0.0,0.0,2.31,3.26
hsa-miR-1294,8.4,19.01,4.86,10.89
hsa-miR-1298-5p,0.16,0.0,0.04,0.0
hsa-miR-1299,0.04,0.05,0.0,0.0
hsa-miR-1301-3p,30.03,65.8,36.14,75.85
hsa-miR-1303,1.97,4.32,1.29,2.77
hsa-miR-1304-3p,0.08,0.23,1.49,1.47
hsa-miR-1304-5p,6.15,13.55,9.8,20.61
hsa-miR-1306-3p,0.12,0.23,2.63,5.14
hsa-miR-1306-5p,0.0,0.09,2.0,4.53
hsa-miR-1307-3p,5.98,2.39,8.35,14.0
hsa-miR-1307-5p,17.86,11.34,2.39,4.33
hsa-miR-130a-3p,76.94,18.37,24.73,10.98
hsa-miR-130b-3p,25.48,7.58,11.68,7.63
hsa-miR-130b-5p,38.31,85.08,35.16,73.2
hsa-miR-132-3p,2.29,4.55,2.23,4.33
hsa-miR-132-5p,0.2,0.23,1.25,2.61
hsa-miR-1323,0.04,0.05,1.06,1.75
hsa-miR-133a-3p,17.21,32.69,21.32,42.35
hsa-miR-134-5p,0.12,0.05,6.94,13.95
hsa-miR-1343-3p,3.73,9.6,0.0,0.0
hsa-miR-135a-5p,1.68,3.63,0.0,0.04
hsa-miR-135b-5p,0.16,0.18,0.08,0.04
hsa-miR-136-3p,10.9,24.7,6.35,11.63
hsa-miR-138-2-3p,0.0,0.0,0.04,0.0
hsa-miR-138-5p,0.12,0.28,0.04,0.08
hsa-miR-139-3p,7.78,19.28,12.39,24.81
hsa-miR-139-5p,58.87,117.36,21.24,42.72
hsa-miR-140-3p,120.69,240.37,92.65,181.94
hsa-miR-140-5p,0.74,2.11,0.0,0.0
hsa-miR-141-3p,4.59,10.84,10.5,23.42
hsa-miR-142-3p,9.5,20.8,1.41,3.51
hsa-miR-142-5p,9158.0,19651.36,4961.58,10264.56
hsa-miR-143-3p,3062.21,715.23,124.91,110.37
hsa-miR-143-5p,0.04,0.09,2.0,3.96
hsa-miR-144-3p,2192.28,4917.71,1793.21,3732.29
hsa-miR-144-5p,35.03,39.21,9.13,12.93
hsa-miR-145-3p,97.55,219.16,32.84,68.71
hsa-miR-145-5p,16.84,36.32,8.94,17.71
hsa-miR-1468-5p,5.65,0.0,4.39,7.55
hsa-miR-146a-3p,1.39,3.77,1.37,2.37
hsa-miR-146a-5p,10628.54,23718.16,6689.77,13882.35
hsa-miR-146b-3p,6.88,4.27,2.59,4.28
hsa-miR-146b-5p,386.5,777.86,278.04,589.94
hsa-miR-148a-3p,1076.13,1258.14,432.86,759.03
hsa-miR-148a-5p,12.62,11.89,7.25,8.04
hsa-miR-148b-3p,24.62,52.8,22.38,45.82
hsa-miR-148b-5p,0.08,0.14,0.12,0.2
hsa-miR-149-5p,1.52,3.21,0.98,1.92
hsa-miR-150-3p,19.58,41.88,11.13,22.56
hsa-miR-150-5p,401.29,877.95,420.24,856.92
hsa-miR-151a-3p,689.55,760.46,437.37,746.1
hsa-miR-151a-5p,1355.45,2145.04,1083.83,1848.87
hsa-miR-151b,47.4,962.53,103.08,598.06
hsa-miR-152-3p,4.71,9.64,4.59,9.1
hsa-miR-153-3p,0.0,0.09,0.0,0.04
hsa-miR-1538,1.93,3.63,0.63,1.88
hsa-miR-154-5p,0.0,0.09,0.0,0.0
hsa-miR-155-5p,9.75,16.99,4.62,9.55
hsa-miR-15a-3p,0.0,0.09,0.0,0.0
hsa-miR-15a-5p,133.85,38.02,29.63,10.04
hsa-miR-15b-3p,100.74,218.05,88.42,190.47
hsa-miR-15b-5p,185.06,401.99,102.57,205.45
hsa-miR-16-2-3p,1118.12,2504.98,1340.12,2792.29
hsa-miR-16-5p,3760.04,7129.47,1819.31,3686.47
hsa-miR-17-3p,0.94,2.02,0.0,0.0
hsa-miR-17-5p,23.84,54.27,15.68,26.69
hsa-miR-181a-2-3p,28.76,10.24,16.27,16.2
hsa-miR-181a-3p,8.11,2.71,3.61,2.04
hsa-miR-181a-5p,1634.12,213.78,348.44,173.87
hsa-miR-181b-5p,52.56,17.13,17.75,16.2
hsa-miR-181c-3p,0.04,0.18,0.08,0.16
hsa-miR-181c-5p,9.05,4.36,0.08,0.33
hsa-miR-181d-5p,2.01,4.68,0.08,0.16
hsa-miR-182-3p,0.0,0.09,0.0,0.08
hsa-miR-182-5p,1666.16,1255.66,776.67,935.76
hsa-miR-183-3p,0.16,0.18,0.0,0.0
hsa-miR-183-5p,160.52,342.85,128.83,263.31
hsa-miR-184,1.84,4.55,0.12,0.29
hsa-miR-1843,23.02,16.71,4.15,1.31
hsa-miR-185-3p,0.0,0.0,1.53,3.55
hsa-miR-185-5p,470.28,1045.13,742.26,1531.21
hsa-miR-186-5p,695.24,1382.75,467.7,960.73
hsa-miR-187-3p,0.04,0.05,0.04,0.0
hsa-miR-18a-3p,6.19,14.97,8.39,18.69
hsa-miR-18a-5p,1.07,2.2,0.04,0.04
hsa-miR-18b-3p,0.0,0.0,2.98,6.16
hsa-miR-18b-5p,0.08,0.18,0.0,0.0
hsa-miR-1908-5p,18.85,40.45,14.23,29.3
hsa-miR-190b-5p,1.68,3.99,0.04,0.04
hsa-miR-191-3p,2.58,2.66,0.27,0.73
hsa-miR-191-5p,9373.29,19209.56,7648.81,15532.55
hsa-miR-1910-3p,1.56,4.27,0.04,0.08
hsa-miR-1910-5p,1.07,0.0,1.22,0.0
hsa-miR-192-5p,701.67,769.41,579.29,1041.23
hsa-miR-193a-3p,0.0,0.0,0.98,2.29
hsa-miR-193a-5p,47.89,109.55,14.58,30.93
hsa-miR-193b-3p,5.41,12.17,9.05,17.75
hsa-miR-193b-5p,2.46,5.37,4.59,8.77
hsa-miR-194-5p,24.42,55.79,37.74,76.14
hsa-miR-195-3p,0.0,0.0,0.08,0.04
hsa-miR-195-5p,0.86,1.52,0.39,1.14
hsa-miR-196a-5p,0.12,0.05,0.2,0.0
hsa-miR-196b-5p,0.94,1.84,0.08,0.0
hsa-miR-197-3p,272.11,578.03,178.88,374.25
hsa-miR-197-5p,0.41,1.1,0.0,0.0
hsa-miR-1976,2.09,4.13,0.67,1.51
hsa-miR-199a-3p,11.39,297.76,75.49,154.77
hsa-miR-199a-5p,105.54,229.35,98.18,204.14
hsa-miR-199b-3p,131.67,0.0,5.6,4.77
hsa-miR-199b-5p,11.68,25.16,1.76,2.12
hsa-miR-19a-3p,8.4,8.49,5.25,9.67
hsa-miR-19b-3p,57.6,45.69,22.61,44.72
hsa-miR-200a-3p,12.25,27.55,15.72,33.09
hsa-miR-200a-5p,0.04,0.05,0.04,0.0
hsa-miR-200b-3p,7.5,12.72,2.59,1.96
hsa-miR-200b-5p,0.08,0.14,1.53,3.1
hsa-miR-200c-3p,6.8,11.62,0.78,0.33
hsa-miR-202-3p,1.02,2.48,0.9,1.71
hsa-miR-202-5p,0.04,0.05,0.08,0.08
hsa-miR-203a-3p,0.41,0.87,1.22,0.24
hsa-miR-204-3p,1.31,3.21,1.14,2.73
hsa-miR-204-5p,4.79,11.16,6.08,8.9
hsa-miR-205-5p,2.99,6.57,6.19,11.43
hsa-miR-206,1.72,4.32,2.74,5.51
hsa-miR-20a-5p,18.07,38.71,11.99,22.4
hsa-miR-20b-3p,5.24,0.0,0.0,0.0
hsa-miR-20b-5p,3.93,8.95,0.63,0.98
hsa-miR-21-3p,133.93,49.73,26.57,32.97
hsa-miR-21-5p,455.29,590.29,199.3,324.92
hsa-miR-210-3p,9.55,10.51,4.9,10.53
