miRNA,SRR2141641,SRR2141642,SRR2141643,SRR2141644,SRR2141645,SRR2141646,SRR2141647,SRR2141648,SRR2141649,SRR2141650,SRR2141651,SRR2141652,SRR2141653,SRR2141654,SRR2141655,SRR2141656,SRR2141657,SRR2141658,SRR2141659
hsa-let-7a-3p,64.24,0.0,79.96,538.22,57.2,41.79,32.46,147.11,39.13,67.68,238.97,168.49,209.47,194.97,53.07,150.61,129.5,115.84,140.18
hsa-let-7a-5p,3785.7,1192.37,5110.62,5601.86,6027.13,3929.51,3516.97,2910.29,3567.51,10472.91,5602.17,6626.96,23220.62,8800.0,11273.55,13360.29,12661.0,9349.05,12895.43
hsa-let-7b-3p,5.78,0.0,7.88,1.55,6.69,0.5,2.03,25.74,4.76,2.2,15.89,12.75,8.94,3.58,2.78,11.17,8.39,12.15,2.8
hsa-let-7b-5p,4627.93,3577.11,4609.47,10699.52,4136.75,1600.36,1415.61,5282.42,1525.15,6206.66,7861.76,24367.78,35141.93,11425.59,6406.06,10862.0,5715.91,2912.59,14263.95
hsa-let-7c-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.11,0.0,0.0,0.0,0.0
hsa-let-7c-5p,61.35,397.46,273.1,467.08,348.99,100.49,90.79,25.74,65.05,140.64,424.96,69.81,1379.09,111.82,138.66,129.61,145.29,85.03,438.95
hsa-let-7d-3p,421.0,0.0,423.45,286.12,248.28,384.54,427.07,498.94,118.46,422.8,1075.94,1223.09,125.17,408.57,423.2,922.89,2544.68,3360.31,1592.0
hsa-let-7d-5p,470.57,0.0,649.81,1428.05,961.16,532.79,561.98,532.04,370.18,1445.52,796.95,708.21,2433.12,1322.47,1370.74,1283.56,1867.32,1258.79,1508.5
hsa-let-7e-3p,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.12,1.32,0.0,0.0,0.0,0.0,0.0,2.23,0.0,0.0,0.0
hsa-let-7e-5p,72.24,0.0,77.71,88.67,83.37,132.82,72.02,31.87,48.65,103.28,103.0,114.79,166.68,285.64,370.4,234.63,226.69,224.51,169.01
hsa-let-7f-1-3p,1.33,0.0,0.0,3.09,0.3,0.0,3.04,1.23,0.0,0.0,5.3,0.0,0.0,0.36,0.28,0.0,0.49,1.3,2.6
hsa-let-7f-2-3p,4.89,0.0,1.69,0.0,4.26,1.99,0.51,3.68,0.0,0.0,7.06,0.0,9.58,9.32,0.28,1.79,2.96,1.95,8.61
hsa-let-7f-5p,2305.07,3974.56,4062.71,5418.32,5089.39,3688.73,3595.58,1943.06,2597.63,9440.52,3966.49,4114.33,14239.48,5712.79,8061.9,8350.74,8659.22,10191.78,8712.16
hsa-let-7g-3p,2.0,0.0,1.13,0.0,0.0,0.0,0.0,0.0,0.0,0.44,2.35,0.0,1.6,0.0,0.0,0.0,2.71,0.0,0.0
hsa-let-7g-5p,3546.74,1987.28,5099.36,8480.12,6077.03,3263.4,3371.4,2196.82,2125.91,9548.2,4041.24,4591.61,18715.52,5288.46,6129.3,6782.94,7321.26,5919.54,4997.09
hsa-let-7i-3p,0.89,0.0,0.56,4.12,0.0,0.5,1.01,0.0,1.06,6.59,5.89,0.0,3.83,1.43,2.78,1.34,2.47,4.34,8.61
