miRNA,GSM2208752,GSM2208753,GSM2208754,GSM2208755,GSM2208756
hsa-miR-1285-3p,1.59,2.24,2.16,1.56,0.13
hsa-miR-1285-5p,2.58,0.59,1.47,4.32,3.86
hsa-miR-1287-3p,0.0,0.08,0.12,0.0,0.0
hsa-miR-1287-5p,4.54,1.53,1.71,1.91,0.95
hsa-miR-1288-3p,0.26,0.04,0.0,0.0,0.0
hsa-miR-129-2-3p,0.07,0.0,0.0,0.0,0.1
hsa-miR-129-5p,2.1,0.39,0.57,0.41,2.45
hsa-miR-1290,0.85,0.0,0.37,2.44,1.47
hsa-miR-1291,0.81,0.59,0.85,0.21,0.52
hsa-miR-1292-3p,0.0,0.0,0.08,0.0,0.0
hsa-miR-1292-5p,0.77,0.59,1.06,0.47,0.95
hsa-miR-1293,0.0,0.04,0.0,0.0,0.0
hsa-miR-1294,0.52,0.63,0.61,0.09,0.0
hsa-miR-1295a,0.0,0.0,0.08,0.0,0.0
hsa-miR-1296-3p,0.0,0.16,0.24,0.56,0.0
hsa-miR-1296-5p,1.25,0.75,0.08,0.03,0.1
hsa-miR-1297,0.04,0.0,0.0,0.0,0.0
hsa-miR-1298-5p,0.04,0.0,0.0,0.0,0.0
hsa-miR-1299,2.21,1.45,1.91,0.5,1.6
hsa-miR-1301-3p,3.95,2.9,5.01,3.52,1.05
hsa-miR-1303,3.54,2.28,2.32,2.32,1.14
hsa-miR-1304-3p,0.04,0.08,0.08,0.0,0.62
hsa-miR-1304-5p,1.48,0.94,1.42,1.67,1.08
hsa-miR-1306-3p,0.0,0.12,0.12,1.17,1.05
hsa-miR-1306-5p,0.0,0.04,0.16,0.23,0.0
hsa-miR-1307-3p,70.09,45.5,46.37,37.51,31.46
hsa-miR-1307-5p,5.42,3.3,4.84,5.26,9.81
hsa-miR-130a-3p,0.11,0.16,0.28,0.7,0.0
hsa-miR-130a-5p,0.04,0.0,0.2,0.0,0.0
hsa-miR-130b-3p,4.87,3.38,9.24,10.55,1.28
hsa-miR-130b-5p,22.28,3.89,6.64,4.02,7.0
hsa-miR-132-3p,1.73,0.67,1.22,1.12,0.07
hsa-miR-132-5p,0.96,0.35,0.61,0.12,0.65
hsa-miR-133a-3p,0.0,0.0,0.12,0.03,0.0
hsa-miR-133b,0.0,0.0,0.12,0.0,0.0
hsa-miR-134-5p,0.0,0.08,0.12,0.0,0.0
hsa-miR-1343-3p,0.07,0.12,0.08,0.32,0.16
hsa-miR-135a-2-3p,0.33,0.51,0.45,0.15,0.0
hsa-miR-135a-5p,0.3,1.37,0.85,0.15,0.0
hsa-miR-135b-5p,0.66,0.47,0.0,0.23,0.0
hsa-miR-136-3p,0.0,0.35,0.0,0.0,0.0
hsa-miR-136-5p,0.0,0.12,0.04,0.18,0.0
hsa-miR-137-3p,0.0,0.0,0.0,0.0,0.23
hsa-miR-138-1-3p,0.33,0.2,0.16,0.47,0.03
hsa-miR-138-5p,1.11,1.22,6.02,3.44,0.85
hsa-miR-139-5p,1.7,2.47,5.01,1.97,0.39
hsa-miR-140-3p,233.78,137.86,347.85,300.52,72.53
hsa-miR-140-5p,10.4,12.01,19.87,12.19,1.77
hsa-miR-141-3p,0.07,0.12,0.28,0.38,0.0
hsa-miR-141-5p,0.0,0.04,0.0,0.18,0.0
hsa-miR-142-3p,141.7,105.44,280.35,144.14,29.82
hsa-miR-142-5p,502.64,300.41,988.71,672.63,79.46
hsa-miR-143-3p,2.8,8.28,43.68,3.94,3.04
hsa-miR-144-3p,0.0,0.82,1.22,0.03,0.0
hsa-miR-144-5p,0.0,0.24,1.1,0.03,0.0
hsa-miR-145-3p,0.0,0.0,0.41,0.0,0.0
hsa-miR-145-5p,0.0,0.0,0.16,0.0,0.0
hsa-miR-1468-5p,0.77,0.16,0.81,0.21,0.0
hsa-miR-146a-5p,3856.52,2922.18,7651.67,6928.06,1224.66
hsa-miR-146b-3p,5.28,1.33,3.09,6.76,1.73
hsa-miR-146b-5p,632.42,312.43,859.01,603.87,237.44
hsa-miR-147b-3p,0.44,0.04,0.73,0.91,0.36
hsa-miR-147b-5p,0.0,0.04,0.0,0.0,0.0
hsa-miR-148a-3p,27938.27,5543.84,12595.99,35990.51,23402.46
hsa-miR-148a-5p,42.35,8.13,19.54,22.82,11.71
hsa-miR-148b-3p,27.56,15.23,18.85,46.68,22.33
hsa-miR-148b-5p,1.36,0.63,3.05,1.47,0.0
hsa-miR-149-5p,0.0,0.0,0.12,0.15,0.0
hsa-miR-150-3p,2.14,0.51,0.16,0.5,1.11
hsa-miR-150-5p,49.47,23.83,10.79,3.61,14.32
hsa-miR-151a-3p,549.19,236.7,243.23,217.6,235.45
hsa-miR-151a-5p,1.59,1.3,1.67,0.53,1.37
hsa-miR-151b,0.37,0.2,0.04,0.91,0.2
hsa-miR-152-3p,65.85,25.01,34.76,45.41,19.82
hsa-miR-152-5p,0.37,0.0,0.53,0.53,0.0
hsa-miR-1538,0.22,0.0,0.0,0.06,0.0
hsa-miR-155-3p,0.85,0.08,0.24,2.0,0.0
hsa-miR-155-5p,7421.46,7471.86,11730.01,11260.03,3424.74
hsa-miR-15a-3p,0.11,0.12,0.04,0.0,0.0
hsa-miR-15a-5p,2.8,0.79,1.55,3.05,0.16
hsa-miR-15b-3p,3.36,1.77,3.42,2.82,0.2
hsa-miR-15b-5p,8.63,9.42,13.51,9.31,1.14
hsa-miR-16-1-3p,0.22,0.08,0.04,0.0,0.0
hsa-miR-16-2-3p,130.0,75.64,139.34,100.14,36.72
hsa-miR-16-5p,61.39,50.13,96.03,80.4,18.71
hsa-miR-17-3p,3.54,1.84,5.09,2.38,0.0
hsa-miR-17-5p,162.32,98.61,137.19,156.36,27.27
hsa-miR-181a-2-3p,84.66,36.74,100.79,52.11,31.23
hsa-miR-181a-3p,55.89,20.26,34.4,49.55,15.89
hsa-miR-181a-5p,462.39,581.28,982.77,647.43,334.63
hsa-miR-181b-2-3p,0.92,0.9,1.67,1.94,0.29
hsa-miR-181b-3p,10.99,1.41,5.01,10.28,2.06
