miRNA,GSM4224386,GSM4224387,GSM4224388,GSM4224389,GSM4224390,GSM4224391,GSM4224392,GSM4224393,GSM4224394
hsa-miR-196b-5p,130.2,158.04,123.77,0.0,0.0,0.0,180.42,6.08,15.22
hsa-miR-197-3p,11.16,0.0,0.0,0.0,0.0,0.0,4.03,0.0,0.0
hsa-miR-1972,11.16,0.0,0.0,0.0,0.0,0.0,0.0,2.03,1.9
hsa-miR-1976,0.0,0.0,0.0,0.0,0.0,0.0,0.81,0.0,0.0
hsa-miR-199a-3p,66.96,6.45,16.76,61.24,0.0,0.0,16.11,2.03,11.42
hsa-miR-199b-3p,0.0,29.03,30.94,0.0,0.0,0.0,2.42,0.0,1.9
hsa-miR-199b-5p,0.0,0.0,0.0,0.0,0.0,0.0,2.42,0.0,0.0
hsa-miR-19a-3p,18.6,3.23,0.0,183.71,0.0,0.0,0.81,0.0,0.0
hsa-miR-19b-3p,230.64,25.8,14.18,0.0,0.0,0.0,12.89,4.05,7.61
hsa-miR-200a-3p,688.2,167.72,149.55,0.0,0.0,0.0,88.6,105.41,57.08
hsa-miR-200a-5p,279.0,345.11,117.32,0.0,0.0,0.0,313.31,14.19,32.35
hsa-miR-200b-3p,383.16,322.53,186.94,367.42,0.0,0.0,169.14,75.0,83.72
hsa-miR-200b-5p,468.72,1035.33,457.69,306.18,237.73,0.0,563.8,135.82,270.19
hsa-miR-200c-3p,48572.08,26083.23,122307.37,367.42,980.63,42.71,14532.38,4179.98,8992.3
hsa-miR-200c-5p,74.4,151.59,21.92,0.0,0.0,0.0,59.6,48.65,38.05
hsa-miR-203a-3p,3.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-205-5p,7.44,70.96,6.45,0.0,0.0,0.0,6.44,4.05,1.9
hsa-miR-2053,0.0,0.0,0.0,0.0,0.0,42.71,0.0,0.0,0.0
hsa-miR-20a-5p,11.16,0.0,0.0,0.0,0.0,0.0,4.03,0.0,0.0
hsa-miR-21-5p,732.84,425.74,172.76,0.0,0.0,14.24,193.3,40.54,38.05
hsa-miR-210-3p,3.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-2110,0.0,9.68,3.87,0.0,0.0,0.0,2.42,0.0,0.0
hsa-miR-2115-3p,18.6,19.35,0.0,0.0,0.0,0.0,2.42,0.0,9.51
hsa-miR-2115-5p,0.0,0.0,18.05,0.0,0.0,0.0,1.61,0.0,5.71
hsa-miR-215-5p,11.16,0.0,0.0,0.0,0.0,0.0,0.81,0.0,0.0
hsa-miR-218-5p,7.44,9.68,0.0,0.0,0.0,0.0,5.64,0.0,0.0
hsa-miR-219a-5p,0.0,3.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-22-3p,383.16,648.29,126.35,0.0,0.0,0.0,174.78,137.85,91.33
hsa-miR-22-5p,11.16,12.9,6.45,0.0,0.0,0.0,2.42,2.03,5.71
hsa-miR-221-3p,7.44,32.25,0.0,0.0,0.0,0.0,8.05,0.0,1.9
hsa-miR-222-3p,0.0,29.03,0.0,0.0,0.0,0.0,8.05,8.11,0.0
hsa-miR-223-3p,0.0,229.0,14.18,0.0,29.72,28.47,21.75,12.16,1.9
hsa-miR-223-5p,0.0,3.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-224-3p,122.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-224-5p,40.92,87.08,9.02,0.0,0.0,0.0,95.04,8.11,3.81
hsa-miR-2277-3p,3.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9
hsa-miR-2278,0.0,0.0,0.0,0.0,0.0,0.0,6.44,0.0,0.0
hsa-miR-2355-3p,3.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-23a-3p,2139.0,1686.85,214.02,367.42,118.86,0.0,4241.4,247.31,176.95
hsa-miR-23b-3p,66.96,96.76,15.47,0.0,0.0,0.0,26.58,0.0,0.0
hsa-miR-24-2-5p,3.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-24-3p,212.04,96.76,1.29,0.0,0.0,0.0,45.1,4.05,1.9
hsa-miR-25-3p,59.52,80.63,28.36,0.0,0.0,0.0,195.72,14.19,17.12
hsa-miR-26a-2-3p,3.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-26a-5p,100.44,648.29,58.02,0.0,0.0,0.0,41.88,26.35,22.83
hsa-miR-26b-3p,3.72,29.03,7.74,0.0,0.0,0.0,73.29,0.0,20.93
hsa-miR-26b-5p,22.32,16.13,16.76,0.0,0.0,0.0,6.44,0.0,1.9
hsa-miR-27a-3p,44.64,6.45,0.0,0.0,0.0,0.0,12.89,6.08,0.0
hsa-miR-27b-3p,66.96,12.9,0.0,0.0,0.0,0.0,10.47,4.05,0.0
hsa-miR-27b-5p,0.0,3.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-28-3p,215.76,396.72,59.31,0.0,0.0,0.0,477.62,20.27,74.21
hsa-miR-28-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.81,0.0,0.0
hsa-miR-29a-3p,1532.64,1541.71,233.36,0.0,0.0,14.24,188.47,22.3,15.22
hsa-miR-29b-1-5p,3.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
