miRNA,GSM4224386,GSM4224387,GSM4224388,GSM4224389,GSM4224390,GSM4224391,GSM4224392,GSM4224393,GSM4224394
hsa-miR-628-3p,55.8,58.06,21.92,0.0,0.0,0.0,31.41,0.0,13.32
hsa-miR-628-5p,0.0,0.0,0.0,0.0,0.0,0.0,1.61,0.0,0.0
hsa-miR-629-5p,3.72,0.0,3.87,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-643,0.0,0.0,0.0,0.0,0.0,0.0,1.61,0.0,0.0
hsa-miR-652-3p,0.0,9.68,11.6,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-652-5p,3.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-653-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9
hsa-miR-660-5p,3.72,0.0,7.74,0.0,0.0,0.0,0.81,0.0,0.0
hsa-miR-663a,0.0,0.0,6.45,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-664a-3p,1402.44,451.55,393.23,0.0,0.0,0.0,258.54,30.41,119.87
hsa-miR-664a-5p,937.44,1244.98,309.42,122.47,29.72,0.0,1966.06,38.52,64.69
hsa-miR-664b-5p,0.0,3.23,2.58,0.0,0.0,0.0,2.42,0.0,0.0
hsa-miR-671-5p,14.88,6.45,5.16,0.0,0.0,0.0,16.11,0.0,3.81
hsa-miR-6734-5p,0.0,3.23,6.45,0.0,0.0,0.0,4.03,0.0,1.9
hsa-miR-6740-5p,3.72,9.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-6753-3p,3.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-6757-5p,0.0,0.0,0.0,0.0,0.0,0.0,1.61,0.0,0.0
hsa-miR-6767-5p,3.72,9.68,0.0,0.0,0.0,0.0,0.81,0.0,0.0
hsa-miR-6777-5p,0.0,0.0,0.0,0.0,0.0,0.0,1.61,0.0,0.0
hsa-miR-6791-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.03,0.0
hsa-miR-6805-5p,3.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-6810-5p,0.0,6.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-6821-5p,0.0,3.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-6825-5p,7.44,3.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-6838-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.03,0.0
hsa-miR-6850-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9
hsa-miR-6894-5p,0.0,0.0,1.29,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-7-1-3p,3.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-7-5p,0.0,0.0,6.45,0.0,0.0,0.0,0.0,0.0,5.71
hsa-miR-708-5p,0.0,6.45,0.0,0.0,0.0,0.0,0.81,4.05,0.0
hsa-miR-7110-3p,0.0,0.0,11.6,0.0,0.0,0.0,0.0,2.03,9.51
hsa-miR-744-5p,85.56,129.01,96.69,122.47,0.0,0.0,14.5,4.05,19.03
hsa-miR-765,3.72,0.0,0.0,0.0,0.0,0.0,1.61,0.0,5.71
hsa-miR-766-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.03,0.0
hsa-miR-769-3p,7.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-7706,0.0,6.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-8485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.03,3.81
hsa-miR-874-3p,11.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-877-5p,3.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-885-3p,7.44,16.13,23.21,0.0,0.0,0.0,6.44,2.03,1.9
hsa-miR-885-5p,48.36,38.7,5.16,0.0,0.0,0.0,8.86,0.0,17.12
hsa-miR-9-3p,14.88,19.35,0.0,0.0,0.0,0.0,4.83,0.0,0.0
hsa-miR-9-5p,0.0,3.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-92a-3p,22.32,132.24,55.44,0.0,0.0,0.0,32.22,18.24,36.15
hsa-miR-92b-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.03,0.0
hsa-miR-93-5p,14.88,16.13,1.29,0.0,0.0,0.0,29.8,2.03,0.0
hsa-miR-934,7.44,19.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-937-5p,0.0,9.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-941,3.72,0.0,0.0,0.0,0.0,0.0,0.81,0.0,0.0
hsa-miR-96-5p,22.32,3.23,0.0,0.0,0.0,0.0,3.22,4.05,0.0
hsa-miR-98-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.81,0.0,3.81
hsa-miR-9983-3p,152.52,99.99,0.0,0.0,118.86,0.0,40.27,20.27,0.0
hsa-miR-99a-3p,7.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-99a-5p,22.32,74.18,41.26,0.0,0.0,0.0,26.58,14.19,19.03
hsa-miR-99b-3p,0.0,3.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-99b-5p,7.44,74.18,45.12,0.0,0.0,0.0,51.55,16.22,30.44
hsa-mir-1244-1-3p,0.0,0.0,0.0,0.0,0.0,0.0,1.61,0.0,0.0
hsa-mir-1255a-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.81,0.0,0.0
hsa-mir-1273c-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.81,0.0,0.0
hsa-mir-2110-5p,0.0,0.0,0.0,0.0,0.0,0.0,2.42,0.0,0.0
hsa-mir-3135a-5p,0.0,0.0,7.74,0.0,0.0,0.0,0.0,2.03,0.0
hsa-mir-3135b-5p,0.0,6.45,1.29,0.0,0.0,0.0,0.0,0.0,1.9
hsa-mir-3138-3p,0.0,6.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-mir-3159-5p,0.0,0.0,0.0,0.0,0.0,0.0,1.61,4.05,0.0
hsa-mir-3163-5p,0.0,3.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-mir-3929-3p,0.0,9.68,0.0,0.0,0.0,0.0,0.0,2.03,0.0
hsa-mir-3936-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.03,0.0
hsa-mir-3974-5p,0.0,0.0,0.0,0.0,0.0,0.0,2.42,0.0,0.0
hsa-mir-421-3p,0.0,0.0,0.0,0.0,0.0,0.0,2.42,0.0,0.0
hsa-mir-429-3p,3.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-mir-4460-5p,0.0,0.0,10.31,0.0,0.0,0.0,0.0,0.0,1.9
hsa-mir-4679-2-5p,7.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.81
hsa-mir-548a-1-3p,0.0,0.0,1.29,0.0,0.0,0.0,0.0,0.0,0.0
hsa-mir-548al-3p,3.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-mir-5684-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.81,0.0,0.0
hsa-mir-5708-5p,0.0,0.0,11.6,0.0,0.0,0.0,0.0,0.0,0.0
hsa-mir-638-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.05,0.0
hsa-mir-7705-5p,26.04,0.0,0.0,0.0,0.0,0.0,1.61,0.0,0.0
hsa-mir-7851-3p,0.0,9.68,32.23,0.0,89.15,0.0,6.44,46.62,15.22
