miRNA,ERR9830982,ERR9830983,ERR9830984,ERR9830985,ERR9830986,ERR9830987,ERR9830988,ERR9830989,ERR9830990,ERR9830991,ERR9830992,ERR9830993,ERR9830994,ERR9830995,ERR9830996,ERR9830997,ERR9830998,ERR9830999,ERR9831000,ERR9831001,ERR9831002,ERR9831003,ERR9831004,ERR9831005,ERR9831006,ERR9831007,ERR9831008,ERR9831009,ERR9831010,ERR9831011,ERR9831012,ERR9831013,ERR9831014,ERR9831015,ERR9831016,ERR9831017,ERR9831018,ERR9831019,ERR9831020,ERR9831021,ERR9831022,ERR9831023,ERR9831024,ERR9831025,ERR9831026,ERR9831027,ERR9831028,ERR9831029,ERR9831030,ERR9831031,ERR9831032,ERR9831033
hsa-let-7a-2-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7a-3p,3.28,1.11,0.56,4.13,1.23,2.03,6.42,2.75,1.28,1.56,9.4,0.16,0.87,0.36,9.51,3.15,3.99,0.36,2.16,1.36,2.13,4.8,1.44,0.52,1.9,0.16,11.83,1.34,5.21,1.11,1.17,2.38,1.32,3.1,1.14,2.01,0.15,0.95,1.08,0.0,0.15,0.73,0.14,1.02,0.7,0.27,1.04,0.27,0.84,1.64,4.15,0.18
hsa-let-7a-5p,710.73,194.53,291.49,750.85,236.16,2602.65,1500.04,750.75,821.49,344.44,1515.68,218.74,293.11,407.21,2208.13,1670.31,879.07,745.17,369.72,414.17,1034.29,1734.41,917.75,656.26,493.97,151.54,1786.12,157.62,1581.28,129.51,41.44,376.02,119.99,508.97,280.14,300.59,231.52,199.8,365.45,90.03,232.15,287.7,128.56,179.47,272.11,42.18,148.76,79.48,97.45,350.79,897.83,133.94
hsa-let-7b-3p,1.01,0.16,0.74,0.79,0.55,0.0,3.67,1.13,1.28,0.39,1.88,0.16,0.17,0.36,0.0,1.68,0.54,0.36,1.08,0.27,0.77,0.58,0.18,0.17,0.34,0.0,5.29,0.0,2.17,0.42,0.0,0.32,0.0,0.55,0.16,0.15,0.15,0.0,0.22,0.0,0.31,0.0,0.14,0.44,0.17,0.0,0.15,0.27,0.17,0.45,0.0,0.0
hsa-let-7b-5p,541.51,167.78,211.5,583.93,215.15,1655.06,982.91,533.06,720.23,228.07,1137.7,151.09,315.33,318.15,1620.45,1514.63,821.79,629.67,272.03,247.36,781.82,1077.68,516.48,336.46,318.06,77.56,1398.02,93.68,693.1,145.89,117.18,219.33,142.41,407.65,174.45,210.69,204.87,108.65,252.66,41.79,188.15,230.39,96.32,172.59,169.81,46.09,87.24,65.76,127.24,215.61,860.47,103.59
hsa-let-7c-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7c-5p,21.72,2.37,10.04,17.3,4.09,54.26,28.42,28.99,35.22,8.17,195.57,5.11,10.77,13.29,44.08,246.53,24.66,14.39,6.75,51.98,147.53,173.06,24.56,18.4,13.96,8.41,294.42,4.46,47.52,5.27,9.63,43.14,5.77,8.75,8.33,45.88,10.72,7.46,13.64,2.83,10.92,16.62,4.05,6.0,35.33,1.35,9.66,1.51,16.16,8.95,8.11,8.0
hsa-let-7d-3p,13.39,1.74,4.84,12.58,3.14,21.03,18.34,10.85,11.92,4.67,21.63,3.35,5.04,6.82,16.42,33.99,11.6,7.2,3.78,4.9,12.39,15.16,12.1,6.6,6.2,1.56,19.61,2.08,13.89,3.47,2.33,4.92,1.15,5.28,3.1,2.63,2.23,1.76,3.46,0.94,2.31,2.33,2.79,2.93,4.02,1.21,2.38,1.1,1.01,2.24,1.89,1.82
hsa-let-7d-5p,39.65,14.56,19.16,56.23,13.64,187.21,102.69,43.25,39.99,31.14,103.43,15.48,15.45,29.09,163.34,104.49,51.67,57.93,24.02,31.84,89.84,149.84,70.07,55.04,46.0,13.86,157.48,14.57,116.96,13.47,5.84,44.41,11.04,48.47,24.34,26.57,16.82,13.29,25.76,11.31,16.61,24.21,13.12,15.52,19.94,2.43,15.01,9.06,10.94,30.74,86.05,10.9
hsa-let-7e-3p,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.36,0.0,0.0,0.0,0.0,0.0,0.17,0.17,0.0,0.0,0.0,0.43,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7e-5p,17.68,3.17,5.58,16.12,4.64,45.45,29.34,18.95,28.99,5.84,46.07,3.67,8.68,13.65,44.94,66.72,21.94,12.23,7.29,7.89,27.88,33.96,15.53,13.89,14.3,3.74,46.37,2.68,35.15,1.8,0.44,3.17,0.66,3.64,7.02,5.25,4.47,3.66,12.12,0.63,14.92,7.29,3.49,3.07,5.6,0.4,2.23,1.78,1.35,5.37,5.85,2.91
hsa-let-7f-1-3p,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.16,0.18,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.17,0.0,0.0,0.31,0.15,0.65,0.14,0.0,0.16,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.38,0.0
hsa-let-7f-2-3p,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.0
hsa-let-7f-5p,497.56,153.22,235.87,591.6,142.98,1572.99,982.91,388.74,401.76,245.97,1085.99,135.78,159.75,201.81,1271.3,922.54,530.27,393.64,197.27,299.33,886.56,1321.53,632.96,452.96,324.78,88.77,1510.06,125.35,1111.69,85.23,49.76,329.39,87.52,428.43,219.37,221.81,133.11,127.5,254.17,67.24,136.3,196.42,86.83,111.11,130.81,25.74,117.11,64.25,71.36,231.13,640.45,69.24
hsa-let-7g-3p,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7g-5p,233.12,72.97,117.38,245.37,64.12,650.49,441.03,125.37,137.95,105.08,478.59,50.9,58.52,86.54,592.87,346.61,184.37,148.96,110.65,111.84,432.92,499.03,214.72,171.53,139.9,29.59,828.48,67.51,493.46,45.95,34.44,133.37,44.17,192.26,84.78,100.87,46.9,51.27,136.4,27.97,63.69,61.39,38.11,66.17,51.06,22.91,41.17,26.08,42.75,110.41,304.0,38.53
hsa-let-7i-3p,0.0,0.0,0.0,0.2,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,2.59,0.21,0.0,0.0,0.27,0.27,0.19,0.38,0.0,0.35,0.34,0.0,1.24,0.0,0.0,0.0,0.0,0.63,0.16,0.18,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.28,0.29,0.0,0.0,0.0,0.14,0.34,0.0,0.19,0.18
hsa-let-7i-5p,929.21,413.6,583.16,1217.01,365.76,4147.15,2004.34,703.78,716.93,583.4,2185.13,278.73,374.89,433.78,3178.67,1678.49,1218.99,931.2,512.21,609.55,2020.95,2343.57,1045.61,796.54,661.96,158.86,3526.17,252.05,1496.43,285.96,249.1,689.07,270.64,884.74,358.54,428.34,336.04,192.21,525.23,137.0,254.3,481.35,212.74,286.63,291.17,94.07,266.61,168.99,209.71,554.31,1831.9,170.47
hsa-miR-1-3p,11.11,3.32,3.91,10.62,14.46,2.71,4.58,6.16,7.34,1.95,3.76,3.03,5.04,0.72,4.32,29.58,7.43,0.72,0.27,1.09,9.29,8.63,6.32,5.56,4.48,2.49,23.34,0.3,0.22,0.56,0.29,3.49,1.15,1.28,0.16,1.39,1.49,0.41,0.43,0.31,1.08,0.73,0.28,1.61,0.52,0.13,1.63,0.0,0.0,0.6,0.38,0.18
hsa-miR-100-5p,21.22,1.74,3.53,8.85,1.5,11.53,40.34,11.01,6.42,3.5,18.8,2.07,5.04,5.39,34.57,42.38,17.59,10.43,9.72,13.88,16.84,9.21,11.38,7.29,7.75,4.36,36.1,3.72,24.3,6.11,1.46,5.39,4.12,7.11,5.88,5.87,2.68,3.66,9.74,3.93,6.62,3.35,2.23,9.08,6.82,1.08,5.2,1.51,2.36,7.61,10.19,3.82
hsa-miR-101-2-5p,0.0,0.0,0.0,0.0,0.0,0.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-101-3p,70.97,29.92,42.23,89.26,14.19,213.67,187.96,37.09,22.56,26.85,243.52,16.91,11.81,25.14,234.21,101.97,53.12,77.72,52.35,50.89,129.92,100.92,69.53,33.68,42.21,8.1,223.77,20.82,147.99,25.26,26.7,41.55,29.17,110.25,28.75,29.35,11.61,13.84,40.27,7.38,13.69,8.75,13.4,39.96,14.51,13.21,7.88,9.88,24.91,33.12,114.73,8.0
hsa-miR-101-5p,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10394-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.0
hsa-miR-10395-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10399-3p,0.51,0.0,0.0,0.2,0.41,2.71,3.67,2.11,1.83,0.39,0.94,0.16,0.17,0.72,6.05,2.73,0.54,0.0,1.08,0.27,1.74,1.34,0.54,0.35,0.86,0.47,5.6,0.15,3.04,0.83,0.0,0.32,0.0,0.73,0.65,0.46,0.0,0.0,0.0,0.31,0.46,0.15,0.42,0.15,0.35,0.0,0.3,0.0,0.34,0.6,1.13,0.36
hsa-miR-103a-3p,13.64,3.48,12.46,28.12,8.46,65.12,54.1,19.92,24.77,13.23,69.58,0.16,6.77,0.72,47.53,40.28,16.5,11.51,8.91,25.31,45.69,2.3,18.24,7.64,11.03,3.58,37.66,3.27,69.66,2.64,1.46,11.58,0.0,41.73,3.1,9.27,4.76,4.48,17.97,4.56,3.38,6.56,6.42,6.59,5.77,0.94,6.09,3.71,10.27,11.34,41.51,5.45
hsa-miR-106a-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.19,0.0,0.0,0.17,0.0,0.0,0.0,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.15,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.18
hsa-miR-106a-5p,1.01,0.0,0.74,0.59,0.0,1.36,0.92,0.49,0.18,0.39,0.94,0.0,0.35,0.36,0.86,2.31,0.18,2.16,2.7,0.0,1.74,1.73,0.18,0.87,0.52,0.0,1.87,0.15,1.52,0.14,0.15,0.16,0.0,0.91,0.49,0.62,0.0,0.41,0.43,0.47,0.15,0.29,0.42,0.59,0.35,0.0,0.15,0.27,0.34,0.6,1.7,0.0
hsa-miR-106b-3p,4.55,4.12,3.35,9.24,1.36,40.7,18.34,4.21,3.67,4.28,10.34,2.39,3.47,6.1,22.47,13.22,9.79,7.2,2.7,5.99,15.49,18.42,6.5,5.03,5.0,1.4,35.48,2.97,16.06,1.25,2.77,4.6,2.31,7.29,4.57,3.71,3.42,1.22,6.71,1.89,3.08,2.04,2.37,5.71,3.67,1.75,2.82,1.37,2.19,5.37,10.19,1.64
hsa-miR-106b-5p,4.04,1.9,2.6,6.29,0.68,6.78,3.67,0.49,1.1,3.5,15.04,0.32,0.35,0.36,12.1,4.83,3.26,1.8,1.35,0.54,5.03,7.87,2.89,1.56,1.55,1.25,12.14,1.64,8.25,1.39,0.44,2.22,1.65,4.56,1.8,1.08,1.19,0.41,3.03,0.31,0.15,0.44,1.26,1.17,0.52,0.4,0.3,0.55,0.84,0.75,6.79,0.36
hsa-miR-107,0.76,0.16,0.37,0.2,0.14,2.03,5.5,0.81,5.14,0.78,9.4,0.64,1.91,0.36,11.24,0.42,1.09,0.0,0.0,0.0,0.0,0.58,0.54,0.35,0.0,0.0,15.87,1.04,0.87,0.0,0.73,1.74,0.66,0.18,0.65,0.0,0.0,0.27,1.3,2.51,0.31,0.0,0.14,0.0,0.17,0.54,0.15,1.51,0.0,4.18,0.19,0.0
hsa-miR-10a-3p,2.02,0.0,0.37,1.18,0.27,2.03,0.92,1.3,1.83,0.0,0.94,0.64,0.35,0.72,1.73,3.36,2.72,0.0,0.54,0.0,1.74,1.34,0.72,0.35,0.17,0.16,0.93,0.15,1.09,0.28,0.15,0.32,0.0,0.36,0.65,0.62,0.15,0.27,0.22,0.0,0.31,0.0,0.28,0.15,0.17,0.27,0.45,0.27,0.17,0.0,0.19,0.18
hsa-miR-10a-5p,344.0,49.07,84.64,178.32,54.03,409.7,388.76,230.0,291.32,89.9,405.25,53.29,84.56,155.48,740.65,587.05,225.71,78.44,109.57,105.31,326.63,372.59,225.74,149.48,108.89,44.54,465.9,44.91,484.56,46.09,11.97,74.7,23.08,98.22,93.6,104.42,31.56,78.0,128.6,17.91,92.61,32.23,34.06,62.66,88.49,13.07,46.22,17.57,18.18,56.85,42.65,43.8
hsa-miR-10b-3p,1.52,0.0,0.0,0.79,0.27,1.36,0.0,1.62,0.73,0.39,0.94,0.16,0.17,0.0,2.59,1.68,1.27,0.72,0.81,0.27,1.16,1.15,0.72,0.52,0.52,0.0,3.73,0.59,3.91,0.14,0.15,0.32,0.16,0.18,0.65,0.46,0.0,0.54,0.43,0.0,0.15,0.29,0.0,0.29,0.17,0.13,0.3,0.0,0.0,0.15,0.38,0.0
hsa-miR-10b-5p,866.82,97.98,177.65,416.02,118.96,1078.5,887.56,567.88,604.47,197.32,747.5,124.77,205.24,289.07,1668.85,1162.99,456.49,165.15,221.29,234.84,745.8,659.04,417.88,310.42,207.1,90.33,1170.2,126.1,1009.49,99.95,13.43,181.43,66.26,229.98,228.52,230.93,83.68,163.99,285.56,45.41,193.22,86.03,62.82,139.8,162.99,28.3,105.52,39.67,63.79,156.82,98.69,81.6
hsa-miR-11400,0.25,0.0,0.93,0.0,0.0,0.0,0.0,0.0,0.55,0.78,1.88,0.0,0.52,0.0,3.46,1.26,0.0,0.0,0.0,1.9,1.16,0.38,0.0,0.0,0.0,0.0,0.0,0.0,1.74,0.56,0.15,0.32,0.99,3.83,1.31,1.08,0.0,0.14,0.0,0.31,0.31,0.0,0.56,0.29,0.52,0.27,0.74,0.82,0.34,0.0,0.0,0.55
hsa-miR-11401,0.0,0.0,0.0,0.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.86,0.0,0.0,0.0,0.0,0.54,0.0,0.58,0.18,0.0,0.0,0.0,0.0,0.15,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0
hsa-miR-1180-3p,1.52,0.63,0.56,3.93,0.27,10.85,3.67,1.3,0.37,1.56,3.76,0.0,1.74,1.08,7.78,2.52,1.99,2.52,1.08,2.18,4.07,3.84,1.26,1.91,1.55,0.62,7.16,1.19,3.91,0.14,0.15,0.48,0.82,1.46,1.14,0.46,0.74,0.27,0.65,0.31,0.62,1.6,1.4,0.59,0.87,0.0,0.3,0.55,1.01,1.94,3.21,0.18
hsa-miR-1185-1-3p,0.25,0.16,0.0,0.79,0.0,0.68,0.92,0.0,0.18,0.0,0.0,0.0,0.0,0.36,0.0,0.63,0.0,1.08,0.0,0.0,0.39,0.58,0.0,0.52,0.17,0.0,0.93,0.15,0.87,0.0,0.15,0.16,0.33,0.0,0.49,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.19,0.0
hsa-miR-1185-2-3p,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-12113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-12136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-122-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-122-5p,476.85,3.64,49.85,275.06,16.78,179.07,79.77,316.98,99.98,31.91,1235.48,71.16,12.85,6.82,1171.91,615.59,592.09,2.88,278.5,385.05,6.2,190.13,0.9,165.8,602.17,176.3,544.95,1.04,51.65,66.49,9.63,87.86,29.34,320.0,33.16,1.08,67.15,329.21,312.19,551.94,44.0,58.18,32.11,1214.16,191.67,9.97,79.36,0.41,58.74,1300.06,304.18,201.55
hsa-miR-1226-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.19,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1228-5p,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1229-5p,0.0,0.0,0.0,0.0,0.0,0.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-122b-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.13,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1233-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-124-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1246,0.76,0.47,0.0,2.36,0.14,0.68,1.83,0.49,0.37,0.0,0.94,0.32,0.0,0.0,3.46,1.26,0.36,1.08,0.81,0.82,0.77,0.77,0.18,0.35,0.17,3.27,5.6,0.0,1.3,1.53,2.19,0.95,3.79,6.92,0.82,0.77,1.19,0.27,0.65,0.63,0.62,0.44,0.56,2.64,3.5,1.35,0.15,0.0,0.67,2.09,0.19,2.36
hsa-miR-1247-5p,0.0,0.0,0.0,0.0,0.0,1.36,0.92,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1248,0.0,0.0,0.19,0.0,0.0,0.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1249-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1249-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1250-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.16,0.0,0.18,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1255a,0.0,0.16,0.0,0.39,0.0,0.68,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.36,0.0,0.84,0.18,0.0,0.27,0.0,0.77,0.38,0.18,0.0,0.0,0.0,1.24,0.15,0.22,0.0,0.0,0.0,0.0,0.18,0.0,0.15,0.15,0.0,0.22,0.0,0.15,0.0,0.0,0.0,0.52,0.0,0.15,0.0,0.0,0.0,0.38,0.0
hsa-miR-1255b-5p,0.0,0.0,0.37,0.0,0.0,4.75,0.92,0.49,1.1,0.0,0.94,0.0,0.17,0.0,2.59,0.21,0.54,0.36,0.81,0.82,0.97,0.19,0.0,0.17,0.17,0.0,0.93,0.15,0.65,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.3,0.14,0.22,0.0,0.0,0.0,0.42,0.59,0.52,0.0,0.0,0.27,0.34,0.0,0.94,0.18
