miRNA,SRR11073563,SRR11073564,SRR11073565,SRR11073566,SRR11073567,SRR11073568,SRR11073569,SRR11073570,SRR11073571,SRR11073572,SRR11073573,SRR11073574,SRR11073575,SRR11073576,SRR11073577,SRR11073578,SRR11073579,SRR11073580,SRR11073581,SRR11073582,SRR11073583,SRR11073584,SRR11073585,SRR11073586,SRR11073587,SRR11073588,SRR11073589,SRR11073590,SRR11073591,SRR11073592,SRR11073593,SRR11073594,SRR11073595,SRR11073596,SRR11073597,SRR11073598,SRR11073599,SRR11073600,SRR11073601,SRR11073602,SRR11073603,SRR11073604,SRR11073605,SRR11073606,SRR11073607,SRR11073608,SRR11073609,SRR11073610,SRR11073611,SRR11073612,SRR11073613,SRR11073614,SRR11073615,SRR11073616,SRR11073617,SRR11073618,SRR11073619,SRR11073620,SRR11073621,SRR11073622,SRR11073623,SRR11073624,SRR11073625,SRR11073626,SRR11073627,SRR11073628,SRR11073629,SRR11073630,SRR11073631,SRR11073632,SRR11073633,SRR11073634,SRR11073635,SRR11073636,SRR11073637,SRR11073638,SRR11073639,SRR11073640,SRR11073641,SRR11073642,SRR11073643,SRR11073644,SRR11073645,SRR11073646,SRR11073647,SRR11073648,SRR11073649,SRR11073650,SRR11073651,SRR11073652,SRR11073653,SRR11073654,SRR11073655,SRR11073656,SRR11073657,SRR11073658,SRR11073659,SRR11073660,SRR11073661,SRR11073662,SRR11073663,SRR11073664,SRR11073665,SRR11073666,SRR11073667,SRR11073668,SRR11073669,SRR11073670,SRR11073671,SRR11073672,SRR11073673,SRR11073674,SRR11073675,SRR11073676,SRR11073677,SRR11073678,SRR11073679,SRR11073680,SRR11073681,SRR11073682
hsa-let-7a-2-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7a-3p,133.39,111.76,67.97,111.69,120.1,99.14,113.48,79.13,72.53,16.59,0.0,0.0,13.24,0.0,10.32,0.0,0.0,0.0,0.0,68.82,0.0,33.07,0.0,24.72,0.0,0.0,0.0,0.0,0.0,6.52,74.8,10.26,10.11,49.21,63.86,70.71,64.83,74.48,153.79,213.92,15.46,2.83,6.78,170.03,75.97,17.5,10.55,10.26,172.82,4.77,120.39,142.78,0.0,40.11,0.0,0.0,0.0,0.0,137.93,37.89,58.29,94.47,99.1,102.27,75.57,97.92,243.73,102.44,128.32,0.0,9.94,11.97,0.0,48.54,177.04,0.0,40.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.07,122.97,280.74,69.69,145.79,60.77,113.94,105.64,106.55,162.42,131.95,91.57,83.06,113.14,241.45,134.12,193.45,151.83,164.23,110.06,126.38,130.73,144.73,163.96,3.74,12.06,174.74,0.0,344.58,21.76,0.0,30.28,7.18,16.3,0.0
hsa-let-7a-5p,8911.23,21450.84,10232.69,13983.09,18778.84,22113.39,15096.84,11829.23,5218.78,14395.0,5023.09,8842.22,14322.61,26367.9,10203.34,11064.92,7760.07,3075.76,20292.64,15334.13,10375.14,6328.35,7045.69,16505.41,13937.81,9001.59,5004.39,10013.92,6655.57,22177.45,15619.32,18840.62,14191.28,24056.51,26322.85,18520.74,27220.53,24148.84,39681.86,31542.19,20131.2,39533.48,43677.19,28848.38,51308.44,25083.79,45890.95,17374.26,22483.37,12218.02,32492.59,44562.82,2004.61,7318.67,8333.33,11290.32,2024.29,35938.9,37617.85,15355.36,30332.55,27964.74,29276.05,21038.17,21683.8,39493.69,28151.78,23664.93,20510.34,2096.67,6451.68,4945.28,11458.54,4281.35,10171.43,3177.8,12193.64,13477.09,3164.56,5102.04,1146.79,7843.14,10130.25,6607.93,7677.54,18322.63,28398.45,14068.59,19274.09,20760.38,39378.27,10917.25,41429.56,58558.09,31093.97,17684.32,12879.68,29949.05,22140.68,13674.48,25961.13,14022.43,10249.35,13713.76,18303.72,6036.78,8480.9,8255.87,8659.8,13324.66,9567.1,9833.31,2296.47,6995.6,11265.68,11479.67,12519.87,19852.38,10414.97,12360.08
hsa-let-7b-3p,22.9,34.44,28.25,24.25,46.68,22.94,28.93,21.87,41.99,0.0,0.0,0.0,0.0,7.65,0.0,0.0,0.0,0.0,4.23,56.75,0.0,0.0,0.0,24.27,0.0,0.0,0.0,9.94,0.0,0.0,46.2,0.0,10.11,39.52,35.56,44.64,24.26,25.67,29.28,39.23,3.09,5.65,1.7,51.17,17.27,3.89,0.0,0.0,89.2,0.0,43.31,91.9,0.0,0.0,0.0,0.0,0.0,0.0,18.33,14.98,27.04,18.37,43.51,25.79,34.88,15.04,40.86,34.15,28.35,0.0,0.0,0.0,9.14,0.0,96.95,14.38,23.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.02,40.99,38.6,16.59,29.41,32.04,15.54,26.81,20.16,25.12,31.15,33.52,29.9,62.58,53.15,36.25,56.35,56.17,64.35,22.51,33.7,37.25,31.35,25.23,0.0,0.0,18.53,0.0,92.98,3.11,0.0,0.0,7.18,0.0,9.56
hsa-let-7b-5p,43025.59,49787.49,30443.87,39203.41,45272.03,87618.08,75372.11,81821.65,74801.04,3517.85,1182.57,4288.08,5383.39,7362.22,3971.98,4925.43,2811.62,1590.19,7216.57,34533.51,4665.67,2271.15,4450.31,43712.71,5161.35,2540.28,1185.25,2147.97,2364.48,7042.53,54708.31,4587.01,7459.52,91955.4,58567.21,51153.26,78228.6,51685.98,103000.27,120386.9,3202.69,5869.69,3749.43,65252.2,168660.34,7803.33,4575.97,3494.35,58457.88,2725.7,77551.23,55372.3,575.18,4547.28,10416.67,8064.52,0.0,118149.15,153140.26,160911.82,94275.65,160441.05,175595.88,102748.72,85291.01,122069.93,102792.75,132744.85,129701.34,1008.92,1143.21,945.95,2905.75,1543.61,34725.35,503.27,28644.14,1347.71,0.0,5102.04,0.0,11764.71,5788.71,0.0,74856.05,104988.89,87072.72,82435.84,112405.64,132476.13,137747.17,236491.98,123465.61,91204.26,139701.82,68380.61,100457.12,85800.57,62009.66,72083.71,126416.38,101334.91,66091.8,100778.22,48762.17,74007.04,53618.9,56356.45,59141.93,1868.29,2947.9,56331.02,486.19,71494.3,3823.62,4458.28,6025.28,3230.95,4465.89,2953.8
hsa-let-7c-3p,0.67,0.0,0.0,0.53,0.26,0.28,0.0,0.35,3.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.15,0.0,0.4,0.0,0.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.84,2.62,0.0,0.89,0.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.11,0.0,1.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.42,0.0,0.0,2.88,1.67,0.0,0.82,0.0,1.66,0.0,0.91,0.0,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3,0.0,0.0,0.0,0.0,0.0,7.18,0.0,0.0
hsa-let-7c-5p,138.77,134.51,1997.95,134.35,291.07,228.14,4261.14,174.23,2290.97,24.89,11.26,813.8,39.73,1467.86,887.25,722.29,46.86,0.0,67.64,158.63,12.58,33.07,53.43,375.42,21.48,30.51,285.34,1133.65,437.87,65.21,243.95,148.8,70.75,286.93,480.47,232.28,428.29,161.8,544.32,9056.01,15.46,172.39,3172.85,193.14,24635.51,1358.88,25.79,56.44,5307.26,757.67,356.85,12382.21,3.4,470.41,0.0,0.0,0.0,0.0,5702.82,6507.85,658.14,8638.45,357.73,5943.89,3188.15,11433.57,255.61,5662.55,3539.25,378.35,178.94,11.97,36.55,19.42,288.75,503.27,372.19,0.0,0.0,1457.73,0.0,0.0,723.59,0.0,5758.16,222.13,487.79,4197.07,5905.01,7369.02,605.46,6049.02,455.69,370.05,256.19,2406.17,4382.35,6456.93,296.31,373.56,270.51,217.87,116.03,6357.94,387.01,3104.75,172.91,152.07,2402.95,784.68,54.26,76.78,124.13,203.74,742.96,83.49,1029.45,35.9,24.45,0.0
hsa-let-7d-3p,2928.42,3184.62,3117.19,2185.99,2621.44,2341.85,2875.98,2910.62,3537.93,149.34,78.84,203.45,198.65,137.61,113.49,161.36,159.33,41.85,177.56,3643.17,150.91,154.35,122.14,2749.3,100.22,76.28,21.95,49.72,105.09,176.06,3857.96,236.02,293.12,2859.45,2796.04,2911.79,2175.74,1934.99,1983.68,2261.76,86.56,121.52,89.88,2963.08,3025.05,204.12,97.29,82.1,4147.69,90.54,3272.3,4356.61,13.61,102.1,4166.67,0.0,0.0,2695.42,2426.29,1674.33,2835.31,2647.69,2571.81,2259.81,2253.46,2103.22,2897.23,4004.82,3782.46,173.41,109.35,131.71,27.41,184.46,3648.31,43.14,8780.2,0.0,0.0,4373.18,0.0,0.0,0.0,0.0,959.69,4412.56,5332.91,4246.2,2465.68,5008.17,4665.82,3692.6,4227.31,3585.28,4512.56,3053.07,3153.49,4109.71,5636.19,4988.41,5460.47,6141.62,4877.17,5528.15,5441.68,6998.67,6709.65,6532.4,5139.88,145.73,96.45,2351.1,10.34,4323.71,102.58,100.19,121.11,172.32,81.49,66.91
hsa-let-7d-5p,557.79,1326.22,1429.28,1176.9,1552.89,1599.62,1337.85,766.01,422.44,1352.38,596.91,907.7,1695.14,2622.26,1062.63,1060.39,477.98,188.31,1682.6,1278.89,792.28,859.95,770.98,1367.55,1274.23,755.22,548.73,974.54,297.75,2836.57,1491.56,2026.7,1303.9,2024.71,1872.95,1467.15,2476.04,2134.79,3453.69,3495.4,1320.03,3552.33,3788.43,3006.0,6958.31,2272.57,4217.3,1098.08,1822.98,972.1,2471.11,5166.23,221.22,368.3,0.0,0.0,0.0,4043.13,3601.58,1658.47,2427.25,2288.19,3224.43,2265.14,2009.72,4162.85,2528.07,2692.43,1837.76,173.41,318.11,179.61,593.94,165.04,961.08,172.55,1794.48,1347.71,1898.73,0.0,1146.79,0.0,2170.77,0.0,0.0,1074.62,2844.76,1319.48,2494.22,2097.4,3838.28,2030.15,4485.9,6705.48,3049.12,2318.2,1815.08,3677.81,2415.69,1230.02,2505.26,1347.59,1237.5,1566.44,2835.57,922.58,1312.97,991.13,1285.47,1169.55,421.99,1072.29,341.37,928.46,1436.19,1252.33,1090.0,2211.4,1197.97,1280.94
hsa-let-7e-3p,0.67,0.0,1.99,0.18,1.31,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.34,0.0,0.0,0.0,1.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96,0.0,0.0,0.84,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.83,1.64,0.0,0.83,6.07,0.0,0.94,0.0,0.0,1.1,0.0,0.0,0.67,2.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
